,SearchTerm,BusinessName,UBINumber,BusinessId,Address,address_match,ubi_match,id_match,IsMatch
0,1201 TAB OWNER LLC,"1201 TAB OWNER, LLC",603 244 928,2220,"1201 3RD AVE, SEATTLE, WA, 98101, UNITED STATES",False,False,False,
1,ALASKA TRADE BLDG LLC,"ALASKA TRADE BLDG, LLC",604 377 193,1256606,"8451 SE 68TH ST STE 200, MERCER ISLAND, WA, 98040-5240, UNITED STATES",False,False,False,
2,HUDSON 1099 STEWART STREET LLC,"HUDSON 1099 STEWART STREET, LLC",604 037 980,155001,"11601 WILSHIRE BOULEVARD, NINTH FLOOR, LOS ANGELES, CA, 90025, UNITED STATES",False,False,False,
3,1301 6TH AVENUE (WA) OWNER LLC,"1301 6TH AVENUE (WA) OWNER, LLC",604 552 088,1328666,"4700 WILSHIRE BLVD, LOS ANGELES, CA, 90010-3853, UNITED STATES",False,False,False,
4,TMT OLIVE LAB INC,"TMT OLIVE LAB, INC.",603 122 591,1047449,"4 EMBARCADERO CTR STE 3300, SAN FRANCISCO, CA, 94111-4184, UNITED STATES",False,False,False,
5,NORDSTROM INC,"D & G NORDSTROM, INC.",602 347 850,133582,"524 SUNRISE BLVD, OAK HARBOR, WA, 98277, UNITED STATES",False,False,False,
6,NORDSTROM INC,D. NORDSTROM DESIGN AND PROJECT MANAGEMENT LLC,603 620 661,641932,"1401 VERNON RD, LAKE STEVENS, WA, 98258-8510, UNITED STATES",False,False,False,
7,NORDSTROM INC,"D. NORDSTROM GROUP, INC.",602 252 831,119530,,True,False,False,
8,NORDSTROM INC,ELMER J. NORDSTROM MEDICAL TOWER CONDOMINIUM ASSOCIATION,602 381 004,678788,"1229 MADISON ST STE 650, SEATTLE, WA, 98104-3302, UNITED STATES",False,False,False,
9,NORDSTROM INC,FWH HVAC LLC,602 279 145,848290,"1059 STATE AVE STE G, MARYSVILLE, WA, 98270-4269, UNITED STATES",False,True,True,
10,NORDSTROM INC,J NORDSTROM HOMES L.L.C.,605 005 607,1617166,"8719 HOLLY LN, EDMONDS, WA, 98026-8637, UNITED STATES",False,False,False,
11,NORDSTROM INC,MARTIN & NORDSTROM CO.,600 624 906,306197,"8323 BEACHVIEW DR, CLINTON, WA, 98236-8901, UNITED STATES",True,False,False,
12,NORDSTROM INC,"NORDSTROM ACHATZ, PLLC",604 060 234,864057,"1412 NE 134TH ST, VANCOUVER, WA, 98685, UNITED STATES",False,False,False,
13,NORDSTROM INC,"NORDSTROM AND ASSOCIATES, LLC",602 090 749,893477,,True,False,False,
14,NORDSTROM INC,"NORDSTROM BLUMER CAPITAL PARTNERS, LLC",604 035 692,344272,"5506 BEACH BLUFF DR, FREELAND, WA, 98249-9543, UNITED STATES",False,False,False,
15,NORDSTROM INC,"NORDSTROM CARD SERVICES, INC.",604 227 837,1185188,"13531 E CALEY AVE, CENTENNIAL, CO, 80111-6504, UNITED STATES",False,False,False,
16,NORDSTROM INC,"NORDSTROM CATERING, LLC",604 230 820,1186815,"8323 BEACHVIEW DR, CLINTON, WA, 98236-8901, UNITED STATES",True,False,False,
17,NORDSTROM INC,"NORDSTROM DISTRIBUTION, INC.",601 264 745,344273,,True,False,False,
18,NORDSTROM INC,"NORDSTROM ENTERPRISES, LLC",604 505 460,1306226,"9216 105TH AVENUE CT SW, TACOMA, WA, 98498-6826, UNITED STATES",False,False,False,
19,NORDSTROM INC,NORDSTROM ESTATES LLC,603 115 964,841520,"18601 SKY MEADOWS LN, SNOHOMISH, WA, 98290, UNITED STATES",False,False,False,
20,NORDSTROM INC,"NORDSTROM FINANCIAL SERVICES, INC",601 804 231,856325,,True,False,False,
21,NORDSTROM INC,"NORDSTROM HEATING & AIR, INC.",602 279 145,848290,,True,True,True,
22,NORDSTROM INC,NORDSTROM HOLDINGS LIMITED LLC,604 186 377,343052,"205 SE 197TH PLACE, CAMAS, WA, 98607, UNITED STATES",False,False,False,
23,NORDSTROM INC,NORDSTROM INTERNATIONAL LIMITED,601 994 598,856326,"1617 SIXTH AVENUE, SEATTLE, WA, 98101, UNITED STATES",False,False,False,
24,NORDSTROM INC,NORDSTROM MEDICAL TOWER PROPERTY LLC,602 711 007,893478,"200 STATE ST 5TH FLR, BOSTON, MA, 02109, UNITED STATES",False,False,False,
25,NORDSTROM INC,"NORDSTROM PHYSICIAN SERVICES, PLLC",604 540 863,1323267,"8360 LOYAL WAY NW, SEATTLE, WA, 98117-3949, UNITED STATES",False,False,False,
26,NORDSTROM INC,"NORDSTROM PUERTO RICO, INC.",603 222 104,352139,"1700 7TH AVE # 700, SEATTLE, WA, 98101, UNITED STATES",False,False,False,
27,NORDSTROM INC,"NORDSTROM REAL ESTATE HOLDINGS, LLC",604 602 351,1354636,"1617 6TH AVE, SEATTLE, WA, 98101-1707, UNITED STATES",True,False,False,
28,NORDSTROM INC,"NORDSTROM RESTAURANTS, INC.",603 367 019,352455,"1617 6TH AVE, SEATTLE, WA, 98101-1707, UNITED STATES",True,False,False,
29,NORDSTROM INC,NORDSTROM VEGETATION LLC,603 211 267,872515,"6794 NE JUNIPER RIDGE RD, REDMOND, OR, 97756",False,False,False,
30,ROIC WASHINGTON LLC,"ROIC WASHINGTON, LLC",603 026 438,416558,"11250 EL CAMINO REAL, SUITE 200, SAN DIEGO, CA, 92130-2677, UNITED STATES",False,False,False,
31,BAYVIEW FARMS LLC,"BAYVIEW FARM AND GARDEN, INCORPORATED",601 666 035,58437,"2780 MARSHVIEW AVE, LANGLEY, WA, 98260-8200, UNITED STATES",False,False,False,
32,BAYVIEW FARMS LLC,BAYVIEW FARMER'S MARKET ASSOCIATION (LLC),602 117 316,564533,"115 2ND ST # 1456, LANGLEY, WA, 98260-1959, UNITED STATES",False,False,False,
33,BAYVIEW FARMS LLC,"BAYVIEW FARMS, INC.",600 243 642,51739,,False,False,False,
34,BAYVIEW FARMS LLC,"BAYVIEW FARMS, LLC",603 450 846,571397,"431 BUFFALO LANE, MESA, WA, 99343, UNITED STATES",False,False,False,
35,BAYVIEW FARMS LLC,BAYVIEW TREE FARM LLC,604 427 338,1273295,"4671 E STATE ROUTE 302, BELFAIR, WA, 98528-9384, UNITED STATES",False,False,False,
36,COLISEUM BUILDING LLC,"COLISEUM BUILDING, LLC",602 676 313,626052,"801 GRAND AVE, DES MOINES, IA, 50309, UNITED STATES",False,False,False,
37,TARGET CORPORATION,"A-TARGET, INC.",602 963 157,435176,"16454 N 91ST ST UNIT 101, SCOTTSDALE, AZ, 85260, UNITED STATES",False,False,False,
38,TARGET CORPORATION,ACTION TARGET ACQUISITION CORP.,602 831 478,448747,"485 WEST PUTNAM AVENUE, GREENWICH, CT, 06830, UNITED STATES",False,False,False,
39,TARGET CORPORATION,ACTION TARGET INC.,602 420 120,17961,"3411 S MOUNTAIN VISTA PRWY, PROVO, UT, 84606, UNITED STATES",False,False,False,
