,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,Address,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,TotalGHGEmissions__metric_tons_,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,GHGEmissions_MetricTonsCO2e_,GHGEmissionsIntensity,GHGEmissionsIntensity_kgCO2e_ft2_,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFABuilding_s_,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType
2,50160,659000775,2020,NonResidential,AMAZON DOPPLER BUILDING,ACORN DEVELOPMENT LLC,7,DOWNTOWN,,2016,2021 7TH AVE,SEATTLE,SEATTLE,,47.61523,-122.33835,,,Office,480.3,92,,41.5,42.5,47982672,46787212,108.8,111.8,,0.4,,4710401,47104,43272281,12682380,0,,1496961,1076961,420000,2,37,Office,1023298,Parking,448625,Convention Center,59672,,No Issue,Compliant,,,Office
4,50192,660001605,2020,NonResidential,MIDTOWN 21 (AMAZON),MIDTOWN21 LLC,1,DOWNTOWN,,2016,1007  STEWART ST,SEATTLE,SEATTLE,,47.61632,-122.33304,,,Office,136.3,85,,49.6,50.3,18783632,18528384,135.2,136.9,,0.4,,790106,7901,17738278,5198792,0,,489821,361575,128246,1,21,Office,373458,Parking,110813,,,,No Issue,Compliant,,,Office
91,336,660000650,2020,NonResidential,1918 EIGHTH AVE,HUDSON 1918 EIGHTH AVENUE LLC,1,DOWNTOWN,NOT_FOUND,2009,1918 8TH AVE,SEATTLE,WA,98101,47.61555,-122.33582,,,Office,198.6,80,,47.9,47.9,35580592,35580592,133.5,133.5,,0.3,,197568,1976,35383020,10370170,0,,824887,669915,154972,1,36,Office,743562,Parking,161119,,,,No Issue,Compliant,,,Office
103,388,7137830040,2020,NonResidential,RAINIER TOWER,,1,DOWNTOWN,NOT_FOUND,1976,1301 5TH AVE,SEATTLE,WA,98101,47.60896,-122.33481,,,Office,198.4,56,,78.0,79.8,38187180,37315664,218.3,223.4,,0.4,,0,0,37315679,10936600,0,,476871,476871,0,1,42,Office,478569,,,,,,No Issue,Compliant,,,Office
125,433,8634230000,2020,NonResidential,300 PINE STREET,,1,DOWNTOWN,NOT_FOUND,1929,300 PINE ST,SEATTLE,WA,98101,47.6113,-122.33844,,,Office,461.7,,,23.3,23.8,20543094,20095750,56.6,57.2,,0.5,,240734,2407,15435253,4523814,4419764,,861702,861702,0,1,8,Office,578620,Retail Store,283082,,,,No Issue,Compliant,,,Office
132,750,660001255,2020,NonResidential,SEATTLE CHILDREN'S HOSPITAL RESEARCH BUILDING #2,SEATTLE CHILDREN'S HOSPITAL,7,DOWNTOWN,NOT_FOUND,1953,1915 TERRY AVE,SEATTLE,WA,98101,47.61628,-122.33391,,,Office,64.8,90,,32.1,32.4,8894638,8797361,87.4,88.3,,0.2,,377532,3775,8419830,2467711,0,,274362,274362,0,1,7,Office,274362,,,,,,No Issue,Compliant,,,Office
155,50240,8647700000,2020,NonResidential,TILT 49 (OFFICE PORTION),,1,DOWNTOWN,,2017,1812 BOREN AVE,SEATTLE,SEATTLE,98101,47.61698,-122.33195,,,Office,55.0,93,,29.6,29.6,9047997,9034479,82.0,82.0,,0.2,,145136,1451,8889345,2605318,0,,305542,305542,0,1,11,Office,305542,Parking,113154,,,,No Issue,Compliant,,,Office
190,371,660002381,2020,NonResidential,METROPOLITAN PARK NORTH BUILDING,1200 HOWELL STREET LLC,1,DOWNTOWN,NOT_FOUND,2000,1220 HOWELL ST,SEATTLE,WA,98101,47.6177,-122.3306,,,Mixed Use Property,50.4,86,,42.6,42.6,8717178,8710763,118.5,118.5,,0.3,,84604,846,8626160,2528183,0,,380312,184691,195621,1,11,Parking,182820,Office,165558,Fitness Center/Health Club/Gym,39024,,No Issue,Compliant,,,Mixed Use Property
1458,471,1983200245,2020,NonResidential,428 WESTLAKE BUILDING,SEATTLE CITY OF,7,LAKE UNION,NOT_FOUND,2004,428 WESTLAKE AVE N,SEATTLE,WA,98109,47.62286,-122.33804,,,Office,30.0,76,,61.5,62.2,5702389,5639111,172.2,174.1,,0.3,,0,0,5639111,1652729,0,,139282,86700,52582,1,6,Office,91700,Parking,52582,,,,No Issue,Compliant,,,Office
1461,481,1986200185,2020,NonResidential,WESTLAKE TERRY - EAST BLDG,KR WESTLAKE TERRY LLC,1,LAKE UNION,NOT_FOUND,2006,321 TERRY AVE N,SEATTLE,WA,98109,47.62137,-122.33744,,,Office,112.8,93,,46.2,,,6269248,107.9,,,0.8,,1662334,16623,4606913,1350209,0,,209816,136143,73673,1,4,Office,113804,Parking,79091,Fitness Center/Health Club/Gym,15803,,No Issue,Compliant,,,Office
