,PropertyGFABuilding_s_,TotalGHGEmissions__metric_tons_,Electricity_kBtu_,NaturalGas_kBtu_,SteamUse_kBtu_,AvgGHGEIntensity
Adult Education,128244,135.4,2829626,2266733,0,0.0010558
Automobile Dealership,228899,275.9,8180965,4375890,0,0.001205335
Bank Branch,56328,4.1,762214,0,0,7.2788E-05
College/University,16745460,26708.2,337429114,131408620,216061165,0.001594952
Convenience Store without Gas Station,21420,3.2,598807,0,0,0.000149393
Convention Center,946212,1471.3,30223520,1251147,14987953,0.001554937
Courthouse,850850,1766.7,37899063,29471610,0,0.002076394
Data Center,83029,628.1,118105343,0,0,0.007564827
Distribution Center,3354369,1592,71674679,22800781,0,0.000474605
Enclosed Mall,267265,129.1,19913312,438234,0,0.000483041
Energy/Power Station,21462,5.2,985505,0,0,0.000242289
Financial Office,39017,77.1,1617629,1290025,0,0.001976062
Fire Station,126804,254.6,8612203,3932059,0,0.002007823
Fitness Center/Health Club/Gym,298932,862.9,12594430,9204455,3699885,0.00288661
Food Service,22710,4.4,833920,0,0,0.000193747
Hospital (General Medical & Surgical),8333776,58799.7,721360880,345057738,441378318,0.007055589
Hotel,11825876,18808.1,368683983,210887900,68033327,0.001590419
K-12 School,11478922,12683.8,172093129,221026130,361651,0.001104964
Laboratory,1315179,9300.7,150543414,117231433,27393902,0.007071813
Library,379697,151.7,15005781,804956,350572,0.000399529
Lifestyle Center,81336,288.7,8954589,4539030,0,0.003549474
Mailing Center/Post Office,27435,49,749891,847312,0,0.00178604
Manufacturing/Industrial Plant,883540,639.5,33567771,8681847,0,0.000723793
Medical Office,5611194,14362.5,396344564,130663729,64036718,0.002559616
Mixed Use Property,14001717,40280.8,1077977497,631426511,12216679,0.002876847
Movie Theater,33392,9.8,1842480,0,0,0.000293483
Multifamily HR (10+),26991285,29035.9,716236785,417235726,36955713,0.001075751
Multifamily Housing,577844,282.7,13353651,3987319,0,0.000489232
Multifamily LR (1-4),42402787,25236.7,1018128906,372479306,492230,0.000595166
Multifamily MR (5-9),58994840,44650.4,1374625252,685291586,11401013,0.000756853
Museum,942156,2510.1,61543255,16722740,15598560,0.002664208
Non-Refrigerated Warehouse,8663931,6598.3,140632107,110160353,0,0.000761583
Office,61645488,36449.8,2548257518,271898626,101899709,0.000591281
Other,3757549,11423.7,277953357,169421151,11416060,0.0030402
Other - Education,32961,1.7,321559,0,0,5.15761E-05
Other - Entertainment/Public Assembly,3425419,2729.3,107067530,36662190,2564220,0.000796778
Other - Lodging/Residential,205791,266.4,2984343,4718281,0,0.001294517
Other - Mall,173832,310.8,6393096,5211364,0,0.001787933
Other - Public Services,77039,303.2,3751935,5333271,0,0.003935669
Other - Recreation,1264151,3143.7,34651537,55721931,0,0.002486807
Other - Services,160059,241,2307030,4305547,0,0.001505695
Other - Utility,277990,147.5,12009766,1574812,0,0.000530595
Other/Specialty Hospital,128399,524.7,12861338,8591831,0,0.00408648
Outpatient Rehabilitation/Physical Therapy,68500,165.3,2718938,0,1816867,0.002413139
Parking,2517267,3487.4,129557477,52689982,0,0.001385391
Performing Arts,408296,598,10934508,2468964,4923710,0.001464624
"Personal Services (Health/Beauty, Dry Cleaning, etc)",25406,28.2,1314132,399207,0,0.001109974
Police Station,123201,342.5,10726264,5375937,0,0.00278001
Pre-school/Daycare,84427,40.2,2034832,552949,0,0.000476151
Prison/Incarceration,385274,1671.1,18382355,29624197,0,0.004337433
Refrigerated Warehouse,867298,332.2,38223427,2429861,0,0.000383029
"Repair Services (Vehicle, Shoe, Locksmith, etc)",328638,892.2,9608262,15838115,0,0.002714841
Residence Hall/Dormitory,1197643,1832.4,34713181,22389636,5523688,0.001530005
Residential Care Facility,120852,324.8,2858099,5828974,0,0.002687585
Restaurant,214717,1145.1,16386675,19920829,0,0.005333066
Retail Store,4348122,4428.8,143792900,68996758,0,0.001018555
Self-Storage Facility,3750612,988.6,27121018,15894520,0,0.000263584
Social/Meeting Hall,361255,914.4,5963911,9544548,4526450,0.002531176
Stadium (Open),314025,230.6,29913014,1346590,0,0.000734336
Strip Mall,622674,982.4,34570565,15037738,0,0.001577712
Supermarket/Grocery Store,1990332,8112.5,224562807,130263652,0,0.004075953
Transportation Terminal/Station,471603,291.3,51675114,311754,0,0.000617681
Unclassified,9073104,11725.2,175992095,180457943,14524050,0.001292303
Urgent Care/Clinic/Other Outpatient,29796,97.5,754181,1759881,0,0.003272251
Wholesale Club/Supercenter,131387,227.8,3837732,3905764,0,0.001733809
Worship Facility,2091103,2690.3,26213638,43299470,3024888,0.001286546
AMAZON,11912586,6385.1,724432250,40783705,4419764,0.000535996
