Owner,PropertyGFABuilding_s_,TotalGHGEmissions__metric_tons_,Electricity_kBtu_,NaturalGas_kBtu_,SteamUse_kBtu_
1 BOND TOWER LLC,93660.0,3.0,560003.0,0.0,0.0
100 ALOHA LP,43172.0,3.2,603518.0,0.0,0.0
1000 1ST AVENUE SOUTH LIMITED PARTNERSHIP,64800.0,10.4,1954636.0,0.0,0.0
1000 MADISON LLC,51900.0,89.8,457077.0,1645101.0,0.0
1000-1100 DEXTER AVENUE INC,234236.0,37.5,7059599.0,0.0,0.0
1001 FAIRVIEW LLC,26519.0,111.3,2113541.0,1884210.0,0.0
1005 INVESTORS LLC,31659.0,110.3,299254.0,2046862.0,0.0
1005 SPRING STREET LLC,35770.0,69.6,488930.0,1262324.0,0.0
101 DENNY LLC,32489.0,30.2,715916.0,497220.0,0.0
101 PINE STREET LLC,50510.0,0.0,0.0,0.0,0.0
101 STEWART STREET LLC,100717.0,22.3,4190639.0,0.0,0.0
1011 E TERRACE ST OWNER LLC,65948.0,202.4,2520898.0,3557996.0,0.0
1016 1ST AVE SOUTH LP,47000.0,5.1,968099.0,0.0,0.0
1016 E PIKE STREET INC,22866.0,33.8,864148.0,550021.0,0.0
10306 MERIDIAN AVENUE NORTH LLC,127230.0,32.1,3790172.0,224148.0,0.0
11010 GREENWOOD SEATTLE LLC,21936.0,31.6,65292.0,587985.0,0.0
1127 OLYMPIC WAY WEST L L C,23585.0,38.7,176783.0,711412.0,0.0
1130 RAINIER PROPERTIES LLC,62220.0,12.0,2254734.0,0.0,0.0
1144 EASTLAKE LLC,94472.0,20.7,3899360.0,0.0,0.0
1145 REPUBLICAN ST WA OWNER LLC,444695.0,225.3,8592607.0,3381012.0,0.0
11TH AVENUE & 47TH STREET LLC,66195.0,10.6,1999300.0,0.0,0.0
12 MADISON INVESTMENT LLC,45251.0,0.0,0.0,0.0,0.0
120 HARVARD AVENUE E LLC,42980.0,6.9,1241214.0,5316.0,0.0
1200 HOWELL STREET LLC,114212.0,145.8,2450035.0,2500737.0,0.0
1200 MADISON ASSOCIATES L L C,90000.0,123.5,1007461.0,2223890.0,0.0
1200 PIKE LLC,60645.0,0.0,0.0,0.0,0.0
1201 SUMMIT LLC,72128.0,96.7,2120565.0,1608652.0,0.0
1201 TAB OWNER LLC,1115000.0,447.3,44850876.0,481174.0,2207404.0
12040 28TH AVENUE LLC,36172.0,4.0,750696.0,0.0,0.0
1205 EAST PIKE LLC,21228.0,1.8,338605.0,0.0,0.0
1222 EAST MADISON L L C,75025.0,46.1,2116412.0,656064.0,0.0
1225 MAR LLC,48237.0,25.8,1499544.0,335367.0,0.0
1255 WESTLAKE LLC,27144.0,0.0,0.0,0.0,0.0
12TH & PIKE ASSOCIATES L L C,20640.0,1.3,235262.0,0.0,0.0
12TH AVENUE MARKETPLACE L L C,37873.0,68.3,1419672.0,1143476.0,0.0
1301 6TH AVENUE (WA) OWNER LLC,126240.0,183.1,7188879.0,2728144.0,0.0
1301 SECOND AVE LLC,280230.0,997.6,22289102.0,884053.0,10024828.0
1301 SECOND AVENUE LLC,70816.0,117.7,1493316.0,2067305.0,0.0
13355 LAKE CITY WAY NE ASSOCIATES,38787.0,80.0,2107910.0,1295844.0,0.0
1405 FIFTH & UNION ASSOCIATES LLC,69804.0,31.7,926065.0,503587.0,0.0
1415 5TH AVENUE SEATTLE LLC,272787.0,1024.5,12954470.0,905623.0,10933061.0
1415 WESTERN LLC,51218.0,8.2,1489671.0,4796.0,0.0
1420 EAST MADISON STREET LLC,51734.0,59.2,1541219.0,960029.0,0.0
1426 FIRST AVENUE L L C,25920.0,2.8,531120.0,0.0,0.0
1511 DEXTER LIMITED PS,52823.0,31.2,872918.0,500621.0,0.0
1515 DEXTER LLC,30408.0,4.1,762214.0,0.0,0.0
1515 LEARY WAY ASSOCIATES LLC,85639.0,3.9,460872.0,27304.0,0.0
1531 BROADWAY LLC,54899.0,33.3,1433315.0,483875.0,0.0
1550 ARMORY LLC,25065.0,6.9,1300460.0,0.0,0.0
1570 W ARMORY LLC,25657.0,3.4,631838.0,0.0,0.0
1608 EAST REPUBLICAN L L C,20064.0,61.2,160812.0,1135381.0,0.0
1625 W WHEELER LLC,24242.0,1.0,186604.0,0.0,0.0
1630 LLC,26246.0,76.4,196007.0,1419504.0,0.0
164 SOUTH WASHINGTON STREET LLC,20880.0,1.7,324830.0,0.0,0.0
1700 MADISON APARTMENTS LLC,62256.0,27.2,5122620.0,0.0,0.0
1700 W ARMORY LLC,24930.0,2.9,541356.0,0.0,0.0
1701 DEXTER LLC,60500.0,45.6,1162798.0,742167.0,0.0
1701 FIRST AVENUE SOUTH LLC,27690.0,0.0,0.0,0.0,0.0
1725 WESTLAKE INVESTMENTS LLC,30109.0,22.4,1169049.0,305615.0,0.0
1741 1ST SODO LLC,53280.0,22.1,4157276.0,0.0,0.0
17910 BURBANK LLC,28624.0,32.0,812673.0,521307.0,0.0
1800 EASTLAKE LLC,27072.0,4.0,749891.0,0.0,0.0
1800 NINTH ACQUISITION LLC,339240.0,83.0,14584887.0,102791.0,0.0
1821 BOREN AVENUE LLC,144614.0,224.3,3267514.0,3896923.0,0.0
1823 MINOR WPT LLC +1823 MINOR MM LLC,512983.0,543.3,8730220.0,9355679.0,0.0
19 W HARRISON LLC,74717.0,50.2,1329064.0,812060.0,0.0
1915 3RD AVE LP,46580.0,4.4,835496.0,0.0,0.0
1915 SECOND AVENUE LLC,122810.0,150.1,758861.0,2751122.0,0.0
1918 EIGHTH LLC,174000.0,357.8,6448967.0,137701.0,3809802.0
1921 27 FIFTH AVENUE HOLDINGS LLC,44928.0,0.0,0.0,0.0,0.0
1942 WESTLAKE LP,538339.0,573.1,11517076.0,9636886.0,0.0
19TH AND MADISON LLC,129219.0,29.3,3433322.0,208193.0,0.0
19TH AVENUE GARDEN COURT L L C,30716.0,4.4,827582.0,0.0,0.0
1ST & PINE PROPERTY OWNER LLC,51578.0,33.4,946834.0,534835.0,0.0
1ST AVENUE SOUTH SEATTLE OWNER LLC,36000.0,43.6,2317426.0,588992.0,0.0
2001 PLUM LLC,25920.0,14.5,1023914.0,171069.0,0.0
2016 E ROANOKE APARTMENTS LLC +TUDOR APTS LLC,25671.0,3.6,676059.0,0.0,0.0
2020 A&D LLC,26012.0,3.0,569037.0,0.0,0.0
2020 FIFTH HOLDINGS LLC,47029.0,453.7,85314262.0,0.0,0.0
2051 MADISON STREET PARTNERS LLC,82544.0,75.1,1541036.0,1259787.0,0.0
206 BELL LLC,92007.0,89.4,2648126.0,1418486.0,0.0
20TH BLUE STONE LLC,37434.0,6.9,1299153.0,0.0,0.0
21 W LEE LLC,26678.0,51.0,256305.0,935548.0,0.0
