,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,Address,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,TotalGHGEmissions__metric_tons_,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,GHGEmissionsIntensityKgSqFt,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFABuilding_s_,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType,electric_co2_m3_kwh
8,50193,925049436,2020,NonResidential,U-VILLAGE RH GALLERY,,1,NORTHEAST,,2016,4645  26TH AVE NE,SEATTLE,SEATTLE,,47.66306,-122.3002,,,Retail Store,14.5,14,,60.6,60.6,2725272,2725272,169.6,169.6,0.3,0,0,2725272,798732,0,0,47406,47406,0,1,4,Retail Store,45000,,,,,,No Issue,Compliant,,,Retail Store,1.8153773731364213e-05
9,50170,302604-9147,2020,NonResidential,NEIGHBORCARE HEALTH,NOT FOUND,5,NORTHWEST,,2016,10521 MERIDIAN AVE N,SEATTLE,SEATTLE,,47.70598,-122.33486,,,Medical Office,7.9,86,,33.1,33.1,1477506,1477506,92.6,92.6,0.2,0,0,1477507,433032,0,0,44745,44745,0,1,2,Medical Office,44667,Parking,0,,,,No Issue,Compliant,,,Other,1.8243455449019934e-05
10,50196,2926049431,2020,Nonresidential COS,Northgate Community Center,SEATTLE CITY OF,5,NORTH,,2005,10510 5th Ave NE,Seattle,SEATTLE,,47.70562,-122.32319,,,Other - Recreation,2.6,,,23.6,23.6,487144,487144,66.2,66.2,0.1,0,0,487145,142774,0,0,20616,20616,0,1,1,Other - Recreation,20616,,,,,,No Issue,Compliant,,,Recreation,1.821059856836679e-05
15,50163,2908700020,2020,Multifamily LR (1-4),CRAFT APARTMENTS,ARIMOCC LLC,1,CENTRAL,,2016,1315 E JEFFERSON ST,SEATTLE,SEATTLE,,47.60594,-122.31477,,,Multifamily LR (1-4),3.8,,,34.4,35.0,734777,722513,96.4,98.0,0.2,0,0,722513,211756,0,0,29549,24556,4993,1,4,Multifamily Housing,20996,,,,,,No Issue,Compliant,,,Multifamily Housing,1.79451821908234e-05
16,50171,808090-0055,2020,Multifamily LR (1-4),DENNY 18 APARTMENTS,NOT FOUND,1,SHARED: CENTRAL &amp; EAST,,2016,1823 18TH AVE,SEATTLE,SEATTLE,,47.61833,-122.30916,,,Multifamily LR (1-4),3.6,84,,30.5,31.2,696564,680944,85.5,87.5,0.1,0,0,680943,199573,0,0,30106,30106,0,1,4,Multifamily Housing,22299,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8038512223597382e-05
21,50191,230165-0000,2020,Multifamily LR (1-4),UPTOWN 11,NOT FOUND,7,MAGNOLIA / QUEEN ANNE,,2016,531 QUEEN ANNE AVE N,SEATTLE,SEATTLE,,47.62422,-122.35709,,,Multifamily LR (1-4),9.1,,,37.7,37.7,1712661,1712661,105.6,105.6,0.2,0,0,1712661,501952,0,0,75494,41008,34486,1,3,Multifamily Housing,29193,Retail Store,16235,,,,No Issue,Compliant,,,Multifamily Housing,1.8129223511411448e-05
23,50338,3679400970,2020,Multifamily LR (1-4),HARLOW HEIGHTS,BEACON HILL VENTURES LLC,1,GREATER DUWAMISH,,2016,4351 15TH AVE S,SEATTLE,SEATTLE,,47.56382,-122.31386,,,Multifamily LR (1-4),3.6,95,,19.2,19.2,672731,672731,53.7,53.7,0.1,0,0,672731,197166,0,0,43262,37682,5580,1,4,Multifamily Housing,35101,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8258726149538967e-05
30,50169,674670-1100,2020,Multifamily MR (5-9),SAVANNA APARTMENTS,NOT FOUND,1,NORTHEAST,,2016,4710 11TH AVE NE,SEATTLE,SEATTLE,,47.66348,-122.31611,,,Multifamily MR (5-9),3.8,100,,23.6,24.3,733120,713998,66.2,67.9,0.1,0,0,713998,209261,0,0,31988,31988,0,1,6,Multifamily Housing,28701,Parking,1702,Restaurant,1516,,No Issue,Compliant,,,Multifamily Housing,1.815914097705736e-05
33,50181,331950-0985,2020,Multifamily MR (5-9),ABBEY LINCOLN COURT,NOT FOUND,3,CENTRAL,,2016,2020 S JACKSON ST,SEATTLE,SEATTLE,,47.59944,-122.30495,,,Multifamily MR (5-9),8.4,80,,31.3,31.9,1616866,1588412,87.7,89.2,0.2,0,0,1588412,465537,0,0,50726,50726,0,1,7,Multifamily Housing,50726,,,,,,No Issue,Compliant,,,Multifamily Housing,1.8043678590530935e-05
37,50307,1145000365,2020,Multifamily MR (5-9),AUGUSTA APARTMENTS,AUGUSTA OWNER LLC,,NORTHEAST,,1970,4041 ROOSEVELT WAY NE,SEATTLE,WA,,47.6566,-122.31783,,,Multifamily MR (5-9),21.0,100,,18.8,19.2,4069150,3979372,52.4,53.6,0.1,0,0,3951519,1158124,0,0,257903,211754,46149,1,7,Multifamily Housing,195856,Parking,46149,Retail Store,15830,,No Issue,Compliant,,,Multifamily Housing,1.8132773347240882e-05
