,OSEBuildingID,BuildingName,PropertyGFABuilding_s_,TotalGHGEmissions__metric_tons_,GHGEmissionsIntensityKgSqFt,Electricity_kWh_,Electricity_kBtu_,NaturalGas_kBtu_,NaturalGas_therms_,SteamUse_kBtu_,OtherFuelUse_kBtu_
51,50195,TOTAL WINE AND MORE,25065,6.9,0.3,381143,1300460,0,0,0,
637,26473,Q F C,28808,244.7,8.5,1491123,5087712,4097520,40975,0,
1112,20045,2746 NE 45TH ST - QFC,77424,306.7,4.0,2547445,8691882,4904319,49043,0,
1113,21921,SAFEWAY STORE # 488,33005,181.0,5.5,1852972,6322340,2775000,27750,0,
1114,24493,METROPOLITAN MARKET,24377,321.1,13.2,1383365,4720041,5572911,55729,0,
1279,22230,THE BALLARD MARKET,29214,284.0,9.7,1420111,4845419,4863057,48631,0,
1280,22240,SAFEWAY STORE # 1477,46068,405.3,8.8,1943709,6631935,6968000,69680,0,
1281,49946,QFC - Ballard,41198,50.3,1.2,1341222,4576249,489591,4896,0,
1739,20565,SAFEWAY STORE # 368,25159,182.5,7.3,1372941,4684475,2967500,29675,0,
1740,35392,QFC at 500 MERCER,45980,132.0,2.9,1397005,4766581,2007857,20079,0,
1815,25914,SAFEWAY STORE # 1551,44739,375.0,8.4,2701494,9217498,6138700,61387,0,
1959,132,ROOSEVELT SQUARE,128315,145.2,1.1,3523457,12022035,1530179,15302,0,
1960,24479,SAFEWAY STORE # 423,32822,231.1,7.0,1334288,4552591,3896400,38964,0,
1961,27378,SAFEWAY  STORE # 1550,38000,341.4,9.0,1970443,6723152,5755700,57557,0,
2093,732,FRED MEYER GREENWOOD,118133,365.2,3.1,3293683,11238046,5750448,57504,0,
2094,23228,SAFEWAY STORE # 1143,45522,34.5,0.8,1900475,6484421,0,0,0,
2175,607,SAFEWAY 1965,61053,354.9,5.8,2256600,7699519,5912008,59120,0,
2176,22142,SAFEWAY #219,26092,200.7,7.7,1351363,4610851,3318200,33182,0,
2177,23716,SAARS MARKET (2012),67450,42.6,0.6,620478,2117071,590148,5901,0,
2358,22479,QFC MARKET,25842,223.5,8.6,1287069,4391479,3767896,37679,0,
2815,867,HARVARD MARKET (QFC Portion),46984,189.1,4.0,1453168,4958209,3064567,30646,0,
2975,500,FRED MEYER LAKE CITY,121087,423.0,3.5,2544354,8681336,7096095,70961,0,
2976,27821,QUALITY FOOD CENTER (QFC) SUPERMARKET,44755,219.2,4.9,1491438,5088786,3617811,36178,0,
2977,41928,SAFEWAY STORE #1586,51400,325.3,6.3,1677700,5724312,5551192,55512,0,
3043,20435,TRADER JOE'S,25762,10.0,0.4,552334,1884564,0,0,0,
3160,24514,OAK TREE PLAZA - SUPERMARKET,45155,134.4,3.0,1046013,3568996,2172814,21728,0,
3290,464,COSTCO 4TH AVE S,158415,529.0,3.3,4078974,13917459,8567611,85676,0,
3291,24354,1760 4TH AVE S,23792,13.4,0.6,738009,2518086,0,0,0,
3389,27162,WEST SEATTLE THRIFTWAY,33706,,,0,,,0,0,
3489,23098,HILLTOP RED APPLE MARKET,21603,96.5,4.5,893472,3048528,1512091,15121,0,
3501,558,QFC & DOLLAR STORE,58480,158.8,2.7,1530615,5222458,2467165,24672,0,
3504,381,QFC HOLMAN ROAD,60880,280.6,4.6,1930313,6586228,4623164,46232,0,
