,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,Address,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,TotalGHGEmissions__metric_tons_,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,GHGEmissionsIntensityKgSqFt,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFABuilding_s_,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType
51,50195,2771600911,2020,NonResidential,TOTAL WINE AND MORE,1550 ARMORY LLC,1,MAGNOLIA / QUEEN ANNE,,2016,1550 W ARMORY WAY,SEATTLE,SEATTLE,,47.63849,-122.37695,,,Supermarket/Grocery Store,6.9,99,,50.5,50.5,1300460,1300460,141.3,141.3,0.3,0,0,1300460,381143,0,,25065,25065,0,1,1,Supermarket/Grocery Store,25763,,0,,,,No Issue,Compliant,,,Supermarket/Grocery Store
637,26473,4083802815,2020,NonResidential,Q F C,DAMBROSIO ENTERPRISES LLC,1,LAKE UNION,NOT_FOUND,1957,4500 WALLINGFORD AVE N,SEATTLE,WA,98103,47.66185,-122.33594,,,Supermarket/Grocery Store,244.7,57,,294.6,300.1,9356056,9185232,595.0,600.7,8.5,4097520,40975,5087712,1491123,0,,28808,28808,0,1,1,Supermarket/Grocery Store,31174,,0,,,,No Issue,Compliant,,,Supermarket/Grocery Store
1112,20045,925049330,2020,NonResidential,2746 NE 45TH ST - QFC,QUALITY FOOD CENTERS INC,1,NORTHEAST,NOT_FOUND,1955,2746 NE 45TH ST,SEATTLE,WA,98105,47.66172,-122.29598,,,Supermarket/Grocery Store,306.7,89,,141.3,143.4,13800531,13596203,306.5,308.0,4.0,4904319,49043,8691882,2547445,0,,77424,77424,0,1,1,Supermarket/Grocery Store,96218,,0,,,,No Issue,Compliant,,,Self-Storage Facility
1113,21921,2437200030,2020,NonResidential,SAFEWAY STORE # 488,SAFEWAY INC,4,NORTHEAST,NOT_FOUND,1975,3020 NE 45TH ST,SEATTLE,WA,98105,47.66205,-122.29545,,,Supermarket/Grocery Store,181.0,39,,260.1,264.3,9247340,9097341,589.3,593.8,5.5,2775000,27750,6322340,1852972,0,,33005,33005,0,1,1,Supermarket/Grocery Store,34982,Parking,0,,,,No Issue,Compliant,,,Supermarket/Grocery Store
1114,24493,7974700270,2020,NonResidential,METROPOLITAN MARKET,PAJIS WA L L C,4,NORTHEAST,NOT_FOUND,1973,5250 40TH AVE NE,SEATTLE,WA,98105,47.66824,-122.28394,,,Supermarket/Grocery Store,321.1,19,,422.2,429.8,10477052,10292952,782.2,790.1,13.2,5572911,55729,4720041,1383365,0,,24377,24377,0,1,1,Supermarket/Grocery Store,24377,,0,,,,No Issue,Compliant,,,Supermarket/Grocery Store
1279,22230,2768100235,2020,NonResidential,THE BALLARD MARKET,RRDS LLC,1,BALLARD,NOT_FOUND,1966,1400 NW 56TH ST,SEATTLE,WA,98107,47.66986,-122.37418,,,Supermarket/Grocery Store,284.0,17,,332.3,336.5,9830615,9708477,639.2,641.0,9.7,4863057,48631,4845419,1420111,0,,29214,29214,0,1,1,Supermarket/Grocery Store,29214,,0,,,,No Issue,Compliant,,,Supermarket/Grocery Store
1280,22240,2768300240,2020,NonResidential,SAFEWAY STORE # 1477,ALISUE LLC,1,BALLARD,NOT_FOUND,2000,1423 NW MARKET ST,SEATTLE,WA,98107,47.66828,-122.37428,,,Supermarket/Grocery Store,405.3,48,,289.2,294.7,13859468,13599935,550.4,556.2,8.8,6968000,69680,6631935,1943709,0,,89103,46068,43035,1,1,Supermarket/Grocery Store,47034,Parking,0,,,,No Issue,Compliant,,,Supermarket/Grocery Store
1281,49946,2767604965,2020,NonResidential,QFC - Ballard,SP/BIT BALLARD ON THE PARK L L C,1,BALLARD,,2010,5700 24TH AVE NW,SEATTLE,SEATTLE,98107,47.67034,-122.3873,,,Supermarket/Grocery Store,50.3,90,,123.0,123.1,5071758,5065842,323.5,323.7,1.2,489591,4896,4576249,1341222,0,,41198,41198,0,1,8,Supermarket/Grocery Store,41198,,0,,,,No Issue,Compliant,,,Multifamily Housing
1739,20565,1794500895,2020,NonResidential,SAFEWAY STORE # 368,NOT FOUND,7,MAGNOLIA / QUEEN ANNE,,1962,2100 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.63776,-122.35606,,,Supermarket/Grocery Store,182.5,39,,295.6,298.2,7718179,7651975,627.1,628.5,7.3,2967500,29675,4684475,1372941,0,,25159,25159,0,1,1,Supermarket/Grocery Store,25883,Parking,0,,,,No Issue,Compliant,,,Supermarket/Grocery Store
1740,35392,4458720010,2020,NonResidential,QFC at 500 MERCER,QUALITY FOOD CENTERS,7,MAGNOLIA / QUEEN ANNE,,2006,500 MERCER ST,SEATTLE,WA,98109,47.62473,-122.34727,,,Supermarket/Grocery Store,132.0,88,,147.3,150.1,6902548,6774440,336.1,339.0,2.9,2007857,20079,4766581,1397005,0,,45980,45980,0,1,4,Supermarket/Grocery Store,45980,,0,,,,No Issue,Compliant,,,Supermarket/Grocery Store
