f,Owning Entity Best Guess (lookup into OwningEntities tab),HQ City,"Assets, $B, Best Guess",Owning Entity Category,Public/Private/Nonprofit/Condo status,"Company Info -- business model, how assets found, etc, incl links to evidence",Sustainability claim (any we happened to find while researching ownership),How Sleuthed. NOTE sheets bug broke hyperlinks. See tab AllSleuthData for links to supporting info,Who sleuthed owner,Sleuth pass,BEPS LegislationPropertyType,PropertyGFABuilding_s_,BuildingName,GHGEmissionsIntensityKgSqFt,TotalGHGEmissions__metric_tons_,June BEPS Target for 2031-2035,,Qualifies for Alt GHGIT,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType
1900 9TH AVE,Seattle Children's Healthcare System,Seattle,N/A,Health Care (nonprofit),Nonprofit/Religious Ownership,Parent organiation for Seattle Childrens Hospital -- Not-for profit health care at multiple Seattle locations. ,,"Emissions database lists Children's as owner, and Children's is at that physical location, and searching doesn't find record of sale or different owher.",Alice,2,Other,230638,SEATTLE CHILDREN'S HOSPITAL  (JACK R MCDONALD BUILDING),8.4,1928,2.48,0,TRUE,338,660001215,2020,NonResidential,CHILDREN'S HOSPITAL & REGIONAL MEDICAL CENTER,1,DOWNTOWN,NOT_FOUND,2004,SEATTLE,WA,98101,47.61598,-122.33448,,,Other,,,243,245.1,61284660,60760232,445.5,447.7,33574922,335749,27185311,7967559,0,,299070,68432,1,11,Other,250000,Parking,49070,,,,No Issue,Compliant,,,Other
2411 ALASKAN WAY,Noble House,"Kirkland, WA",,Hotel Chain,Private Ownership,"Changed to unknown assets by Alice when I realized that Noble House business model is both ownership and management, and that they also co-own some of their properties -- we just can't tell for sure. (Original AUM back of envelope, Owned by Colee family, annual revenue $3M, conservative back of envelope 25 hotels each worth up to $100M AUM  has to be significantly more than $.5B)", https://www.noblehousehotels.com/sustainability-initiatives/ weak greenwashing text,,Alice,3,Hotel,122309,EDGEWATER INN,5.1,622,2.06,0,FALSE,314,7666202317,2020,NonResidential,,1,DOWNTOWN,223,1961,SEATTLE,WA,98121,47.61235,-122.3518,,,Hotel,66,,123.2,123.2,15070269,15070269,182.9,182.9,11328483,113285,3741787,1096655,0,,122309,0,1,4,Hotel,122309,,,,,,No Issue,Compliant,,,Hotel
99 UNION ST,Bruce McCaw and condominium owners,Multiple (billionaire with no fixed address),1,Real Estate Investment,Private Ownership,"99 Union/4 Seasons Hotel is a hotbed of well off individuals in 5-star hotel/multimillion condos.  We used McCaw assets of .925M, bumped up to 1B as a conservative estimate -- he and his investors are collectively worth far more. These condos are so expensive that their owners are essentially real estate speculators, not home-owners.",,https://www.bizjournals.com/seattle/news/2011/04/26/bruce-mccaw-led-investor-group-takes.html. Upper floors above the Four Seasons are sold as condos that sell for around $10M - these folks can afford heat pumps,Neal,3,Multifamily Housing,401964,FOUR SEASONS HOTEL & 99 UNION STREET PRIVATE RESIDENCES,4.6,1865,0.89,1,,27100,6094680000,2020,Multifamily HR (10+),,1,DOWNTOWN,NOT_FOUND,2008,SEATTLE,WA,98101,47.60742,-122.33919,,,Multifamily HR (10+),,,109.1,110.3,44031084,43552720,202.5,203.9,9782131,97821,18769289,5500964,15001297,,455883,53919,1,20,Hotel,226686,Multifamily Housing,169649,Parking,53919,,No Issue,Compliant,,,Multifamily Housing
500 5TH AVE,King County,Seattle,N/A,"Government (Seattle, UW, etc)",Government,,,This is the KC Jail,Neal,3,Other,385274,KING COUNTY CORRECTIONAL FACILITY,4.3,1671,2.48,0,FALSE,27,942001010,2020,NonResidential,KING-COUNTY GOVT,1,DOWNTOWN,NOT_FOUND,1985,SEATTLE,WA,98104,47.60378,-122.32842,,,Prison/Incarceration,,,141.5,143.4,48664052,48006552,243.4,244.5,29624197,296242,18382355,5387560,0,,385274,0,1,19,Prison/Incarceration,339315,Parking,45959,,,,No Issue,Compliant,,,Other
1325 4TH AVE,University of Washington,Seattle,8,"Government (Seattle, UW, etc)",Government,"Note: For most UW-owned properties downtown, UW is noted as the Tax Parcel owner, so easy to id ownership. Some look like and are even claimed by Wikipedia to be owned by Unico, but in fact Unico ownly manages",,Identified from TaxParcelOwner,Alice,3,Office,298426,PUGET SOUND PLAZA,4.1,1224,0.81,1,TRUE,387,2400002,2020,NonResidential,UNIVERSITY OF WASHINGTON BOARD OF REGENTS,1,DOWNTOWN,98,1960,SEATTLE,WA,98101,47.60869,-122.33588,,,Office,65,,91.1,93.5,27899656,27187932,180.8,183.6,0,0,13299556,3897877,13888377,,552176,253750,1,21,Office,286538,Parking,197750,Other - Education,11888,,No Issue,Compliant,,,Office
1218 3RD AVE,Gaw Capital,Hong Kong,33.6,Asset Management,Private Ownership,"Gaw Capital is a real estate private equity fund management firm headquartered in Hong Kong. In 2022, the firm was ranked by PERE as the 11th largest Private Equity Real Estate firm based on total fundraising over the most recent five-year period. In the US, Gaw Capital operates through their associate, Downtown Partners","""To maintain our buildings’ overall ability to provide a comfortable, healthy, and productive environment over the long term without negatively impacting the environment.
To ensure our asset management to be under an efficient and manageable processes and systems in place which comply with stakeholder requirements related to quality, health and safety, environmental management, corporate social responsibility and other areas of sustainable development."".  Has a carbon neutral data center.  But also a bunch of greenwashing language.",Hong Kong's Gaw Capital buys Seattle Tower,Alex,2,Office,203251,SEATTLE TOWER,4,813,0.81,1,TRUE,765,1975200005,2020,NonResidential,DP BUNKER HILL LLC,1,DOWNTOWN,NOT_FOUND,1929,SEATTLE,WA,98101,47.60769,-122.33544,,,Office,71,,79.2,82.5,16765020,16102525,148,151.9,65147,651,6714454,1967894,9322924,,216571,13320,1,27,Office,193796,Parking,13320,Retail Store,7106,,No Issue,Compliant,,,Office
1414 4TH AVE,Hilton Worldwide,"Tysons, VA",15.51,Hotel Chain,Private Ownership,,"We seek to operate and grow sustainably, reducing our consumption of natural resources. Through climate action and destination stewardship, we intend to pave the way to a net-zero future for our company and the global travel and tourism industry. Learn more about our efforts to reduce Watts, Water and Waste at our hotels. - https://esg.hilton.com/environment/",Found business article on hotel aquisition (https://www.bizjournals.com/seattle/news/2023/01/12/hotel-motif-seattle-hilton.html),Alex,3,Hotel,272787,MOTIF SEATTLE,3.8,1025,2.06,0,FALSE,410,1975700255,2020,NonResidential,1415 5TH AVENUE SEATTLE LLC,1,DOWNTOWN,297,1973,SEATTLE,WA,98101,47.60996,-122.33572,,,Hotel,44,,90.9,92.2,25146202,24793154,184.7,186.2,905623,9056,12954470,3796738,10933061,,332067,59280,1,19,Hotel,272787,Parking,59280,,,,No Issue,Compliant,,,Hotel
600 STEWART ST,BentallGreenOak,"Toronto, ON",83,Real Estate Investment,Private Ownership,"BentallGreenOak is a leading, global real estate investment management advisor and a globally-recognized provider of real estate services. BentallGreenOak serves the interests of more than 750 institutional clients with approximately $48 billion USD of assets under management (as of September 30, 2019) and expertise in the asset management of office, retail, industrial and multi-residential property across the globe.","Championing sustainability and the transition to Net Zero BGO embeds environmental, social, and governance (ESG) considerations into our investment approach and decision-making processes. Driven by a sustainability mindset, our people, tools, and programs deliver ESG excellence.","This Joshua Green corp press release says Joshua Green bought Plaza 600 for $$54.9., which they did in the sense that JG owns a big chunk of UR, and it's unclear exectly which of them owns any particular buidling they hold. UR website says ""We acquired the building in 2012, with our partner, Joshua Green Corporation"".  However, later articles like this one, show BentallGreenOak investing as ""new equity partner"" to the tune of $97M, whiich would give BentallGreenOak a mjority stake.",Alex,1,Office,233517,PLAZA 600 BUILDING,3.7,870,0.81,1,TRUE,333,659000555,2020,NonResidential,BGO PLAZA 600 JV LLC,1,DOWNTOWN,NOT_FOUND,1969,SEATTLE,WA,98101,47.61402,-122.33712,,,Office,77,,76.4,78.9,17878246,17293324,143.2,146.3,0,0,7283859,2134777,10009464,,265851,32334,1,20,Office,226454,Parking,29214,,,,No Issue,Compliant,,,Office
1300 1ST AVE,Seattle Art Museum,Seattle,N/A,Nonprofit,Nonprofit/Religious Ownership,,,No owner in Corporations&Charities + occupied by Seattle Art Museum,Alice,3,Entertainment/Public Assembly,280230,SEATTLE ART MUSEUM,3.6,998,1.18,0,TRUE,525,1974700010,2020,NonResidential,1301 SECOND AVE LLC,1,DOWNTOWN,NOT_FOUND,1991,SEATTLE,WA,98101,47.6074,-122.33777,,,Museum,,,118.5,119.4,33464126,33197984,269.1,270.2,884053,8841,22289102,6532562,10024828,,280230,0,1,6,Museum,280230,Restaurant,0,,,,No Issue,Compliant,,,Entertainment/Public Assembly
1101 4TH AVE,InnVest Hotels,"Toronto, ON, Canada",1.6,Real Estate Investment & Management,Private Ownership,"See AUM calculations tab for back of the envelope AUM.  But note that BlueSky the private company that bought Innvest, may actually be Angban, which is worth many many billion. ",,"Listed principles for owner from 2020 Seattle emissions data were Pebblebrook Hotels, but this article shows Pebblebrook sold Hotel Monoco to Toronto-based investor InnVest Hotels April 2023",EM,1,Hotel,133884,HOTEL MONACO,3.6,477,2.06,0,FALSE,15,942000145,2020,NonResidential,RUNNING REBELS OWNER LLC,1,DOWNTOWN,189,1969,SEATTLE,WA,98101,47.60695,-122.33414,,,Hotel,51,,85.4,86.6,13396252,13215270,164.6,165.8,4139200,41392,6389956,1872789,2686114,,153163,19279,1,11,Hotel,154723,,,,,,No Issue,Compliant,,,Hotel
