Year,College/University,College/University,College/University,College/University,College/University,College/University,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Fire/Police Station,Fire/Police Station,Fire/Police Station,Fire/Police Station,Fire/Police Station,Fire/Police Station,Hospital,Hospital,Hospital,Hospital,Hospital,Hospital,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,K-12 School,K-12 School,K-12 School,K-12 School,K-12 School,K-12 School,Laboratory,Laboratory,Laboratory,Laboratory,Laboratory,Laboratory,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Multifamily Housing,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Office,Office,Office,Office,Office,Office,Other,Other,Other,Other,Other,Other,Recreation,Recreation,Recreation,Recreation,Recreation,Recreation,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,Retail Store,Retail Store,Retail Store,Retail Store,Retail Store,Retail Store,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Senior Living Community,Senior Living Community,Senior Living Community,Senior Living Community,Senior Living Community,Senior Living Community,Services,Services,Services,Services,Services,Services,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Worship Facility,Worship Facility,Worship Facility,Worship Facility,Worship Facility,Worship Facility,NA,NA,NA,NA,NA,NA
Building sq ft,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings
Building sq ft category,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F
2027,2.83,2.83,0,0,0,0,1.25,1.25,0,0,0,0,2.44,2.44,0,0,0,0,5.12,5.12,0,0,0,0,2.22,2.22,0,0,0,0,0.98,0.98,0,0,0,0,6.78,6.78,0,0,0,0,0,0,0,0,0,0,0.65,0.65,0,0,0,0,0.63,0.63,0,0,0,0,2.13,2.13,0,0,0,0,3.25,3.25,0,0,0,0,0.38,0.38,0,0,0,0,1.18,1.18,0,0,0,0,5.85,5.85,0,0,0,0,0.91,0.91,0,0,0,0,0.25,0.25,0,0,0,0,2.12,2.12,0,0,0,0,1.46,1.46,0,0,0,0,3.54,3.54,0,0,0,0,1.19,1.19,0,0,0,0,0,0,0,0,0,0
2028,2.83,2.83,2.83,0,0,0,1.25,1.25,1.25,0,0,0,2.44,2.44,2.44,0,0,0,5.12,5.12,5.12,0,0,0,2.22,2.22,2.22,0,0,0,0.98,0.98,0.98,0,0,0,6.78,6.78,6.78,0,0,0,0,0,0,0,0,0,0.65,0.65,0.65,0,0,0,0.63,0.63,0.63,0,0,0,2.13,2.13,2.13,0,0,0,3.25,3.25,3.25,0,0,0,0.38,0.38,0.38,0,0,0,1.18,1.18,1.18,0,0,0,5.85,5.85,5.85,0,0,0,0.91,0.91,0.91,0,0,0,0.25,0.25,0.25,0,0,0,2.12,2.12,2.12,0,0,0,1.46,1.46,1.46,0,0,0,3.54,3.54,3.54,0,0,0,1.19,1.19,1.19,0,0,0,0,0,0,0,0,0
2029,2.83,2.83,2.83,2.83,0,0,1.25,1.25,1.25,1.25,0,0,2.44,2.44,2.44,2.44,0,0,5.12,5.12,5.12,5.12,0,0,2.22,2.22,2.22,2.22,0,0,0.98,0.98,0.98,0.98,0,0,6.78,6.78,6.78,6.78,0,0,0,0,0,0,0,0,0.65,0.65,0.65,0.65,0,0,0.63,0.63,0.63,0.63,0,0,2.13,2.13,2.13,2.13,0,0,3.25,3.25,3.25,3.25,0,0,0.38,0.38,0.38,0.38,0,0,1.18,1.18,1.18,1.18,0,0,5.85,5.85,5.85,5.85,0,0,0.91,0.91,0.91,0.91,0,0,0.25,0.25,0.25,0.25,0,0,2.12,2.12,2.12,2.12,0,0,1.46,1.46,1.46,1.46,0,0,3.54,3.54,3.54,3.54,0,0,1.19,1.19,1.19,1.19,0,0,0,0,0,0,0,0
2030,2.83,2.83,2.83,2.83,2.83,0,1.25,1.25,1.25,1.25,1.25,0,2.44,2.44,2.44,2.44,2.44,0,5.12,5.12,5.12,5.12,5.12,0,2.22,2.22,2.22,2.22,2.22,0,0.98,0.98,0.98,0.98,0.98,0,6.78,6.78,6.78,6.78,6.78,0,0,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0,0.63,0.63,0.63,0.63,0.63,0,2.13,2.13,2.13,2.13,2.13,0,3.25,3.25,3.25,3.25,3.25,0,0.38,0.38,0.38,0.38,0.38,0,1.18,1.18,1.18,1.18,1.18,0,5.85,5.85,5.85,5.85,5.85,0,0.91,0.91,0.91,0.91,0.91,0,0.25,0.25,0.25,0.25,0.25,0,2.12,2.12,2.12,2.12,2.12,0,1.46,1.46,1.46,1.46,1.46,0,3.54,3.54,3.54,3.54,3.54,0,1.19,1.19,1.19,1.19,1.19,0,0,0,0,0,0,0
2031,2,2.83,2.83,2.83,2.83,0,0.89,1.25,1.25,1.25,1.25,0,1.72,2.44,2.44,2.44,2.44,0,3.62,5.12,5.12,5.12,5.12,0,1.57,2.22,2.22,2.22,2.22,0,0.69,0.98,0.98,0.98,0.98,0,4.79,6.78,6.78,6.78,6.78,0,0.65,0,0,0,0,0,0.46,0.65,0.65,0.65,0.65,0,0.44,0.63,0.63,0.63,0.63,0,1.51,2.13,2.13,2.13,2.13,0,2.29,3.25,3.25,3.25,3.25,0,0.27,0.38,0.38,0.38,0.38,0,0.84,1.18,1.18,1.18,1.18,0,4.13,5.85,5.85,5.85,5.85,0,0.64,0.91,0.91,0.91,0.91,0,0.17,0.25,0.25,0.25,0.25,0,1.5,2.12,2.12,2.12,2.12,0,1.03,1.46,1.46,1.46,1.46,0,2.5,3.54,3.54,3.54,3.54,0,0.84,1.19,1.19,1.19,1.19,0,0,0,0,0,0,0
2032,2,2,2.83,2.83,2.83,0,0.89,0.89,1.25,1.25,1.25,0,1.72,1.72,2.44,2.44,2.44,0,3.62,3.62,5.12,5.12,5.12,0,1.57,1.57,2.22,2.22,2.22,0,0.69,0.69,0.98,0.98,0.98,0,4.79,4.79,6.78,6.78,6.78,0,0.65,0.65,0,0,0,0,0.46,0.46,0.65,0.65,0.65,0,0.44,0.44,0.63,0.63,0.63,0,1.51,1.51,2.13,2.13,2.13,0,2.29,2.29,3.25,3.25,3.25,0,0.27,0.27,0.38,0.38,0.38,0,0.84,0.84,1.18,1.18,1.18,0,4.13,4.13,5.85,5.85,5.85,0,0.64,0.64,0.91,0.91,0.91,0,0.17,0.17,0.25,0.25,0.25,0,1.5,1.5,2.12,2.12,2.12,0,1.03,1.03,1.46,1.46,1.46,0,2.5,2.5,3.54,3.54,3.54,0,0.84,0.84,1.19,1.19,1.19,0,0,0,0,0,0,0
2033,2,2,2,2.83,2.83,0,0.89,0.89,0.89,1.25,1.25,0,1.72,1.72,1.72,2.44,2.44,0,3.62,3.62,3.62,5.12,5.12,0,1.57,1.57,1.57,2.22,2.22,0,0.69,0.69,0.69,0.98,0.98,0,4.79,4.79,4.79,6.78,6.78,0,0.65,0.65,0.65,0,0,0,0.46,0.46,0.46,0.65,0.65,0,0.44,0.44,0.44,0.63,0.63,0,1.51,1.51,1.51,2.13,2.13,0,2.29,2.29,2.29,3.25,3.25,0,0.27,0.27,0.27,0.38,0.38,0,0.84,0.84,0.84,1.18,1.18,0,4.13,4.13,4.13,5.85,5.85,0,0.64,0.64,0.64,0.91,0.91,0,0.17,0.17,0.17,0.25,0.25,0,1.5,1.5,1.5,2.12,2.12,0,1.03,1.03,1.03,1.46,1.46,0,2.5,2.5,2.5,3.54,3.54,0,0.84,0.84,0.84,1.19,1.19,0,0,0,0,0,0,0
2034,2,2,2,2,2.83,0,0.89,0.89,0.89,0.89,1.25,0,1.72,1.72,1.72,1.72,2.44,0,3.62,3.62,3.62,3.62,5.12,0,1.57,1.57,1.57,1.57,2.22,0,0.69,0.69,0.69,0.69,0.98,0,4.79,4.79,4.79,4.79,6.78,0,0.65,0.65,0.65,0.65,0,0,0.46,0.46,0.46,0.46,0.65,0,0.44,0.44,0.44,0.44,0.63,0,1.51,1.51,1.51,1.51,2.13,0,2.29,2.29,2.29,2.29,3.25,0,0.27,0.27,0.27,0.27,0.38,0,0.84,0.84,0.84,0.84,1.18,0,4.13,4.13,4.13,4.13,5.85,0,0.64,0.64,0.64,0.64,0.91,0,0.17,0.17,0.17,0.17,0.25,0,1.5,1.5,1.5,1.5,2.12,0,1.03,1.03,1.03,1.03,1.46,0,2.5,2.5,2.5,2.5,3.54,0,0.84,0.84,0.84,0.84,1.19,0,0,0,0,0,0,0
