Year,College/University,College/University,College/University,College/University,College/University,College/University,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Entertainment/Public Assembly,Fire/Police Station,Fire/Police Station,Fire/Police Station,Fire/Police Station,Fire/Police Station,Fire/Police Station,Hospital,Hospital,Hospital,Hospital,Hospital,Hospital,Hotel,Hotel,Hotel,Hotel,Hotel,Hotel,K-12 School,K-12 School,K-12 School,K-12 School,K-12 School,K-12 School,Laboratory,Laboratory,Laboratory,Laboratory,Laboratory,Laboratory,Multifamily Housing2,Multifamily Housing3,Multifamily Housing4,Multifamily Housing5,Multifamily Housing6,Multifamily Housing7,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,Office,Office,Office,Office,Office,Office,Other,Other,Other,Other,Other,Other,Recreation,Recreation,Recreation,Recreation,Recreation,Recreation,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Refrigerated Warehouse,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,Restaurant,Retail Store,Retail Store,Retail Store,Retail Store,Retail Store,Retail Store,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Self-Storage Facility,Senior Living Community,Senior Living Community,Senior Living Community,Senior Living Community,Senior Living Community,Senior Living Community,Services,Services,Services,Services,Services,Services,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Supermarket/Grocery Store,Worship Facility,Worship Facility,Worship Facility,Worship Facility,Worship Facility,Worship Facility,NA,NA,NA,NA,NA,NA
Building sq ft,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings,>220K Buildings,>90-220K Buildings,>50-90K Buildings,>30-50K Buildings,>20-30K Buildings,<20k buildings
Building sq ft category,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F,A,B,C,D,E,F
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,2.69,0,0,0,0,0,1.18,0,0,0,0,0,2.23,0,0,0,0,0,4.68,0,0,0,0,0,2.06,0,0,0,0,0,0.95,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0.81,0,0,0,0,0,2.48,0,0,0,0,0,3.22,0,0,0,0,0,0.98,0,0,0,0,0,1.16,,0,0,0,0,5.73,0,0,0,0,0,1.03,0,0,0,0,0,0.31,0,0,0,0,0,2.11,0,0,0,0,0,1.36,0,0,0,0,0,3.42,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0
2032,2.69,2.69,0,0,0,0,1.18,1.18,0,0,0,0,2.23,2.23,0,0,0,0,4.68,4.68,0,0,0,0,2.06,2.06,0,0,0,0,0.95,0.95,0,0,0,0,6.3,6.3,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0.81,0.81,0,0,0,0,2.48,2.48,0,0,0,0,3.22,3.22,0,0,0,0,0.98,0.98,0,0,0,0,1.16,1.16,0,0,0,0,5.73,5.73,0,0,0,0,1.03,1.03,0,0,0,0,0.31,0.31,0,0,0,0,2.11,2.11,0,0,0,0,1.36,1.36,0,0,0,0,3.42,3.42,0,0,0,0,1.2,1.2,0,0,0,0,0,0,0,0,0,0
2033,2.69,2.69,2.69,0,0,0,1.18,1.18,1.18,0,0,0,2.23,2.23,2.23,0,0,0,4.68,4.68,4.68,0,0,0,2.06,2.06,2.06,0,0,0,0.95,0.95,0.95,0,0,0,6.3,6.3,6.3,0,0,0,0,0,0,0,0,0,0.77,0.77,0.77,0,0,0,0.81,0.81,0.81,0,0,0,2.48,2.48,2.48,0,0,0,3.22,3.22,3.22,0,0,0,0.98,0.98,0.98,0,0,0,1.16,1.16,1.16,0,0,0,5.73,5.73,5.73,0,0,0,1.03,1.03,1.03,0,0,0,0.31,0.31,0.31,0,0,0,2.11,2.11,2.11,0,0,0,1.36,1.36,1.36,0,0,0,3.42,3.42,3.42,0,0,0,1.2,1.2,1.2,0,0,0,0,0,0,0,0,0
2034,2.69,2.69,2.69,2.69,0,0,1.18,1.18,1.18,1.18,0,0,2.23,2.23,2.23,2.23,0,0,4.68,4.68,4.68,4.68,0,0,2.06,2.06,2.06,2.06,0,0,0.95,0.95,0.95,0.95,0,0,6.3,6.3,6.3,6.3,0,0,0,0,0,0,0,0,0.77,0.77,0.77,0.77,0,0,0.81,0.81,0.81,0.81,0,0,2.48,2.48,2.48,2.48,0,0,3.22,3.22,3.22,3.22,0,0,0.98,0.98,0.98,0.98,0,0,1.16,1.16,1.16,1.16,0,0,5.73,5.73,5.73,5.73,0,0,1.03,1.03,1.03,1.03,0,0,0.31,0.31,0.31,0.31,0,0,2.11,2.11,2.11,2.11,0,0,1.36,1.36,1.36,1.36,0,0,3.42,3.42,3.42,3.42,0,0,1.2,1.2,1.2,1.2,0,0,0,0,0,0,0,0
