,year,building_type,sq_ft,sq_ft_classification,ghgi,max_size,min_size
0,2027,College/University,>220K Buildings,A,2.83,1000000,220000
1,2027,College/University,>90-220K Buildings,B,2.83,220000,90000
2,2027,College/University,>50-90K Buildings,C,,90000,50000
3,2027,College/University,>30-50K Buildings,D,,50000,30000
4,2027,College/University,>20-30K Buildings,E,,50000,20000
5,2027,College/University,<20k buildings,F,,20000,0
6,2027,Entertainment/Public Assembly,>220K Buildings,A,1.25,1000000,220000
7,2027,Entertainment/Public Assembly,>90-220K Buildings,B,1.25,220000,90000
8,2027,Entertainment/Public Assembly,>50-90K Buildings,C,,90000,50000
9,2027,Entertainment/Public Assembly,>30-50K Buildings,D,,50000,30000
10,2027,Entertainment/Public Assembly,>20-30K Buildings,E,,50000,20000
11,2027,Entertainment/Public Assembly,<20k buildings,F,,20000,0
12,2027,Fire/Police Station,>220K Buildings,A,2.44,1000000,220000
13,2027,Fire/Police Station,>90-220K Buildings,B,2.44,220000,90000
14,2027,Fire/Police Station,>50-90K Buildings,C,,90000,50000
15,2027,Fire/Police Station,>30-50K Buildings,D,,50000,30000
16,2027,Fire/Police Station,>20-30K Buildings,E,,50000,20000
17,2027,Fire/Police Station,<20k buildings,F,,20000,0
18,2027,Hospital,>220K Buildings,A,5.12,1000000,220000
19,2027,Hospital,>90-220K Buildings,B,5.12,220000,90000
20,2027,Hospital,>50-90K Buildings,C,,90000,50000
21,2027,Hospital,>30-50K Buildings,D,,50000,30000
22,2027,Hospital,>20-30K Buildings,E,,50000,20000
23,2027,Hospital,<20k buildings,F,,20000,0
24,2027,Hotel,>220K Buildings,A,2.22,1000000,220000
25,2027,Hotel,>90-220K Buildings,B,2.22,220000,90000
26,2027,Hotel,>50-90K Buildings,C,,90000,50000
27,2027,Hotel,>30-50K Buildings,D,,50000,30000
28,2027,Hotel,>20-30K Buildings,E,,50000,20000
29,2027,Hotel,<20k buildings,F,,20000,0
30,2027,K-12 School,>220K Buildings,A,0.98,1000000,220000
31,2027,K-12 School,>90-220K Buildings,B,0.98,220000,90000
32,2027,K-12 School,>50-90K Buildings,C,,90000,50000
33,2027,K-12 School,>30-50K Buildings,D,,50000,30000
34,2027,K-12 School,>20-30K Buildings,E,,50000,20000
35,2027,K-12 School,<20k buildings,F,,20000,0
36,2027,Laboratory,>220K Buildings,A,6.78,1000000,220000
37,2027,Laboratory,>90-220K Buildings,B,6.78,220000,90000
38,2027,Laboratory,>50-90K Buildings,C,,90000,50000
39,2027,Laboratory,>30-50K Buildings,D,,50000,30000
40,2027,Laboratory,>20-30K Buildings,E,,50000,20000
41,2027,Laboratory,<20k buildings,F,,20000,0
42,2027,Multifamily Housing,>220K Buildings,A,,1000000,220000
43,2027,Multifamily Housing,>90-220K Buildings,B,,220000,90000
44,2027,Multifamily Housing,>50-90K Buildings,C,,90000,50000
45,2027,Multifamily Housing,>30-50K Buildings,D,,50000,30000
46,2027,Multifamily Housing,>20-30K Buildings,E,,50000,20000
47,2027,Multifamily Housing,<20k buildings,F,,20000,0
48,2027,Non-Refrigerated Warehouse,>220K Buildings,A,0.65,1000000,220000
49,2027,Non-Refrigerated Warehouse,>90-220K Buildings,B,0.65,220000,90000
50,2027,Non-Refrigerated Warehouse,>50-90K Buildings,C,,90000,50000
51,2027,Non-Refrigerated Warehouse,>30-50K Buildings,D,,50000,30000
52,2027,Non-Refrigerated Warehouse,>20-30K Buildings,E,,50000,20000
53,2027,Non-Refrigerated Warehouse,<20k buildings,F,,20000,0
54,2027,Office,>220K Buildings,A,0.63,1000000,220000
55,2027,Office,>90-220K Buildings,B,0.63,220000,90000
56,2027,Office,>50-90K Buildings,C,,90000,50000
57,2027,Office,>30-50K Buildings,D,,50000,30000
58,2027,Office,>20-30K Buildings,E,,50000,20000
59,2027,Office,<20k buildings,F,,20000,0
60,2027,Other,>220K Buildings,A,2.13,1000000,220000
61,2027,Other,>90-220K Buildings,B,2.13,220000,90000
62,2027,Other,>50-90K Buildings,C,,90000,50000
63,2027,Other,>30-50K Buildings,D,,50000,30000
64,2027,Other,>20-30K Buildings,E,,50000,20000
65,2027,Other,<20k buildings,F,,20000,0
66,2027,Recreation,>220K Buildings,A,3.25,1000000,220000
67,2027,Recreation,>90-220K Buildings,B,3.25,220000,90000
68,2027,Recreation,>50-90K Buildings,C,,90000,50000
69,2027,Recreation,>30-50K Buildings,D,,50000,30000
70,2027,Recreation,>20-30K Buildings,E,,50000,20000
71,2027,Recreation,<20k buildings,F,,20000,0
72,2027,Refrigerated Warehouse,>220K Buildings,A,0.38,1000000,220000
73,2027,Refrigerated Warehouse,>90-220K Buildings,B,0.38,220000,90000
74,2027,Refrigerated Warehouse,>50-90K Buildings,C,,90000,50000
75,2027,Refrigerated Warehouse,>30-50K Buildings,D,,50000,30000
76,2027,Refrigerated Warehouse,>20-30K Buildings,E,,50000,20000
77,2027,Refrigerated Warehouse,<20k buildings,F,,20000,0
78,2027,Residence Hall/Dormitory,>220K Buildings,A,1.18,1000000,220000
79,2027,Residence Hall/Dormitory,>90-220K Buildings,B,1.18,220000,90000
80,2027,Residence Hall/Dormitory,>50-90K Buildings,C,,90000,50000
81,2027,Residence Hall/Dormitory,>30-50K Buildings,D,,50000,30000
82,2027,Residence Hall/Dormitory,>20-30K Buildings,E,,50000,20000
83,2027,Residence Hall/Dormitory,<20k buildings,F,,20000,0
84,2027,Restaurant,>220K Buildings,A,5.85,1000000,220000
85,2027,Restaurant,>90-220K Buildings,B,5.85,220000,90000
86,2027,Restaurant,>50-90K Buildings,C,,90000,50000
87,2027,Restaurant,>30-50K Buildings,D,,50000,30000
88,2027,Restaurant,>20-30K Buildings,E,,50000,20000
89,2027,Restaurant,<20k buildings,F,,20000,0
90,2027,Retail Store,>220K Buildings,A,0.91,1000000,220000
91,2027,Retail Store,>90-220K Buildings,B,0.91,220000,90000
92,2027,Retail Store,>50-90K Buildings,C,,90000,50000
93,2027,Retail Store,>30-50K Buildings,D,,50000,30000
94,2027,Retail Store,>20-30K Buildings,E,,50000,20000
95,2027,Retail Store,<20k buildings,F,,20000,0
96,2027,Self-Storage Facility,>220K Buildings,A,0.25,1000000,220000
97,2027,Self-Storage Facility,>90-220K Buildings,B,0.25,220000,90000
98,2027,Self-Storage Facility,>50-90K Buildings,C,,90000,50000
99,2027,Self-Storage Facility,>30-50K Buildings,D,,50000,30000
100,2027,Self-Storage Facility,>20-30K Buildings,E,,50000,20000
101,2027,Self-Storage Facility,<20k buildings,F,,20000,0
102,2027,Senior Living Community,>220K Buildings,A,2.12,1000000,220000
103,2027,Senior Living Community,>90-220K Buildings,B,2.12,220000,90000
104,2027,Senior Living Community,>50-90K Buildings,C,,90000,50000
105,2027,Senior Living Community,>30-50K Buildings,D,,50000,30000
106,2027,Senior Living Community,>20-30K Buildings,E,,50000,20000
107,2027,Senior Living Community,<20k buildings,F,,20000,0
108,2027,Services,>220K Buildings,A,1.46,1000000,220000
109,2027,Services,>90-220K Buildings,B,1.46,220000,90000
110,2027,Services,>50-90K Buildings,C,,90000,50000
111,2027,Services,>30-50K Buildings,D,,50000,30000
112,2027,Services,>20-30K Buildings,E,,50000,20000
113,2027,Services,<20k buildings,F,,20000,0
114,2027,Supermarket/Grocery Store,>220K Buildings,A,3.54,1000000,220000
115,2027,Supermarket/Grocery Store,>90-220K Buildings,B,3.54,220000,90000
116,2027,Supermarket/Grocery Store,>50-90K Buildings,C,,90000,50000
117,2027,Supermarket/Grocery Store,>30-50K Buildings,D,,50000,30000
118,2027,Supermarket/Grocery Store,>20-30K Buildings,E,,50000,20000
119,2027,Supermarket/Grocery Store,<20k buildings,F,,20000,0
120,2027,Worship Facility,>220K Buildings,A,1.19,1000000,220000
121,2027,Worship Facility,>90-220K Buildings,B,1.19,220000,90000
122,2027,Worship Facility,>50-90K Buildings,C,,90000,50000
123,2027,Worship Facility,>30-50K Buildings,D,,50000,30000
124,2027,Worship Facility,>20-30K Buildings,E,,50000,20000
125,2027,Worship Facility,<20k buildings,F,,20000,0
126,2027,nan,>220K Buildings,A,,1000000,220000
127,2027,nan,>90-220K Buildings,B,,220000,90000
128,2027,nan,>50-90K Buildings,C,,90000,50000
129,2027,nan,>30-50K Buildings,D,,50000,30000
130,2027,nan,>20-30K Buildings,E,,50000,20000
131,2027,nan,<20k buildings,F,,20000,0
132,2028,College/University,>220K Buildings,A,2.83,1000000,220000
133,2028,College/University,>90-220K Buildings,B,2.83,220000,90000
134,2028,College/University,>50-90K Buildings,C,2.83,90000,50000
135,2028,College/University,>30-50K Buildings,D,,50000,30000
136,2028,College/University,>20-30K Buildings,E,,50000,20000
137,2028,College/University,<20k buildings,F,,20000,0
138,2028,Entertainment/Public Assembly,>220K Buildings,A,1.25,1000000,220000
139,2028,Entertainment/Public Assembly,>90-220K Buildings,B,1.25,220000,90000
140,2028,Entertainment/Public Assembly,>50-90K Buildings,C,1.25,90000,50000
141,2028,Entertainment/Public Assembly,>30-50K Buildings,D,,50000,30000
142,2028,Entertainment/Public Assembly,>20-30K Buildings,E,,50000,20000
143,2028,Entertainment/Public Assembly,<20k buildings,F,,20000,0
144,2028,Fire/Police Station,>220K Buildings,A,2.44,1000000,220000
145,2028,Fire/Police Station,>90-220K Buildings,B,2.44,220000,90000
146,2028,Fire/Police Station,>50-90K Buildings,C,2.44,90000,50000
147,2028,Fire/Police Station,>30-50K Buildings,D,,50000,30000
148,2028,Fire/Police Station,>20-30K Buildings,E,,50000,20000
149,2028,Fire/Police Station,<20k buildings,F,,20000,0
150,2028,Hospital,>220K Buildings,A,5.12,1000000,220000
151,2028,Hospital,>90-220K Buildings,B,5.12,220000,90000
152,2028,Hospital,>50-90K Buildings,C,5.12,90000,50000
153,2028,Hospital,>30-50K Buildings,D,,50000,30000
154,2028,Hospital,>20-30K Buildings,E,,50000,20000
155,2028,Hospital,<20k buildings,F,,20000,0
156,2028,Hotel,>220K Buildings,A,2.22,1000000,220000
157,2028,Hotel,>90-220K Buildings,B,2.22,220000,90000
158,2028,Hotel,>50-90K Buildings,C,2.22,90000,50000
159,2028,Hotel,>30-50K Buildings,D,,50000,30000
160,2028,Hotel,>20-30K Buildings,E,,50000,20000
161,2028,Hotel,<20k buildings,F,,20000,0
162,2028,K-12 School,>220K Buildings,A,0.98,1000000,220000
163,2028,K-12 School,>90-220K Buildings,B,0.98,220000,90000
164,2028,K-12 School,>50-90K Buildings,C,0.98,90000,50000
165,2028,K-12 School,>30-50K Buildings,D,,50000,30000
166,2028,K-12 School,>20-30K Buildings,E,,50000,20000
167,2028,K-12 School,<20k buildings,F,,20000,0
168,2028,Laboratory,>220K Buildings,A,6.78,1000000,220000
169,2028,Laboratory,>90-220K Buildings,B,6.78,220000,90000
170,2028,Laboratory,>50-90K Buildings,C,6.78,90000,50000
171,2028,Laboratory,>30-50K Buildings,D,,50000,30000
172,2028,Laboratory,>20-30K Buildings,E,,50000,20000
173,2028,Laboratory,<20k buildings,F,,20000,0
174,2028,Multifamily Housing,>220K Buildings,A,,1000000,220000
175,2028,Multifamily Housing,>90-220K Buildings,B,,220000,90000
176,2028,Multifamily Housing,>50-90K Buildings,C,,90000,50000
177,2028,Multifamily Housing,>30-50K Buildings,D,,50000,30000
178,2028,Multifamily Housing,>20-30K Buildings,E,,50000,20000
179,2028,Multifamily Housing,<20k buildings,F,,20000,0
180,2028,Non-Refrigerated Warehouse,>220K Buildings,A,0.65,1000000,220000
181,2028,Non-Refrigerated Warehouse,>90-220K Buildings,B,0.65,220000,90000
182,2028,Non-Refrigerated Warehouse,>50-90K Buildings,C,0.65,90000,50000
183,2028,Non-Refrigerated Warehouse,>30-50K Buildings,D,,50000,30000
184,2028,Non-Refrigerated Warehouse,>20-30K Buildings,E,,50000,20000
185,2028,Non-Refrigerated Warehouse,<20k buildings,F,,20000,0
186,2028,Office,>220K Buildings,A,0.63,1000000,220000
187,2028,Office,>90-220K Buildings,B,0.63,220000,90000
188,2028,Office,>50-90K Buildings,C,0.63,90000,50000
189,2028,Office,>30-50K Buildings,D,,50000,30000
190,2028,Office,>20-30K Buildings,E,,50000,20000
191,2028,Office,<20k buildings,F,,20000,0
192,2028,Other,>220K Buildings,A,2.13,1000000,220000
193,2028,Other,>90-220K Buildings,B,2.13,220000,90000
194,2028,Other,>50-90K Buildings,C,2.13,90000,50000
195,2028,Other,>30-50K Buildings,D,,50000,30000
196,2028,Other,>20-30K Buildings,E,,50000,20000
197,2028,Other,<20k buildings,F,,20000,0
198,2028,Recreation,>220K Buildings,A,3.25,1000000,220000
199,2028,Recreation,>90-220K Buildings,B,3.25,220000,90000
200,2028,Recreation,>50-90K Buildings,C,3.25,90000,50000
201,2028,Recreation,>30-50K Buildings,D,,50000,30000
202,2028,Recreation,>20-30K Buildings,E,,50000,20000
203,2028,Recreation,<20k buildings,F,,20000,0
204,2028,Refrigerated Warehouse,>220K Buildings,A,0.38,1000000,220000
205,2028,Refrigerated Warehouse,>90-220K Buildings,B,0.38,220000,90000
206,2028,Refrigerated Warehouse,>50-90K Buildings,C,0.38,90000,50000
207,2028,Refrigerated Warehouse,>30-50K Buildings,D,,50000,30000
208,2028,Refrigerated Warehouse,>20-30K Buildings,E,,50000,20000
209,2028,Refrigerated Warehouse,<20k buildings,F,,20000,0
210,2028,Residence Hall/Dormitory,>220K Buildings,A,1.18,1000000,220000
211,2028,Residence Hall/Dormitory,>90-220K Buildings,B,1.18,220000,90000
212,2028,Residence Hall/Dormitory,>50-90K Buildings,C,1.18,90000,50000
213,2028,Residence Hall/Dormitory,>30-50K Buildings,D,,50000,30000
