year,compliant_emissions
2027.0,456192001.006985
2028.0,456192001.006985
2029.0,456192001.006985
2030.0,420462557.80821
2031.0,362165024.487488
2032.0,329047050.44857997
2033.0,306554038.109564
2034.0,289953119.561084
2035.0,259987067.425277
2036.0,224489737.68775
2037.0,201905041.407122
2038.0,187058724.303899
2039.0,176483601.8048
2040.0,163683035.7408
2041.0,102840688.5845
2042.0,75672838.8714
2043.0,71463081.624717
2044.0,61586357.853981
2045.0,54731727.96939
2046.0,33945048.0274
2047.0,31381110.2472
2048.0,29599344.6435
2049.0,28322887.8808
2050.0,0.0
