year,compliant_emissions
2027.0,263577277.56786224
2028.0,225677915.61748254
2029.0,204780825.63851756
2030.0,179173440.30561447
2031.0,151538195.27664763
2032.0,122720205.76484376
2033.0,100677176.57527076
2034.0,83956206.91380775
2035.0,71599382.80807686
2036.0,62201260.98657102
2037.0,57289574.95367051
2038.0,54938206.41865578
2039.0,50507305.19423079
2040.0,45942767.10976965
2041.0,29720196.18210925
2042.0,22934307.5385063
2043.0,19693244.7983885
2044.0,13072577.6901385
2045.0,8661883.912001563
2046.0,6968359.859193945
2047.0,5078998.88993313
2048.0,4158003.48565
2049.0,2505209.75515
2050.0,1355741.06
