,OSEBuildingID,BuildingName,Total_sqft,sq_ft_classification,LargestPropertyUseType OSE,SecondLargestPropertyUseType OSE,ThirdLargestPropertyUseType OSE,year,expected_baseline,expected_baseline_ghgi,city_ghgi_target,compliant_ghgi,compliant_emissions,compliance_status,compliance_fees
0,1,MAYFLOWER PARK HOTEL,88434,C,Hotel,,,2040.0,133293.18,1.5072616866815929,0.22683349609375,0.22683349609375,20059.793393554686,No,221085.0
1,2,PARAMOUNT HOTEL,88502,C,Hotel,,Restaurant,2040.0,270805.81779999996,3.059883593591105,0.245528564453125,0.245528564453125,21729.769011230466,No,221255.0
2,3,WESTIN HOTEL (Parent Building),756493,A,Hotel,,Recreation,2040.0,741315.8217,0.9799374504456749,0.22683349609375,0.22683349609375,171597.95196044922,No,1891232.5
3,5,HOTEL MAX,61320,C,Hotel,,,2040.0,166985.1243,2.7231755430528377,0.22683349609375,0.22683349609375,13909.42998046875,No,153300.0
4,8,WARWICK SEATTLE HOTEL,123445,B,Hotel,,Recreation,2040.0,557705.8095,4.517848511482846,0.22683349609375,0.22683349609375,28001.46092529297,No,308612.5
5,9,WEST PRECINCT (SEATTLE POLICE),50755,C,Fire/Police Station,,,2040.0,300101.14739999996,5.91274056546153,0.249267578125,0.249267578125,12651.575927734375,No,126887.5
6,10,CAMLIN WORLDMARK HOTEL,81352,C,Hotel,,,2040.0,178617.6213,2.1956143831743535,0.22683349609375,0.22683349609375,18453.35857421875,No,203380.0
7,11,PARAMOUNT THEATER,102761,B,Entertainment/Public Assembly,,,2040.0,102152.3111,0.9940766545673944,0.129619140625,0.129619140625,13319.792509765624,No,256902.5
8,12,COURTYARD BY MARRIOTT - PIONEER SQ,163984,B,Hotel,,,2040.0,431467.8403,2.631158163601327,0.22683349609375,0.22683349609375,37197.0640234375,No,409960.0
9,13,LYON BUILDING,61282,C,Multifamily Housing,Retail Store,Office,2040.0,109127.6164,1.780745021376587,0.105290625,0.105290625,6452.42008125,No,153205.0
10,15,HOTEL MONACO,154723,B,Hotel,,,2040.0,390097.24049999996,2.5212621297415376,0.22683349609375,0.22683349609375,35096.35901611328,No,386807.5
11,16,W SEATTLE HOTEL,292079,A,Hotel,,,2040.0,350435.99679999996,1.1997986736465134,0.22683349609375,0.22683349609375,66253.3007055664,No,730197.5
12,17,EXECUTIVE PACIFIC PLAZA,65009,C,Hotel,,,2040.0,138546.2928,2.1311863403528744,0.22683349609375,0.22683349609375,14746.218747558594,No,162522.5
