,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,OSEBuildingID,BuildingName,BuildingType,Type_of_Bulding,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,Total_sqft,percent_sqft_1st,percent_sqft_2nd,percent_sqft_3rd,LargestPropertyUseType,LargestPropertyUseType OSE,LargestPropertyUseTypeGFA,LargestPropertyUseTypeGFA Analysis,SecondLargestPropertyUseType,SecondLargestPropertyUseType OSE,SecondLargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA Analysis,ThirdLargestPropertyUseType,ThirdLargestPropertyUseType OSE,ThirdLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA Analysis,Electricity(kBtu),Steam(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,Total_GFA,sq_ft_classification
0,0,0,0,1,MAYFLOWER PARK HOTEL,NonResidential,NonResidential,88434,88434,0,88434,1.0,0.0,0.0,Hotel,Hotel,88434,88434,,,0,0,,,0,0,3871996,2159078,1320791,208.8,2.4,88434,C
1,1,1,1,2,PARAMOUNT HOTEL,NonResidential,NonResidential,103566,88502,15064,88502,0.95,0.0,0.05,Hotel,Hotel,83880,83880,Parking,,15064,0,Restaurant,Restaurant,4622,4622,2946902,0,5059502,286.9,3.2,103566,C
2,2,2,2,3,WESTIN HOTEL (Parent Building),NonResidential,NonResidential,956110,759392,196718,756493,1.0,0.0,0.0,Hotel,Hotel,756493,756493,Parking,,138635,0,Swimming Pool,Recreation,0,0,44075841,22601024,1426400,1549.0,2.0,895128,A
3,3,3,3,5,HOTEL MAX,NonResidential,NonResidential,61320,61320,0,61320,1.0,0.0,0.0,Hotel,Hotel,61320,61320,,,0,0,,,0,0,2201145,2104444,2013415,232.4,3.8,61320,C
4,4,4,4,8,WARWICK SEATTLE HOTEL,NonResidential,NonResidential,175580,113580,62000,123445,1.0,0.0,0.0,Hotel,Hotel,123445,123445,Parking,,68009,0,Swimming Pool,Recreation,0,0,5444815,0,10430292,587.5,5.2,191454,B
5,5,5,5,9,WEST PRECINCT (SEATTLE POLICE),Nonresidential COS,NonResidential,97288,60090,37198,50755,1.0,0.0,0.0,Police Station,Fire/Police Station,50755,50755,Parking,,40971,0,,,0,0,7257396,0,5539047,338.9,5.6,91726,C
6,6,6,6,10,CAMLIN WORLDMARK HOTEL,NonResidential,NonResidential,83008,83008,0,81352,1.0,0.0,0.0,Hotel,Hotel,81352,81352,,,0,0,,,0,0,2341587,0,3330381,191.3,2.3,81352,C
7,7,7,7,11,PARAMOUNT THEATER,NonResidential,NonResidential,102761,102761,0,102761,1.0,0.0,0.0,Other - Entertainment/Public Assembly,Entertainment/Public Assembly,102761,102761,,,0,0,,,0,0,4239898,2605097,493872,190.9,1.9,102761,B
8,8,8,8,12,COURTYARD BY MARRIOTT - PIONEER SQ,NonResidential,NonResidential,163984,163984,0,163984,1.0,0.0,0.0,Hotel,Hotel,163984,163984,,,0,0,,,0,0,6295437,0,8033999,465.5,2.8,163984,B
9,9,9,9,13,LYON BUILDING,Multifamily MR (5-9),Multifamily,63712,62216,1496,61282,0.71,0.17,0.12,Multifamily Housing,Multifamily Housing,43377,43377,Retail Store,Retail Store,10652,10652,Office,Office,7253,7253,2391947,1247583,1366355,153.6,2.5,61282,C
10,10,10,10,15,HOTEL MONACO,NonResidential,NonResidential,153163,133884,19279,154723,1.0,0.0,0.0,Hotel,Hotel,154723,154723,,,0,0,,,0,0,9254531,5715338,4216100,584.8,4.4,154723,B
11,11,11,11,16,W SEATTLE HOTEL,NonResidential,NonResidential,333176,272015,61161,292079,1.0,0.0,0.0,Hotel,Hotel,292079,292079,Parking,,44561,0,,,0,0,18339288,6145088,3088900,603.8,2.2,336640,A
12,12,12,12,17,EXECUTIVE PACIFIC PLAZA,NonResidential,NonResidential,65009,65009,0,65009,1.0,0.0,0.0,Hotel,Hotel,65009,65009,,,0,0,,,0,0,1277690,1039214,2049248,172.0,2.6,65009,C
13,13,13,13,18,CROWNE PLAZA,NonResidential,NonResidential,353111,295511,57600,295511,1.0,0.0,0.0,Hotel,Hotel,295511,295511,Parking,,57600,0,,,0,0,13414926,0,9549927,589.9,2.0,353111,A
14,14,14,14,19,HOTEL VINTAGE PARK,NonResidential,NonResidential,92190,66990,25200,67390,1.0,0.0,0.0,Hotel,Hotel,67390,67390,,,0,0,,,0,0,2820625,3512610,1960000,308.2,4.6,67390,C
15,15,15,15,21,SEATTLE CENTRAL LIBRARY,Nonresidential COS,NonResidential,412000,355000,57000,364913,1.0,0.0,0.0,Library,Services,364913,364913,Parking,,49000,0,Data Center,,1074,0,15175392,694278,0,130.5,0.4,414987,A
16,16,16,16,22,DOWNTOWN SEATTLE YMCA,NonResidential,NonResidential,103911,103911,0,103911,0.59,0.31,0.1,Fitness Center/Health Club/Gym,Recreation,61528,61528,Office,Office,32195,32195,Other - Lodging/Residential,Hotel,10188,10188,5352486,5452715,1126579,382.7,3.7,103911,B
17,17,17,17,23,RENAISSANCE MADISON HOTEL,NonResidential,NonResidential,416281,331281,85000,348329,1.0,0.0,0.0,Hotel,Hotel,348329,348329,Parking,,85000,0,,,0,0,20629535,0,13485773,843.4,2.5,433329,A
19,19,19,19,25,DOUBLE TREE ARCTIC CLUB HOTEL - SEATTLE,NonResidential,NonResidential,104352,104352,0,104352,1.0,0.0,0.0,Hotel,Hotel,104352,104352,,,0,0,,,0,0,5553235,2507176,608807,199.9,1.9,104352,B
20,20,20,20,26,KING COUNTY COURTHOUSE,NonResidential,NonResidential,540360,540360,0,501287,1.0,0.0,0.0,Courthouse,Other,501287,501287,Barracks,,35863,0,,,0,0,23620966,0,23370698,1386.8,2.6,537150,A
21,21,21,21,27,KING COUNTY CORRECTIONAL FACILITY,NonResidential,NonResidential,385274,385274,0,339315,1.0,0.0,0.0,Prison/Incarceration,Other,339315,339315,Parking,,45959,0,,,0,0,18009795,0,31878400,1804.1,4.7,385274,A
22,22,22,22,28,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,Campus,56228,56228,0,58916,1.0,0.0,0.0,K-12 School,K-12 School,58916,58916,,,0,0,,,0,0,819208,0,834045,49.3,0.9,58916,C
23,23,23,23,29,WATERTOWN HOTEL,NonResidential,NonResidential,88592,58006,30586,67770,1.0,0.0,0.0,Hotel,Hotel,67770,67770,Parking,,30586,0,,,0,0,2114849,0,1245397,79.2,1.4,98356,C
