year,compliant_emissions
2027.0,356047261.69731
2028.0,331802051.9762
2029.0,313828143.63289
2030.0,279561717.306312
2031.0,252785505.027202
2032.0,230962954.028918
2033.0,212314345.045636
2034.0,196338479.412394
2035.0,181215461.4799
2036.0,153612304.6483
2037.0,138945349.2578
2038.0,132163361.5715
2039.0,126736533.4788
2040.0,119122072.1294
2041.0,69692637.4212
2042.0,46337678.8038
2043.0,35116140.0595
2044.0,26586367.7119
2045.0,21035720.531
2046.0,14353458.282300001
2047.0,7195210.07
2048.0,3691621.9252000004
2049.0,1513890.7182
2050.0,0.0
