,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,OSEBuildingID,BuildingName,BuildingType,Type_of_Bulding,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,Total_sqft,percent_sqft_1st,percent_sqft_2nd,percent_sqft_3rd,LargestPropertyUseType,LargestPropertyUseType OSE,LargestPropertyUseTypeGFA,LargestPropertyUseTypeGFA Analysis,SecondLargestPropertyUseType,SecondLargestPropertyUseType OSE,SecondLargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA Analysis,ThirdLargestPropertyUseType,ThirdLargestPropertyUseType OSE,ThirdLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA Analysis,Electricity(kBtu),Steam(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,Total_GFA,sq_ft_classification
18,18,18,18,24,RAINIER CLUB (HISTORICAL LANDMARK),NonResidential,NonResidential,57452,57452,0,41688,0.39,0.37,0.23,Social/Meeting Hall,Entertainment/Public Assembly,16442,16442,Restaurant,Restaurant,15505,15505,Office,Office,9741,9741,3798900,1813328,2326592,243.4,4.2,41688,D
33,33,33,33,41,2746 NE 45TH ST - PUBLIC STORAGE,NonResidential,NonResidential,26225,26225,0,45574,1.0,0.0,0.0,Self-Storage Facility,Self-Storage Facility,45574,45574,,,0,0,,,0,0,278006,0,36900,3.7,0.1,45574,D
37,37,37,37,52,SALMON BAY CENTER 5305 & 5309,NonResidential,NonResidential,94900,94900,0,49617,0.57,0.43,0.0,Office,Office,28055,28055,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,21562,21562,,,0,0,4418253,0,2393345,154.3,1.6,49617,D
84,84,84,84,131,CENTURYLINK: LAKEVIEW MAIN,NonResidential,NonResidential,56521,56521,0,49000,1.0,0.0,0.0,Other,Other,49000,49000,,,0,0,,,0,0,5064913,0,0,31.2,0.6,49000,D
91,91,91,91,141,HUGHES ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,Campus,44324,44324,0,47307,1.0,0.0,0.0,K-12 School,K-12 School,47307,47307,,,0,0,,,0,0,797395,0,772452,45.9,1.0,47307,D
115,115,115,115,195,KINDRED HOSPITAL,NonResidential,NonResidential,54224,54224,0,47012,1.0,0.0,0.0,Other/Specialty Hospital,Hospital,47012,47012,,,0,0,,,0,0,2255880,0,2383865,140.5,2.6,47012,D
118,118,118,118,200,Verity Credit Union,NonResidential,NonResidential,55442,39017,16425,37280,0.77,0.0,0.23,Financial Office,Office,28636,28636,Parking,,15385,0,Medical Office,Office,8644,8644,1839194,0,1354620,83.3,2.1,52665,D
131,131,131,131,226,ROXHILL ELEMENTARY SCHOOL(SPS-DISTRICT),SPS-District K-12,Campus,46797,46797,0,46797,1.0,0.0,0.0,K-12 School,K-12 School,46797,46797,,,0,0,,,0,0,431927,0,1680688,91.9,2.0,46797,D
138,138,138,138,233,ARMORY BUILDING (MOHAI),Nonresidential COS,NonResidential,50000,50000,0,43000,1.0,0.0,0.0,Museum,Entertainment/Public Assembly,43000,43000,,,0,0,,,0,0,3839483,0,3767894,223.8,4.5,43000,D
139,139,139,139,234,SEATTLE CITY LIGHT ROY STREET WAREHOUSE,Nonresidential COS,NonResidential,50292,50292,0,48423,0.8,0.1,0.1,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,38693,38693,Residence Hall/Dormitory,Residence Hall/Dormitory,5000,5000,Office,Office,4730,4730,232499,0,0,1.4,0.0,48423,D
147,147,147,147,244,WASHINGTON PARK BUILDING,NonResidential,NonResidential,44558,44558,0,44558,0.77,0.17,0.06,Office,Office,34416,34416,Self-Storage Facility,Self-Storage Facility,7672,7672,Restaurant,Restaurant,2470,2470,1006007,0,376891,26.2,0.6,44558,D
161,161,161,161,266,WEST SEATTLE COMM. RESOURCE CENTER/FOOD BANK APT/MIXED USE,Multifamily LR (1-4),Multifamily,52134,37940,14194,43706,0.8,0.0,0.2,Multifamily Housing,Multifamily Housing,34890,34890,Parking,,14194,0,Other - Public Services,Services,8816,8816,1772208,0,0,10.9,0.3,57900,D
185,185,185,185,297,LAKE CITY COURT,Multifamily MR (5-9),Multifamily,56745,56745,0,43673,1.0,0.0,0.0,Multifamily Housing,Multifamily Housing,43673,43673,,,0,0,,,0,0,1769895,0,1065871,67.5,1.2,43673,D
186,186,186,186,299,OTHELLO BUILDING,Multifamily LR (1-4),Multifamily,67920,67920,0,41667,0.59,0.31,0.1,Multifamily Housing,Multifamily Housing,24600,24600,Medical Office,Office,12917,12917,Office,Office,4150,4150,2335973,0,198362,24.9,0.4,41667,D
194,194,194,194,319,DAILY JOURNAL BUILDING,NonResidential,NonResidential,56500,56500,0,40000,0.83,0.18,0.0,Office,Office,33000,33000,Retail Store,Retail Store,7000,7000,,,0,0,743854,706198,0,42.1,0.7,40000,D
233,233,233,233,365,UW TOWER DATA CENTER,NonResidential,NonResidential,36000,36000,0,0,0.0,0.0,0.0,Data Center,,36000,0,,,0,0,,,0,0,33303297,0,0,205.3,5.7,36000,F
247,247,247,247,21116,SUNSET CLUB,NonResidential,NonResidential,30971,30971,0,0,0.0,0.0,0.0,,,0,0,,,0,0,,,0,0,0,0,0,0.0,0.0,0,F
295,295,295,295,433,300 PINE STREET,NonResidential,NonResidential,861702,861702,0,0,0.0,0.0,0.0,,,0,0,,,0,0,,,0,0,0,0,0,0.0,0.0,0,F
