,Unnamed: 0,year,building_type,sq_ft,sq_ft_classification,ghgi,max_size,min_size
0,0,2027,College/University,>220K Buildings,A,2.047535400390625,1000000,220000
1,1,2027,College/University,>90-220K Buildings,B,2.047535400390625,220000,90000
2,2,2027,College/University,>50-90K Buildings,C,,90000,50000
3,3,2027,College/University,>30-50K Buildings,D,,50000,30000
4,4,2027,College/University,>20-30K Buildings,E,,50000,20000
5,5,2027,College/University,<20k buildings,F,,20000,0
6,6,2027,Entertainment/Public Assembly,>220K Buildings,A,0.904388427734375,1000000,220000
7,7,2027,Entertainment/Public Assembly,>90-220K Buildings,B,0.904388427734375,220000,90000
8,8,2027,Entertainment/Public Assembly,>50-90K Buildings,C,,90000,50000
9,9,2027,Entertainment/Public Assembly,>30-50K Buildings,D,,50000,30000
10,10,2027,Entertainment/Public Assembly,>20-30K Buildings,E,,50000,20000
11,11,2027,Entertainment/Public Assembly,<20k buildings,F,,20000,0
12,12,2027,Fire/Police Station,>220K Buildings,A,1.7653662109375,1000000,220000
13,13,2027,Fire/Police Station,>90-220K Buildings,B,1.7653662109375,220000,90000
14,14,2027,Fire/Police Station,>50-90K Buildings,C,,90000,50000
15,15,2027,Fire/Police Station,>30-50K Buildings,D,,50000,30000
16,16,2027,Fire/Police Station,>20-30K Buildings,E,,50000,20000
17,17,2027,Fire/Police Station,<20k buildings,F,,20000,0
18,18,2027,Hospital,>220K Buildings,A,3.704375,1000000,220000
19,19,2027,Hospital,>90-220K Buildings,B,3.704375,220000,90000
20,20,2027,Hospital,>50-90K Buildings,C,,90000,50000
21,21,2027,Hospital,>30-50K Buildings,D,,50000,30000
22,22,2027,Hospital,>20-30K Buildings,E,,50000,20000
23,23,2027,Hospital,<20k buildings,F,,20000,0
24,24,2027,Hotel,>220K Buildings,A,1.60619384765625,1000000,220000
25,25,2027,Hotel,>90-220K Buildings,B,1.60619384765625,220000,90000
26,26,2027,Hotel,>50-90K Buildings,C,,90000,50000
27,27,2027,Hotel,>30-50K Buildings,D,,50000,30000
28,28,2027,Hotel,>20-30K Buildings,E,,50000,20000
29,29,2027,Hotel,<20k buildings,F,,20000,0
30,30,2027,K-12 School,>220K Buildings,A,0.70904052734375,1000000,220000
31,31,2027,K-12 School,>90-220K Buildings,B,0.70904052734375,220000,90000
32,32,2027,K-12 School,>50-90K Buildings,C,,90000,50000
33,33,2027,K-12 School,>30-50K Buildings,D,,50000,30000
34,34,2027,K-12 School,>20-30K Buildings,E,,50000,20000
35,35,2027,K-12 School,<20k buildings,F,,20000,0
36,36,2027,Laboratory,>220K Buildings,A,4.905402832031251,1000000,220000
37,37,2027,Laboratory,>90-220K Buildings,B,4.905402832031251,220000,90000
38,38,2027,Laboratory,>50-90K Buildings,C,,90000,50000
39,39,2027,Laboratory,>30-50K Buildings,D,,50000,30000
40,40,2027,Laboratory,>20-30K Buildings,E,,50000,20000
41,41,2027,Laboratory,<20k buildings,F,,20000,0
42,42,2027,Multifamily Housing,>220K Buildings,A,,1000000,220000
43,43,2027,Multifamily Housing,>90-220K Buildings,B,,220000,90000
44,44,2027,Multifamily Housing,>50-90K Buildings,C,,90000,50000
45,45,2027,Multifamily Housing,>30-50K Buildings,D,,50000,30000
46,46,2027,Multifamily Housing,>20-30K Buildings,E,,50000,20000
47,47,2027,Multifamily Housing,<20k buildings,F,,20000,0
48,48,2027,Non-Refrigerated Warehouse,>220K Buildings,A,0.470281982421875,1000000,220000
49,49,2027,Non-Refrigerated Warehouse,>90-220K Buildings,B,0.470281982421875,220000,90000
50,50,2027,Non-Refrigerated Warehouse,>50-90K Buildings,C,,90000,50000
51,51,2027,Non-Refrigerated Warehouse,>30-50K Buildings,D,,50000,30000
52,52,2027,Non-Refrigerated Warehouse,>20-30K Buildings,E,,50000,20000
53,53,2027,Non-Refrigerated Warehouse,<20k buildings,F,,20000,0
54,54,2027,Office,>220K Buildings,A,0.455811767578125,1000000,220000
55,55,2027,Office,>90-220K Buildings,B,0.455811767578125,220000,90000
56,56,2027,Office,>50-90K Buildings,C,,90000,50000
57,57,2027,Office,>30-50K Buildings,D,,50000,30000
58,58,2027,Office,>20-30K Buildings,E,,50000,20000
59,59,2027,Office,<20k buildings,F,,20000,0
60,60,2027,Other,>220K Buildings,A,1.541077880859375,1000000,220000
61,61,2027,Other,>90-220K Buildings,B,1.541077880859375,220000,90000
62,62,2027,Other,>50-90K Buildings,C,,90000,50000
63,63,2027,Other,>30-50K Buildings,D,,50000,30000
64,64,2027,Other,>20-30K Buildings,E,,50000,20000
65,65,2027,Other,<20k buildings,F,,20000,0
66,66,2027,Recreation,>220K Buildings,A,2.351409912109375,1000000,220000
67,67,2027,Recreation,>90-220K Buildings,B,2.351409912109375,220000,90000
68,68,2027,Recreation,>50-90K Buildings,C,,90000,50000
69,69,2027,Recreation,>30-50K Buildings,D,,50000,30000
70,70,2027,Recreation,>20-30K Buildings,E,,50000,20000
71,71,2027,Recreation,<20k buildings,F,,20000,0
72,72,2027,Refrigerated Warehouse,>220K Buildings,A,0.27493408203125,1000000,220000
73,73,2027,Refrigerated Warehouse,>90-220K Buildings,B,0.27493408203125,220000,90000
74,74,2027,Refrigerated Warehouse,>50-90K Buildings,C,,90000,50000
75,75,2027,Refrigerated Warehouse,>30-50K Buildings,D,,50000,30000
76,76,2027,Refrigerated Warehouse,>20-30K Buildings,E,,50000,20000
77,77,2027,Refrigerated Warehouse,<20k buildings,F,,20000,0
78,78,2027,Residence Hall/Dormitory,>220K Buildings,A,0.85374267578125,1000000,220000
79,79,2027,Residence Hall/Dormitory,>90-220K Buildings,B,0.85374267578125,220000,90000
80,80,2027,Residence Hall/Dormitory,>50-90K Buildings,C,,90000,50000
81,81,2027,Residence Hall/Dormitory,>30-50K Buildings,D,,50000,30000
82,82,2027,Residence Hall/Dormitory,>20-30K Buildings,E,,50000,20000
83,83,2027,Residence Hall/Dormitory,<20k buildings,F,,20000,0
84,84,2027,Restaurant,>220K Buildings,A,4.232537841796875,1000000,220000
85,85,2027,Restaurant,>90-220K Buildings,B,4.232537841796875,220000,90000
86,86,2027,Restaurant,>50-90K Buildings,C,,90000,50000
87,87,2027,Restaurant,>30-50K Buildings,D,,50000,30000
88,88,2027,Restaurant,>20-30K Buildings,E,,50000,20000
89,89,2027,Restaurant,<20k buildings,F,,20000,0
90,90,2027,Retail Store,>220K Buildings,A,0.6583947753906251,1000000,220000
91,91,2027,Retail Store,>90-220K Buildings,B,0.6583947753906251,220000,90000
92,92,2027,Retail Store,>50-90K Buildings,C,,90000,50000
93,93,2027,Retail Store,>30-50K Buildings,D,,50000,30000
94,94,2027,Retail Store,>20-30K Buildings,E,,50000,20000
95,95,2027,Retail Store,<20k buildings,F,,20000,0
96,96,2027,Self-Storage Facility,>220K Buildings,A,0.180877685546875,1000000,220000
97,97,2027,Self-Storage Facility,>90-220K Buildings,B,0.180877685546875,220000,90000
98,98,2027,Self-Storage Facility,>50-90K Buildings,C,,90000,50000
99,99,2027,Self-Storage Facility,>30-50K Buildings,D,,50000,30000
100,100,2027,Self-Storage Facility,>20-30K Buildings,E,,50000,20000
101,101,2027,Self-Storage Facility,<20k buildings,F,,20000,0
102,102,2027,Senior Living Community,>220K Buildings,A,1.5338427734375,1000000,220000
103,103,2027,Senior Living Community,>90-220K Buildings,B,1.5338427734375,220000,90000
104,104,2027,Senior Living Community,>50-90K Buildings,C,,90000,50000
105,105,2027,Senior Living Community,>30-50K Buildings,D,,50000,30000
106,106,2027,Senior Living Community,>20-30K Buildings,E,,50000,20000
107,107,2027,Senior Living Community,<20k buildings,F,,20000,0
108,108,2027,Services,>220K Buildings,A,1.05632568359375,1000000,220000
109,109,2027,Services,>90-220K Buildings,B,1.05632568359375,220000,90000
