,year,Jan emissions,June emissions,diff between jan and june,Alternate GHGIT emissions,diff between jan and alternative ghgit
0,2027.0,357699374.97131,457844114.280985,-0.27996900838226874,457849442.596695,-0.2799839044544535
1,2028.0,333454165.2502,457844114.280985,-0.37303462362646383,457849442.596695,-0.37305060278121815
2,2029.0,315480256.90689,457844114.280985,-0.451260750101747,457849442.596695,-0.45127763963950207
3,2030.0,281075888.055112,421976728.55701,-0.5012910978485313,421981684.71977997,-0.5013087306764635
4,2031.0,254299675.776002,363679195.236288,-0.4301205619964383,392762051.388002,-0.5444850654625434
5,2032.0,232477124.777718,330561221.19738,-0.4219085921397414,371599636.241104,-0.5984352722720886
6,2033.0,213828515.794436,308068208.858364,-0.4407255632570788,359392048.869712,-0.6807489288061722
7,2034.0,197852650.161194,291467290.309884,-0.4731533293712292,345287599.798824,-0.7451755107526343
8,2035.0,182675222.82750002,261446828.772877,-0.4312112213475219,304057064.473108,-0.6644680092178056
9,2036.0,155072065.9959,225949499.03535,-0.45706125461257435,253007118.083664,-0.6315454137971782
10,2037.0,140405110.6054,203364802.754722,-0.4484145333303884,234974121.807124,-0.6735439386355703
11,2038.0,133623122.9191,188518485.651499,-0.41082233024619946,220855800.182398,-0.6528262126915836
12,2039.0,128196294.8264,177943363.1524,-0.3880538699918445,210935150.640487,-0.6454075441581969
13,2040.0,120532222.5906,165093186.202,-0.3697016669372791,189897789.218803,-0.5754939644962013
14,2041.0,71102787.8824,104250839.0457,-0.46619903593829537,127288366.64299999,-0.79020219085541
15,2042.0,47747829.265,77082989.3326,-0.6143768317673697,104327179.37727499,-1.18496172461077
16,2043.0,36526290.5207,72873232.085917,-0.9950898666980331,101507550.190917,-1.7790270718399708
17,2044.0,27996518.173100002,62996508.315181,-1.2501551059199272,92506100.943557,-2.3042001998819974
18,2045.0,22391461.591000002,56087469.02939,-1.5048596672194787,79242435.39118999,-2.5389576990829665
19,2046.0,15709199.3423,35300789.0874,-1.2471412016744816,35300789.0874,-1.2471412016744816
20,2047.0,8550951.13,32736851.3072,-2.828445609090973,32736851.3072,-2.828445609090973
21,2048.0,5047362.9852,30955085.7035,-5.132922437769436,30955085.7035,-5.132922437769436
22,2049.0,2869631.7782,29678628.9408,-9.342312615249947,29678628.9408,-9.342312615249947
23,2050.0,1355741.06,1355741.06,0.0,1355741.06,0.0
24,total,3285969465.185662,4814919286.478416,-0.465296417843118,5313197121.857929,-0.6169344171181232
