,Owner,TotalGHGEmissions__metric_tons_,TotalNaturalGas_kBtu,TotalElectricity_kBtu_,TotalSteamUse_kBtu
1,UNIVERSITY OF WASHINGTON,39712,106707401,679730875,366595771
0,CITY OF SEATTLE,16357,247129120,501287744,6826192
310,2001 SIXTH LLC,1455,315739,270558198,0
3,KING COUNTY,22535,372904431,255701627,16515088
10,ACORN DEVELOPMENT LLC,1595,15879116,141486254,0
152,SWEDISH HOSPITAL MEDICAL CENTE,11941,16108152,133113224,125030832
1616,GI TC SEATTLE LLC,709,417207,129155774,0
9,SELIG HOLDINGS COMPANY LLC,675,3469057,92368368,0
2,STATE OF WASHINGTON,3614,59208493,88426130,0
187,2020 FIFTH HOLDINGS LLC,453,0,85314262,0
36,PORT OF SEATTLE,651,4698679,75604526,0
1324,GC COLUMBIA LLC,485,1675277,74470892,0
116,FIRST & UTAH PROPERTIES LLC,727,7110006,65745023,0
136,UNION SQUARE LIMITED LIABILITY COMPANY,561,1899978,63570026,1477120
1706,KOLL LAKE UNION ASSOC L P,4524,79160244,60154140,0
896,JAMES TOWER LLC,4805,84872338,56050971,0
25,FRED HUTCHISON CANCER RESEARCH CENTER,1023,14090413,51793570,0
14,SEATTLE UNIVERSITY,3019,51904014,49391827,0
1697,H5 CAPITAL - SEATTLE REAL ESTATE II LLC,270,189939,48878060,0
50,WASHINGTON ST PUBLIC STADIUM ATHRTY,824,10829543,46811367,0
