,Owner,TotalGHGEmissions__metric_tons_,TotalNaturalGas_kBtu,TotalElectricity_kBtu_,TotalSteamUse_kBtu
1,UNIVERSITY OF WASHINGTON,39712,106707401,679730875,366595771
152,SWEDISH HOSPITAL MEDICAL CENTE,11941,16108152,133113224,125030832
1237,HART FIRST HILL LLC,1439,0,11707490,16594533
3,KING COUNTY,22535,372904431,255701627,16515088
1376,WASHINGTON STATE CONVENTION CENTER,1471,1251147,30223520,14987953
1383,FIRST HILL/EIGHTH AVENUE LLC,1373,1272685,18818364,14524050
1452,MILNER VENTURES LLC,1061,1078170,8436545,11553532
1451,1415 5TH AVENUE SEATTLE LLC,1024,905623,12954470,10933061
1403,SEATTLE HOST HOTEL COMPANY L L C,1043,895500,25517379,10359896
1444,1301 SECOND AVE LLC,997,884053,22289102,10024828
1438,BGO PLAZA 600 JV LLC,869,0,7283859,10009464
1346,DP BUNKER HILL LLC,813,65147,6714454,9322924
333,PACIFIC NORTHWEST RESEARCH,597,3751,5239331,6854334
0,CITY OF SEATTLE,16357,247129120,501287744,6826192
1378,VIRGINIA MASON MEDICAL CENTER,1148,10539720,21887209,5694684
1542,M J  LEHMAN DESCENDANTS LLC,424,0,3614076,4881070
1240,PUGET SOUND BLOOD CENTER & PROGRAM,447,0,8960096,4814700
64,US WEST COMMUNICATIONS INC,464,236288,11640940,4697160
1375,1918 EIGHTH LLC,357,137701,6448967,3809802
46,MILLENIUM TOWER LLC,1250,17085485,6829881,3699885
