OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,Address,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,TotalGHGEmissions (metric tons),ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity,GHGEmissionsIntensity(kgCO2e/ft2),NaturalGas(kBtu),NaturalGas(therms),Electricity(kBtu),Electricity(kWh),SteamUse(kBtu),OtherFuelUse(kBtu),PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType,CorrectCouncil
1,659000030,2020,NonResidential,MAYFLOWER PARK HOTEL,ASPEN FLOWER LLC+MAYFLOWER HOTEL OWNER LLC,1,DOWNTOWN,171,1927,405 OLIVE WAY,SEATTLE,WA,98101,47.6122,-122.33799,,,Hotel,169.1,92,,54.6,55.7,4923562,4824773,113.9,116.3,,1.9,,632586,6326,2734351,801392,1457837,,88434,88434,0,1,12,Hotel,88434,,,,,,No Issue,Compliant,,,Hotel,
2,659000220,2020,NonResidential,PARAMOUNT HOTEL,8TH & PINE JOINT VENTURE,1,DOWNTOWN,143,1996,724 PINE ST,SEATTLE,WA,98101,47.61317,-122.33393,,,Hotel,98.6,99,,40.7,40.7,3601694,3601694,81.1,81.1,,1.1,,1661402,16614,1940292,568667,0,,103566,88502,15064,1,11,Hotel,88502,Parking,15064,Restaurant,4622,,No Issue,Compliant,,,Hotel,
3,659000475,2020,NonResidential,WESTIN HOTEL (Parent Building),SEATTLE HOST HOTEL COMPANY L L C,1,DOWNTOWN,891,1969,1900 5TH AVE,SEATTLE,WA,98101,47.61367,-122.33822,,,Hotel,1043.2,98,,44.1,44.1,36772776,36772776,101.7,101.7,,1.4,,895500,8955,25517379,7478716,10359896,,956110,759392,196718,3,41,Hotel,834705,Parking,120545,Swimming Pool,0,,No Issue,Compliant,,,Hotel,
5,659000640,2020,NonResidential,HOTEL MAX,VANCE HOTEL ASSOCIATES LIMITED PARTNERSHIP,1,DOWNTOWN,165,1926,620 STEWART ST,SEATTLE,WA,98101,47.61412,-122.33664,,,Hotel,129.6,97,,48.6,48.6,2982710,2982710,87,87,,2.1,,887059,8871,1177927,345231,917724,,61320,61320,0,1,10,Hotel,61320,,,,,,No Issue,Compliant,,,Hotel,
8,659000970,2020,NonResidential,WARWICK SEATTLE HOTEL,,1,DOWNTOWN,229,1980,401 LENORA ST,SEATTLE,WA,98121,47.61375,-122.34047,,,Hotel,264.5,98,,67.8,67.8,8364978,8364978,124.5,124.5,,2.3,,4603411,46034,3761566,1102452,0,,175580,113580,62000,1,18,Hotel,123445,Parking,68009,Swimming Pool,0,,No Issue,Compliant,,,Hotel,
9,660000560,2020,Nonresidential COS,WEST PRECINCT (SEATTLE POLICE),SEATTLE CITY OF,1,DOWNTOWN,NOT_FOUND,1999,810 VIRGINIA ST,SEATTLE,WA,98101,47.61623,-122.33657,,,Police Station,240.4,,,208.1,211.6,10738242,10564125,449.9,451.7,,4,,3855075,38551,6709050,1966310,0,,97288,60090,37198,1,2,Police Station,50755,Parking,40971,,,,No Issue,Compliant,,,Fire/Police Station,
10,660000825,2020,NonResidential,CAMLIN WORLDMARK HOTEL,WORLDMARK THE CLUB,1,DOWNTOWN,135,1926,1619 9TH AVE,SEATTLE,WA,98101,47.6139,-122.33283,,,Hotel,139,79,,54.6,55.8,4537828,4438085,100.8,101.9,,1.7,,2415042,24150,2023043,592920,0,,83008,83008,0,1,11,Hotel,81352,,,,,,No Issue,Compliant,,,Hotel,
11,660000955,2020,NonResidential,PARAMOUNT THEATER,SCD 2U LLC,1,DOWNTOWN,NOT_FOUND,1926,901 PINE ST,SEATTLE,WA,98101,47.61327,-122.33136,,,Other - Entertainment/Public Assembly,215.2,,,50.5,52.8,5425254,5191280,100.8,103.4,,2.1,,423281,4233,2613508,765975,2154491,,102761,102761,0,1,8,Other - Entertainment/Public Assembly,102761,,,,,,No Issue,Compliant,,,Entertainment/Public Assembly,
12,939000080,2020,NonResidential,COURTYARD BY MARRIOTT - PIONEER SQ,618 SECOND AVENUE LIMITED PS+GOLDEN RAINBOW FREEDOM FUND LIMITED PS ET AL,7,DOWNTOWN,26,1904,612 2ND AVE,SEATTLE,WA,98104,47.60294,-122.33263,,,Hotel,309.3,92,,61.4,62.8,10302436,10073317,114.9,116.4,,1.9,,5351700,53517,4721618,1383827,0,,163984,163984,0,1,15,Hotel,163984,,,,,,No Issue,Compliant,,,Hotel,
13,939000105,2020,Multifamily MR (5-9),LYON BUILDING,DOWNTOWN EMERGENCY SERVICE CENTER,1,DOWNTOWN,64,1910,607 3RD AVE,SEATTLE,WA,98104,47.60284,-122.33184,,,Multifamily MR (5-9),144.3,7,,73.6,75.9,4257949,4133819,150.8,153.4,,2.3,,773105,7731,2262010,662957,1098704,,63712,62216,1496,1,6,Multifamily Housing,56132,,,,,,No Issue,Compliant,,,Multifamily Housing,
