PotentialRelatedCompany,Owner Identified,UBINumber,Owning company Best Guess,HQ City,"Assets, $B, Best Guess",Category,How ownership determined,Ownership status,Building1,Building2,Notes,Number still to do,-1,Number Done,204
BPP 999 THIRD AVENUE OWNER LLC,AL,604 467 183,The Blackstone Group,NYC,991,Real Estate Investment,"Googling address, looking up govs on Linked In => Blackstone. Biz Journal: sold to Blackstone subsidiary EQ Office.",Owned,999 3RD AVE,,,,,,
BPP 800 FIFTH PROPERTY OWNER LLC,AL,604 371 982,The Blackstone Group,NYC,991,Real Estate Investment,"Googling address, looking up govs on Linked In. Biz journal: sold to Blackstone",Owned,800 5TH AVE,,,,,,
BPP 1420 5TH AVE OWNER LLC,AL,604 467 324,The Blackstone Group,NYC,991,Real Estate Investment,"Googling address, looking up govs on Linked In => Blackstone. 1420 5th is US Bank Center. Biz Journal: sold to Blackstone subsidiary EQ Office.",Owned,1420 5TH AVE,,,,,,
"520 PIKE STREET, INC.",AL,602 347 340,Tishman Speyer,NYC,57,Real Estate Investment,"Googling address found company HQ, then googling gov names along with 'Tishman' verified. Found record of sale to Tishman here.",Owned,520 PIKE ST,,,,,,
"ONNI 1411 FOURTH DEVELOPMENT, INC.",AL,603 587 072,Onni Group,Vancouver BC,5,Real Estate Development and Managment,"Google address found co HQ, then google gov names + co name. Googling ""Onni 1411 4th"" finds their site leasing units in the building.  ""Onni 1411 4th sold finds Wikipedia article with ""In 2016, it was sold to the Onni Group for $29.6 million"".",Owned,1411 4TH AVE,,,,,,
"101 STEWART STREET, LLC",AL,604 518 215,DWS Group,"Frankfurt, DE",927,Asset Management,"Googling ""101 Stewart St Seattle Owner"" found articles about sale to DWS in 2019",Owned,101 STEWART ST,,,,,,
"PPF OFF 720 OLIVE WAY, LLC",AL,604 288 094,PPF Group (through subsidiary PPF Real Estate Holding),"World Trade Center, Amsterdam, Netherlands",40,Real Estate Investment,"Googling ""PPF Off"" found a lot of other buildings they own, then tried ""PPF Real Estate"". PPF bought it in 2017 for $185.9M",Owned,720 OLIVE WAY,,,,,,
"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",AL,600 335 063,Expeditors International,"Seattle, WA",3.15,Company-owned HQ building,"Expeditors SEC disclosure indicating it owns the building, which is Expeditors HQ",Owned,1015 3RD AVE,1200 3RD AVENUE,,,,,
"800 STEWART, LLC",AL,603 258 757,PerDay LLC,"Seattle, WA",,Real Estate Investment,"Google gov name then address+""owner"" finds Perday. Google ""800 Stewart Seattle sold"" finds this Biz Journal article citing Perday as the developer and that Perday prez Shawn Boday previously bought the property.",Owned,800 STEWART ST,,,,,,
ARZCO 1 INVESTMENT CORP.,AL,604 309 137,Al Zarooni Group,Dubai,500,Asset Management,Google company name & gov name.  Ownership: SDCI design review proposal cites Al Zarooni as owner,Owned,1520 5TH AVE,,,,,,
