,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,REEDO LP,#1 FREEDOM ADULT FAMILY HOME LLC,604 783 288,1481372,"21403 4TH PL S, DES MOINES, WA, 98198-3624, UNITED STATES",Active,False,False,False
1,REEDO LP,...IT'S FOR FREEDOM MINISTRIES!,603 034 700,731,"4111 E MADISON ST, #124, SEATTLE, WA, 98112, UNITED STATES",Administratively Dissolved,False,False,False
2,REEDO LP,"1196-1198 SE FREEDOM CIRCLE, LLC",602 617 565,45405,"18681 URBAN AVE NE, SUQUAMISH, WA, 98392-9547, UNITED STATES",Administratively Dissolved,False,False,False
3,REEDO LP,3DB - THREE DOGS AND A BOY HOSPITALITY SERVICES LLC,604 308 547,1216847,"8127 7TH AVE SW, SEATTLE, WA, 98106-2104, UNITED STATES",Administratively Dissolved,False,False,False
4,REEDO LP,A JOURNEY TO FREEDOM - GORGE,602 748 150,12355,"10 TSUBOTA RD, GOLDENDALE, WA, 98620, UNITED STATES",Inactive,False,False,False
5,REEDO LP,ABUNDANT FREEDOM,602 533 167,402688,"3833 MARIGOLD LN, MODESTO, CA, 95356-1309, UNITED STATES",Active,False,False,False
6,REEDO LP,ACCESS FREEDOM,603 097 095,22314,"2138 JENSEN, FERNDALE, WA, 98248, UNITED STATES",Administratively Dissolved,False,False,False
7,REEDO LP,AIR MOBILITY FREEDOM LLC,603 501 809,581995,"16124 SE 264TH PL, COVINGTON, WA, 98042-8233, UNITED STATES",Active,False,False,False
8,REEDO LP,AMERICAN ASSOCIATION FOR HEALTH FREEDOM,602 623 676,489149,"801 SW 16TH ST # 121, RENTON, WA, 98057, UNITED STATES",Terminated,False,False,False
9,REEDO LP,"AMERICAN FINANCIAL FREEDOM GROUP, LLC",602 511 539,544176,"32910 NE 43RD PLACE, CARNATION, WA, 98014, UNITED STATES",Inactive,False,False,False
10,REEDO LP,"AMERICAN FREEDOM CONSTRUCTION, LLC",602 396 463,547060,"13604 246TH ST E, GRAHAM, WA, 98338, UNITED STATES",Administratively Dissolved,False,False,False
11,REEDO LP,AMERICAN FREEDOM CORPORATION,604 269 117,1202918,"4748 26TH AVE SW, SEATTLE, WA, 98106-1321, UNITED STATES",Administratively Dissolved,False,False,False
12,REEDO LP,"AMERICAN FREEDOM GROUP, INC.",602 365 340,33813,"1326 5TH ST #B3, MARYSVILLE, WA, 98270, UNITED STATES",Terminated,False,False,False
13,REEDO LP,"AMERICAN FREEDOM KEEPERS, LLC",604 124 111,1095639,"8002 NE HWY 99 #B, VANCOUVER, WA, 98665, UNITED STATES",Inactive,False,False,False
14,REEDO LP,AMERICAN FREEDOM MUSEUM,603 497 212,544774,"5420 S FIFE ST, TACOMA, WA, 98409, UNITED STATES",Administratively Dissolved,False,False,False
15,REEDO LP,AMERICAN FREEDOM PRESS LLC,604 055 044,28132,"10013 NE HAZEL DELL AVE, VANCOUVER, WA, 98665, UNITED STATES",Administratively Dissolved,False,False,False
16,REEDO LP,"AMERICAN FREEDOM WARRIORS, LLC",604 127 375,29807,"4615 N. 22ND ST., TACOMA, WA, 98406, UNITED STATES",Administratively Dissolved,False,False,False
17,REEDO LP,AMERICAN FREEDOMS CLUB NFP,603 236 173,544775,"10423 PACIFIC AVE S, TACOMA, WA, 98444, UNITED STATES",Administratively Dissolved,False,False,False
18,REEDO LP,AMERICAN GLOBAL FELLOWSHIP FOR FREEDOM AND WORSHIP,602 304 827,28136,,Inactive,True,False,False
19,REEDO LP,ANGELS OF FREEDOM,602 785 547,549692,"5114 POINT FOSDICK DR NW #107, GIG HARBOR, WA, 98335, UNITED STATES",Administratively Dissolved,False,False,False
20,REEDO LP,ARGONNE FREEDOM LLC,602 469 627,39555,"1521 N ARGONNE RD, SPOKANE, WA, 99212, UNITED STATES",Voluntarily Dissolved,False,False,False
21,REEDO LP,ARTISTS FOR FREEDOM AND UNITY,602 660 398,557548,"318 N CALLOW AVE, BREMERTON, WA, 98312, UNITED STATES",Inactive,False,False,False
22,REEDO LP,AUTHENTICALLY SERVING FREEDOM LLC,604 822 987,1507112,"700 SLEATER KINNEY RD SE, SUITE B #229, LACEY, WA, 98503-1113, UNITED STATES",Active,False,False,False
23,REEDO LP,BAKING FREEDOM PIE,602 786 703,49352,"17719 PACIFIC AVE S #308, SPANAWAY, WA, 98387, UNITED STATES",Administratively Dissolved,True,False,False
24,REEDO LP,BIG FREEDOM TINY HOMES LLC,604 122 153,562386,"1975 ALPINE WAY #7, BELLINGHAM, WA, 98226, UNITED STATES",Active,False,False,False
25,REEDO LP,BIG SKY FREEDOM LLC,604 943 746,1576938,"7209 REBECCA AVE SE, AUBURN, WA, 98092-7710, UNITED STATES",Active,False,False,False
26,REEDO LP,BLUE FOX FREEDOM INVESTMENT LLC,603 231 932,588098,"500 W ROY ST #408, SEATTLE, WA, 98119, UNITED STATES",Administratively Dissolved,False,False,False
27,REEDO LP,"BOB'S FREEDOM AUTO REPAIR, LLC",602 754 155,568800,"28801 MERIDIAN EAST, GRAHAM, WA, 98338, UNITED STATES",Inactive,False,False,False
28,REEDO LP,BODY FREEDOM COLLABORATIVE,602 296 148,68472,"2142 N 147TH ST, SHORELINE, WA, 98133, UNITED STATES",Inactive,False,False,False
29,REEDO LP,"CAMPFIRE FREEDOM, LLC",603 263 197,88577,"21481 E VALLEY VISTA DR, LIBERTY LAKE, WA, 99019-6051, UNITED STATES",Active,False,False,False
30,REEDO LP,CAPITAL FREEDOM LLC,604 904 836,1556343,"4808 W HIAWATHA DR, MEQUON, WI, 53092-4745, UNITED STATES",Active,False,False,False
31,REEDO LP,CENTRAL WASHINGTON FREEDOM FOUNDATION,603 049 166,120991,"6643 BADGER POCKET RD, YAKIMA, WA, 98926, UNITED STATES",Inactive,False,False,False
32,REEDO LP,CHANCE FOR FREEDOM ,604 689 297,1420121,"509 W CROW ST APT 101, KENT, WA, 98032-6035, UNITED STATES",Active,False,True,True
33,REEDO LP,CHANCE4FREEDOM,604 689 297,1420121,,,True,True,True
34,REEDO LP,CHASE FAMILY FREEDOM ENTERPRISES,603 507 319,95078,"1712 W 2ND AVE #204, SPOKANE, WA, 99201, UNITED STATES",Administratively Dissolved,False,False,False
35,REEDO LP,CHASING FREEDOM LLC,604 155 864,608947,"9381 11TH ST NE, LAKE STEVENS, WA, 98258, UNITED STATES",Administratively Dissolved,False,False,False
36,REEDO LP,CHOOSE FREEDOM LLC,604 466 552,1300610,"1511 8TH ST, ANACORTES, WA, 98221-1837, UNITED STATES",Administratively Dissolved,False,False,False
37,REEDO LP,"CHOOSING FREEDOM, INC.",602 863 580,613168,"7307 N DIVISION SUITE 208, SPOKANE, WA, 99208, UNITED STATES",Inactive,False,False,False
38,REEDO LP,CHRISTIAN FREEDOM ALLIANCE LLC,603 573 458,1104663,"1911 31ST AVE W, SEATTLE, WA, 98199, UNITED STATES",Administratively Dissolved,False,False,False
39,REEDO LP,CITY ON FREEDOM LLC,605 164 116,1650029,"1066 S 320th St Apt K502, FEDERAL WAY, WA, 98003-2038, UNITED STATES",Active,False,False,False
40,REEDO LP,CLEAN FREEDOM LLC,604 970 348,1597969,"13735 MARIHUGH RD, MOUNT VERNON, WA, 98273-7251, UNITED STATES",Active,False,False,False
41,REEDO LP,"COACH FOR FREEDOM, INC.",602 427 744,626930,"5631 34TH AVE SW, SEATTLE, WA, 98126-2921, UNITED STATES",Voluntarily Dissolved,False,False,False
42,REEDO LP,"CONGOLESE WOMEN'S ASSOCIATION FOR PEACE, FREEDOM AND LEADERSHIP",603 551 585,116188,"15423 10TH AVE CT E, TACOMA, WA, 98445, UNITED STATES",Administratively Dissolved,False,False,False
43,REEDO LP,CONTINUING FREEDOM LLC,605 005 150,1623610,"888 WESTERN AVE APT 1106, SEATTLE, WA, 98104-1477, UNITED STATES",Active,False,False,False
44,REEDO LP,"CREEDON TECHNOLOGIES USA, LLC",603 567 659,1346041,"100 N HOWARD ST STE R, SPOKANE, WA, 99201-0508, UNITED STATES",Active,True,False,False
45,REEDO LP,"CREEDOS GUTTER CARE, LLC",604 715 826,1428592,"14124 63RD DR SE, SNOHOMISH, WA, 98296-5236, UNITED STATES",Delinquent,False,False,False
46,REEDO LP,"DESIGNING FREEDOM, LLC",602 785 973,661857,"4103 GOLDCREST DR NW, OLYMPIA, WA, 98502, UNITED STATES",Administratively Dissolved,False,False,False
47,REEDO LP,DIGITAL FREEDOM NETWORK LLC,604 369 347,1247234,"17434 SPIRIT LN SE, YELM, WA, 98597-7938, UNITED STATES",Administratively Dissolved,False,False,False
48,REEDO LP,DIRECTOR OF FREEDOM MINISTRIES INTERNATIONAL,602 380 120,662858,"45 CIRCLE RD, OROVILLE, WA, 98844-9490, UNITED STATES",Active,False,False,False
49,REEDO LP,DISCIPLINED FREEDOM LLC,604 648 625,1380070,"14328 85TH PL NE, KIRKLAND, WA, 98034-5072, UNITED STATES",Administratively Dissolved,False,False,False
50,REEDO LP,DISCOVER FREEDOM LLC,603 416 215,657772,"23317 DORRE DON WAY SE, MAPLE VALLEY, WA, 98038-8291, UNITED STATES",Active,False,False,False
51,REEDO LP,"DTS FREEDOM PLAN, LLC",604 318 772,1223558,"21712 CALHOUN RD, MONROE, WA, 98272-8752, UNITED STATES",Administratively Dissolved,False,False,False
52,REEDO LP,ECOM FREEDOM LLC,604 155 018,675695,"800 22ND AVE, SEATTLE, WA, 98122, UNITED STATES",Administratively Dissolved,False,False,False
53,REEDO LP,ELITE FREEDOM PAINTERS LLC,604 710 625,1426020,"15443 94TH AVE SE, YELM, WA, 98597-8625, UNITED STATES",Delinquent,False,False,False
54,REEDO LP,EMOTIONAL FREEDOM COUNSELING LLC,604 785 793,1480472,,,True,True,True
55,REEDO LP,EMOTIONAL FREEDOM COUNSELING PLLC,604 785 793,1480472,"12 BELLWETHER WAY STE 108, BELLINGHAM, WA, 98225-2959, UNITED STATES",Active,False,True,True
56,REEDO LP,EMOTIONAL FREEDOM THERAPY LLC,604 785 793,1480472,,,True,True,True
57,REEDO LP,"ENERGY FREEDOM COALITION OF AMERICA, LLC",604 012 507,167281,"601 13TH ST NW STE 900, WASHINGTON, DC, 20005, UNITED STATES",Withdrawn,False,False,False
58,REEDO LP,"ENERGY FREEDOM, INC.",602 703 812,681328,"58 LUND RD, COSMOPOLIS, WA, 98537, UNITED STATES",Delinquent,False,False,False
59,REEDO LP,ETERNAL FREEDOM FOUNDATION,604 304 517,1221008,"19291 HIGHWAY 36, BLACHLY, OR, 97412-9740, UNITED STATES",Active,False,False,False
60,REEDO LP,EVERGREEN FREEDOM ACTION LEAGUE,602 560 978,156655,"2403 PACIFIC AVE SE, STE 201, OLYMPIA, WA, 98501, UNITED STATES",Inactive,False,False,False
61,REEDO LP,EVERGREEN FREEDOM FOUNDATION,601 292 128,195407,"2403 PACIFIC AVE SE, OLYMPIA, WA, 98501-2065, UNITED STATES",Active,False,False,False
62,REEDO LP,EXPRESSION OF FREEDOM UNLIMITED LLC,605 019 810,1626682,"14911 26TH AVE SE, MILL CREEK, WA, 98012-5765, UNITED STATES",Active,False,False,False
63,REEDO LP,F.R.E.E.D.O.M.,602 016 644,160001,"3131 WESTERN AVE #526, SEATTLE, WA, 98121, UNITED STATES",Administratively Dissolved,False,False,False
64,REEDO LP,F/V WESTERN FREEDOM LLC,602 542 397,691866,"1214 ROLAND ST, BELLINGHAM, WA, 98229-2406, UNITED STATES",Active,True,False,False
65,REEDO LP,FAITH AND FREEDOM CHURCH,603 258 597,160904,"18231 SE 261ST CT, COVINGTON, WA, 98042, UNITED STATES",Administratively Dissolved,False,False,False
66,REEDO LP,FAITH AND FREEDOM COALTION,603 144 890,119388,"1400 NE 136TH AVE  #201, VANCOUVER, WA, 98684, UNITED STATES",Administratively Dissolved,False,False,False
67,REEDO LP,FAITH AND FREEDOM INTERNATIONAL MINISTRIES,603 200 641,690991,"5362 S. WALLACE ST., SEATTLE, WA, 98178, UNITED STATES",Administratively Dissolved,False,False,False
68,REEDO LP,FAITH AND FREEDOM NETWORK,601 504 876,160905,"1120 ROSEMONT RD, WEST LINN, OR, 97068-9235, UNITED STATES",Administratively Dissolved,False,False,False
69,REEDO LP,FAREEDOM ENTERPRISES LLC,603 485 114,1113932,"24616 12TH AVE S, DES MOINES, WA, 98198-3866, UNITED STATES",Active,False,False,False
70,REEDO LP,FAWN FREEDOM WILDLIFE RESCUE,603 007 448,692705,"400 TROUT LAKE RD, CASTLE ROCK, WA, 98611, UNITED STATES",Administratively Dissolved,False,False,False
71,REEDO LP,"FEAT OF FREEDOM DANCE, LLC",604 879 513,1537562,"107 N EMERSON ST # 5, CHELAN, WA, 98816-5108, UNITED STATES",Delinquent,False,False,False
72,REEDO LP,FEEL THE FREEDOM MOBILE MASSAGE LLC,604 719 907,1431082,"419 YEW ST, CENTRALIA, WA, 98531-2641, UNITED STATES",Active,False,False,False
73,REEDO LP,"FEG FREEDOM BUILDERS, INC.",603 279 727,694456,"11820 NORTHUP WAY #E200, BELLEVUE, WA, 98004, UNITED STATES",Administratively Dissolved,False,False,False
74,REEDO LP,FELLOWSHIP FREEDOM OUTREACH,605 011 075,1623945,,Active,True,False,False
