,OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,geometry,Owner,TaxParcelOwner,UBINumber,Principals,CompanyAddress,BusinessName,Agent
0,1,2020,MAYFLOWER PARK HOTEL,NonResidential,0659000030,405 OLIVE WAY,SEATTLE,WA,98101.0,47.6122,-122.33799,DOWNTOWN,7.0,1927,12,1,88434,88434,0,92.0,55.7,54.6,4923562.0,4824773.0,116.3,113.9,Hotel,Hotel,88434.0,,,,,801392,1457837,6326,Compliant,No Issue,2734351.0,632586.0,169.1,1.9,POINT (-122.33799 47.6122),,ASPEN FLOWER LLC+MAYFLOWER HOTEL OWNER LLC,,,,,
1,2,2020,PARAMOUNT HOTEL,NonResidential,0659000220,724 PINE ST,SEATTLE,WA,98101.0,47.61317,-122.33393,DOWNTOWN,7.0,1996,11,1,103566,88502,15064,99.0,40.7,40.7,3601694.0,3601694.0,81.1,81.1,Hotel,Hotel,88502.0,Parking,15064.0,Restaurant,4622.0,568667,0,16614,Compliant,No Issue,1940292.0,1661402.0,98.6,1.1,POINT (-122.33393 47.61317),,8TH & PINE JOINT VENTURE,603 459 107,['8TH & PINE FINANCIAL LIMITED LIABILITY COMPANY'],"10400 NE 4TH ST, #2225, BELLEVUE, WA, 98004-5184, UNITED STATES",8TH & PINE JOINT VENTURE LLC,CORPORATION SERVICE COMPANY
2,3,2020,WESTIN HOTEL (Parent Building),NonResidential,0659000475,1900 5TH AVE,SEATTLE,WA,98101.0,47.61367,-122.33822,DOWNTOWN,7.0,1969,41,3,956110,759392,196718,98.0,44.1,44.1,36772776.0,36772776.0,101.7,101.7,Hotel,Hotel,834705.0,Parking,120545.0,Swimming Pool,0.0,7478716,10359896,8955,Compliant,No Issue,25517379.0,895500.0,1043.2,1.4,POINT (-122.33822 47.61367),,SEATTLE HOST HOTEL COMPANY L L C,602 658 705,"[' BENJAMIN FRANKLIN HOTEL, INC' ' W & S REALTY CORPORATION OF DE'
 'GREGORY LARSON' 'JOSEPH C. OTTINGER' 'MICHAEL L. ROCK'
 'NATHAN S. TYRRELL']","4747 BETHESDA AVENUE, SUITE 1300, BETHESDA, MD, 20814-5584, UNITED STATES",SEATTLE HOST HOTEL COMPANY LLC,CORPORATION SERVICE COMPANY
3,5,2020,HOTEL MAX,NonResidential,0659000640,620 STEWART ST,SEATTLE,WA,98101.0,47.61412,-122.33664,DOWNTOWN,7.0,1926,10,1,61320,61320,0,97.0,48.6,48.6,2982710.0,2982710.0,87.0,87.0,Hotel,Hotel,61320.0,,,,,345231,917724,8871,Compliant,No Issue,1177927.0,887059.0,129.6,2.1,POINT (-122.33664 47.61412),,VANCE HOTEL ASSOCIATES LIMITED PARTNERSHIP,602 678 924,[' VANCE HOTEL HOLDINGS LLC'],"1531 7TH AVE, SEATTLE, WA, 98101, UNITED STATES","VANCE HOTEL ASSOCIATES, LLC",GORDON D SONDLAND
4,8,2020,WARWICK SEATTLE HOTEL,NonResidential,0659000970,401 LENORA ST,SEATTLE,WA,98121.0,47.61375,-122.34047,DOWNTOWN,7.0,1980,18,1,175580,113580,62000,98.0,67.8,67.8,8364978.0,8364978.0,124.5,124.5,Hotel,Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,1102452,0,46034,Compliant,No Issue,3761566.0,4603411.0,264.5,2.3,POINT (-122.34047 47.61375),,UNDEFINED,,,,,
5,9,2020,WEST PRECINCT (SEATTLE POLICE),Nonresidential COS,0660000560,810 VIRGINIA ST,SEATTLE,WA,98101.0,47.61623,-122.33657,DOWNTOWN,7.0,1999,2,1,97288,60090,37198,,211.6,208.1,10738242.0,10564125.0,451.7,449.9,Police Station,Police Station,50755.0,Parking,40971.0,,,1966310,0,38551,Compliant,No Issue,6709050.0,3855075.0,240.4,4.0,POINT (-122.33657 47.61623),,CITY OF SEATTLE,,,,,
6,10,2020,CAMLIN WORLDMARK HOTEL,NonResidential,0660000825,1619 9TH AVE,SEATTLE,WA,98101.0,47.6139,-122.33283,DOWNTOWN,7.0,1926,11,1,83008,83008,0,79.0,55.8,54.6,4537828.0,4438085.0,101.9,100.8,Hotel,Hotel,81352.0,,,,,592920,0,24150,Compliant,No Issue,2023043.0,2415042.0,139.0,1.7,POINT (-122.33283 47.6139),,WORLDMARK THE CLUB,601 203 364,['BOB HARTSOCK' 'CECILIA CUEVAS' 'MARK PAYETTE' 'MARTIN HERNANDEZ'],"6277 SEA HARBOR DR, ORLANDO, FL, 32821-8027, UNITED STATES","WORLDMARK, THE CLUB",CORPORATION SERVICE COMPANY
7,11,2020,PARAMOUNT THEATER,NonResidential,0660000955,901 PINE ST,SEATTLE,WA,98101.0,47.61327,-122.33136,DOWNTOWN,7.0,1926,8,1,102761,102761,0,,52.8,50.5,5425254.0,5191280.0,103.4,100.8,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,765975,2154491,4233,Compliant,No Issue,2613508.0,423281.0,215.2,2.1,POINT (-122.33136 47.61327),Skanska Commercial Development,SCD 2U LLC,603 490 488,['CLAES LARSSON'],"389 INTERPACE PKWY, 5TH FLOOR, PARSIPPANY, NJ, 07054-1132, UNITED STATES",SCD 2U LLC,CORPORATION SERVICE COMPANY
8,12,2020,COURTYARD BY MARRIOTT - PIONEER SQ,NonResidential,0939000080,612 2ND AVE,SEATTLE,WA,98104.0,47.60294,-122.33263,DOWNTOWN,7.0,1904,15,1,163984,163984,0,92.0,62.8,61.4,10302436.0,10073317.0,116.4,114.9,Hotel,Hotel,163984.0,,,,,1383827,0,53517,Compliant,No Issue,4721618.0,5351700.0,309.3,1.9,POINT (-122.33263 47.60294),,618 SECOND AVENUE LIMITED PS+GOLDEN RAINBOW FREEDOM FUND LIMITED PS ET AL,,,,,
9,13,2020,LYON BUILDING,Multifamily MR (5-9),0939000105,607 3RD AVE,SEATTLE,WA,98104.0,47.60284,-122.33184,DOWNTOWN,7.0,1910,6,1,63712,62216,1496,7.0,75.9,73.6,4257949.0,4133819.0,153.4,150.8,Multifamily MR (5-9),Multifamily Housing,56132.0,,,,,662957,1098704,7731,Compliant,No Issue,2262010.0,773105.0,144.3,2.3,POINT (-122.33184 47.60284),Downtown Emergency Service Center,DOWNTOWN EMERGENCY SERVICE CENTER,601 142 394,['DANIEL MALONE'],"515 3RD AVE, SEATTLE, WA, 98104-2304, UNITED STATES",DOWNTOWN EMERGENCY SERVICE CENTER,
