,SearchTerm,BusinessName,PotentialRelatedCompany,UBINumber,BusinessId,Address,Status,Principals,isMatch,notes
0,VBGO 901 FIFTH SEA LLC,VBGO 901 FIFTH SEA LLC,VBGO 901 FIFTH SEA LLC,604 418 295,1290530,"277 E TOWN ST, COLUMBUS, OH, 43215-4627, UNITED STATES",Active,"['DAMIANO BUFFA', 'GARY M. TISCHLER', 'JUSTIN B. KLEINMAN', 'RICHARD A. C. COLES']",,
1,VBGO 901 FIFTH SEA LLC,VBGO 901 FIFTH SEA LLC,VBGO 901 FIFTH MEZZ LLC,604 428 879,1290280,"277 E TOWN ST, COLUMBUS, OH, 43215-4627, UNITED STATES",Active,"['DAMIANO BUFFA', 'GARY M. TISCHLER', 'JUSTIN B. KLEINMAN', 'RICHARD A.C. COLES']",,
3,GO-BRICKMAN CENTRAL OWNER LLC,GO-BRICKMAN CENTRAL OWNER LLC,GO-BRICKMAN CENTRAL OWNER LLC,604 300 012,1211955,"C/O BRICKMAN, ONCE GREENWICH OFFICE PARK, BUILDING 1N, SUITE 175, GREENWICH, CT, 06831, UNITED STATES",Active,['BRICKMAN MGR LLC'],,
4,SREH 2014 LLC,SREH 2014 LLC,"YESLER INVESTMENT COMPANY, L.L.C.",601 894 493,1082285,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Administratively Dissolved,['MARTIN SELIG'],,
5,SREH 2014 LLC,SREH 2014 LLC,"WESTLAKE-400, LLC",604 161 302,1077509,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Administratively Dissolved,['MARTIN SELIG'],,
6,SREH 2014 LLC,SREH 2014 LLC,WESTLAKE SOLAR PANELS LLC,604 210 385,1175407,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,"['JOHN M GREELEY', 'MARTIN SELIG']",,
7,SREH 2014 LLC,SREH 2014 LLC,WESTLAKE IMPROVEMENT COMPANY LLC,604 402 294,1258941,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,['MARTIN SELIG'],,
8,SREH 2014 LLC,SREH 2014 LLC,"UNION STREET MANAGEMENT COMPANY, L.L.C.",602 424 888,1058597,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104, UNITED STATES",Administratively Dissolved,"['MARTIN SELIG', 'WILLIAM MCINERNEY']",,
9,SREH 2014 LLC,SREH 2014 LLC,"UNION STREET IMPROVEMENT COMPANY, L.L.C.",602 026 583,1042531,,Administratively Dissolved,['MARTIN SELIG'],,
10,SREH 2014 LLC,SREH 2014 LLC,THIRD & VIRGINIA LLC,603 445 336,508241,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,['MARTIN SELIG'],,
11,SREH 2014 LLC,SREH 2014 LLC,SREH 2018 MANAGEMENT LLC,604 433 466,1275295,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,['MARTIN SELIG'],,
12,SREH 2014 LLC,SREH 2014 LLC,SREH 2018 HOLDINGS LLC,604 433 468,1275297,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,['MARTIN SELIG'],,
13,SREH 2014 LLC,SREH 2014 LLC,SREH 2014 LLC,603 391 691,1017673,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,['MARTIN SELIG'],,
14,SREH 2014 LLC,SREH 2014 LLC,SPL HOLDINGS LLC,604 628 136,1367165,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,"['JOHN M. GREELEY', 'MARTIN SELIG']",,
15,SREH 2014 LLC,SREH 2014 LLC,SOCHAR GROUP LLC,603 467 824,462155,"1000 SECOND AVE STE 1800, SEATTLE, WA, 98104, UNITED STATES",Administratively Dissolved,['MARTIN SELIG'],,
16,SREH 2014 LLC,SREH 2014 LLC,"SELIG REAL ESTATE HOLDINGS XXXIV, LLC",603 218 603,423485,"1000 SECOND AVE STE 1800, SEATTLE, WA, 98104, UNITED STATES",Administratively Dissolved,"['JOHN GREELEY', 'MARTIN SELIG']",,
17,SREH 2014 LLC,SREH 2014 LLC,"SELIG REAL ESTATE HOLDINGS XXXIII, L.L.C.",602 873 309,423484,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,"['MARTIN SELIG', 'WILLIAM K MCINERNEY']",,
18,SREH 2014 LLC,SREH 2014 LLC,"SELIG REAL ESTATE HOLDINGS XXXII, L.L.C.",602 774 549,424649,"1000 2ND AVE #1800, SEATTLE, WA, 98104, UNITED STATES",Administratively Dissolved,"['MARTIN SELIG', 'WILLIAM K MCINERNEY']",,
19,SREH 2014 LLC,SREH 2014 LLC,"SELIG REAL ESTATE HOLDINGS XXXI, L.L.C.",602 752 578,946128,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,"['MARTIN SELIG', 'WILLIAM MCINERNEY']",,
20,SREH 2014 LLC,SREH 2014 LLC,"SELIG REAL ESTATE HOLDINGS XXVIII, L.L.C.",602 683 649,424648,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,"['MARTIN SELIG', 'WILLIAM K MCINERNEY']",,
21,SREH 2014 LLC,SREH 2014 LLC,"SELIG REAL ESTATE HOLDINGS XXVI, L.L.C.",602 550 631,961816,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,"['MARTIN SELIG', 'WILLIAM K MCINERNEY']",,
22,SREH 2014 LLC,SREH 2014 LLC,"SELIG REAL ESTATE HOLDINGS XXV, L.L.C.",602 482 254,1148815,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Administratively Dissolved,"['MARTIN SELIG', 'WILLIAM MCINERNEY']",,
23,SREH 2014 LLC,SREH 2014 LLC,"SELIG REAL ESTATE HOLDINGS XXIX, L.L.C.",602 741 415,447578,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,"['MARTIN SELIG', 'WILLIAM K MCINERNEY']",,
24,SREH 2014 LLC,SREH 2014 LLC,"SELIG REAL ESTATE HOLDINGS TWENTY-TWO, L.L.C.",602 435 959,420146,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104, UNITED STATES",Administratively Dissolved,"['MARTIN SELIG', 'WILLIAM MCINERNEY']",,
25,SREH 2014 LLC,SREH 2014 LLC,"SELIG REAL ESTATE HOLDINGS TWENTY-THREE, L.L.C.",602 435 961,928040,"1000 2ND AVE STE 1760, SEATTLE, WA, 98104, UNITED STATES",Administratively Dissolved,"['MARTIN SELIG', 'WILLIAM MCINERNEY']",,
26,SREH 2014 LLC,SREH 2014 LLC,"SELIG REAL ESTATE HOLDINGS TWENTY-ONE, L.L.C.",602 200 966,427757,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,['MARTIN SELIG'],,
27,SREH 2014 LLC,SREH 2014 LLC,"SELIG REAL ESTATE HOLDINGS TWENTY, L.L.C.",602 200 965,965245,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,['MARTIN SELIG'],,
