,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,1800 EASTLAKE LLC,1800 EASTLAKE LLC,603 475 396,4434,"9625 SE 71ST ST, MERCER ISLAND, WA, 98040-5403, UNITED STATES",Active,False,False,False
1,CX3 SUMMIT LLC,CX3 SUMMIT LLC,604 057 439,129742,"1620 BROADWAY STE 201, SEATTLE, WA, 98122-2564, UNITED STATES",Active,False,False,False
2,MINOR TOWER LLC,MINOR TOWER LLC,603 405 118,871132,"5210 RUSSELL AVE NW #100, SEATTLE, WA, 98107, UNITED STATES",Active,False,False,False
3,EASTLAKE GARDENS LLC,EASTLAKE GARDENS LLC,602 672 948,655399,"720 SENECA ST, SUITE B, SEATTLE, WA, 98101-3265, UNITED STATES",Active,False,False,False
4,KILLARNEY APARTMENTS LLC,KILLARNEY APARTMENTS LLC,604 335 367,1245508,"600 UNIVERSITY ST STE 2915, SEATTLE, WA, 98101-4172, UNITED STATES",Active,False,False,False
5,ACME WMR REMI LLC,ACME WMR REMI LLC,604 229 745,1186047,"7417 W MERCER WAY, MERCER ISLAND, WA, 98040-5536, UNITED STATES",Active,False,False,False
6,CCC LANCASTER LLC,CCC LANCASTER LLC,603 527 876,609378,"1620 BROADWAY STE 201, SEATTLE, WA, 98122-2564, UNITED STATES",Active,False,False,False
7,ROUNDCLIFFE HOLDINGS LLC,ROUNDCLIFFE HOLDINGS LLC,602 182 599,414668,"2633 EASTLAKE AVE E STE 307, SEATTLE, WA, 98102-3231, UNITED STATES",Active,False,False,False
8,QWEST CORPORATION,QWEST CORPORATION,601 295 793,932086,"100 CENTURYLINK DRIVE, MONROE, LA, 71203, UNITED STATES",Active,True,False,False
9,HACIENDA INVESTMENTS 2020 LLC,HACIENDA INVESTMENTS 2020 LLC,604 639 482,1376766,"1554 PARKSIDE DR E, SEATTLE, WA, 98112-3720, UNITED STATES",Active,False,False,False
10,ST. MARK'S PROPERTIES LLC,ST. MARK'S PROPERTIES LLC,602 254 299,442276,"1245 10TH AVE E, SEATTLE, WA, 98102-4323, UNITED STATES",Active,False,False,False
11,ANNE CRIPPEN MICHELSON LLC,ANNE CRIPPEN MICHELSON LLC,602 170 823,548254,"1115 EAST PIKE STREET, SEATTLE, WA, 98122, UNITED STATES",Active,False,False,False
12,BARNARD FAMILY LIMITED PARTNERSHIP,BARNARD FAMILY LIMITED PARTNERSHIP,601 436 666,572924,"650 BELLEVUE WAY NE, SUITE 2101, BELLEVUE, WA, 98004-5051, UNITED STATES",Active,False,False,False
13,AREIS GROUP LLC,AREIS GROUP LLC,602 393 743,549011,"2358 EASTLAKE AVE, SEATTLE, WA, 98102, UNITED STATES",Active,False,False,False
14,BSOP1 LLC,BSOP1 LLC,602 690 385,605051,"1910 FAIRVIEW AVE E, STE 500, SEATTLE, WA, 98102-3620, UNITED STATES",Active,False,False,False
15,NORTH BLOCK SPRING STREET DEVELOPMENT LLC,NORTH BLOCK SPRING STREET DEVELOPMENT LLC,603 422 280,352657,,,False,True,True
16,NORTH BLOCK SPRING STREET DEVELOPMENT LLC,NORTH BLOCK SPRING STREET DEVELOPMENT LLC,603 422 280,352657,"1201 3RD AVE STE 3000, SEATTLE, WA, 98101-3013, UNITED STATES",Active,False,True,True
17,PINE & MINOR APARTMENTS LLC,PINE & MINOR APARTMENTS LLC,603 460 280,904936,"1551 MINOR AVE, SEATTLE, WA, 98101-3142, UNITED STATES",Active,False,False,False
18,1201 SUMMIT LLC,1201 SUMMIT LLC,603 235 485,1904,"433 MINOR AVE N, SEATTLE, WA, 98109-5439, UNITED STATES",Active,False,False,False
19,SENECA APARTMENTS LLC,SENECA APARTMENTS LLC,604 340 666,1239131,"1020 SENECA ST APT 116, SEATTLE, WA, 98101-2719, UNITED STATES",Active,False,False,False
