SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match,isMatch
FTW LLC,"FTW, LLC",602 088 226,128023,"1037 NE 65TH ST # 339, SEATTLE, WA, 98115-6655, UNITED STATES",Active,False,False,False,
QUAIL PARK OF WEST SEATTLE LLC,"QUAIL PARK OF WEST SEATTLE, LLC",603 348 245,952757,"146 N CANAL ST STE 350, SEATTLE, WA, 98103, UNITED STATES",Active,False,False,False,
SABRA PARK WEST LLC,"SABRA PARK WEST, LLC",604 169 651,988232,"C/O SABRA HEALTH CARE REIT, INC., 18500 VON KARMAN AVENUE, SUITE 550, IRVINE, CA, 92612, UNITED STATES",Active,False,False,False,
DNXT LLC,"DNXT, LLC",604 219 279,1181278,"17735 NE 65TH ST STE 120, REDMOND, WA, 98052-4924, UNITED STATES",Active,True,False,False,
ACI REAL ESTATE SPE 137 LLC,"ACI REAL ESTATE SPE 137, LLC",604 621 842,1364724,"250 E PARKCENTER BLVD, BOISE, ID, 83706-3940, UNITED STATES",Active,False,False,False,
NEWARK MEADOWS LLC,"NEWARK MEADOWS, LLC",604 534 061,1320828,"4410 MOUNTAINGATE DR, RENO, NV, 89519-7921, UNITED STATES",Active,False,False,False,
ROOSEVELT SQUARE REGENCY LLC,"ROOSEVELT SQUARE REGENCY, LLC",604 203 198,1170704,"1 INDEPENDENT DR, SUITE 114, JACKSONVILLE, FL, 32202-5019, UNITED STATES",Active,False,False,False,
68TH AND ROOSEVELT LLC,"68TH AND ROOSEVELT, LLC",604 032 419,102440,"3023 80TH AVE SE, STE 300, MERCER ISLAND, WA, 98040-6014, UNITED STATES",Active,False,False,False,
SRMAHULTRACK66 LLC,"SRMAHULTRACK66, LLC",604 969 523,1595129,"111 N POST ST STE 200 STE 1600, SPOKANE, WA, 99201-4911, UNITED STATES",Active,False,False,False,
SRMAHULBROOKLYN65 LLC,"SRMAHULBROOKLYN65, LLC",604 969 623,1595126,"111 N POST ST STE 200, SPOKANE, WA, 99201-4911, UNITED STATES",Active,False,False,False,
GREEN LAKE PHASE II LLC,"GREEN LAKE PHASE II, LLC",603 567 384,140011,"4518 SW EDMUNDS ST, SEATTLE, WA, 98116-4423, UNITED STATES",Active,True,False,False,
ROOSTER APARTMENTS LLC,"ROOSTER APARTMENTS, LLC",603 307 494,408368,"C/O FKSDO, 901 5TH AVE STE 4000, SEATTLE, WA, 98164-2004, UNITED STATES",Active,False,False,False,
SRMAHULLUNA LLC,"SRMAHULLUNA, LLC",604 969 621,1595122,"111 N POST ST STE 200, SPOKANE, WA, 99201-4911, UNITED STATES",Active,False,False,False,
LANGER PROPERTIES LLC,"LANGER PROPERTIES, LLC",602 081 654,298218,"1421 34TH AVE, SUITE 300, SEATTLE, WA, 98122-3333, UNITED STATES",Active,False,False,False,
CASCADIA PARTNERS LLC,"CASCADIA PARTNERS, LLC",601 933 362,98487,"2402 NE 65TH ST, STE 100, SEATTLE, WA, 98115-1300, UNITED STATES",Active,False,False,False,
