,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,FNA INVESTMENTS LLC,FNA INVESTMENTS LLC,604 307 237,1220109,"2303 PERKINS LN W, SEATTLE, WA, 98199-3803, UNITED STATES",Active,False,False,False
1,COMMODORE II LLC,COMMODORE II LLC,604 764 570,1467030,"1215 4TH AVE, SUITE 600, SEATTLE, WA, 98161-1084, UNITED STATES",Active,False,False,False
2,70/47 LLC,70/47 LLC,601 944 410,1092634,"2657 20TH AVE W, SEATTLE, WA, 98199-2907, UNITED STATES",Active,False,False,False
3,4019 21ST AVE W INCORPORATED,4019 21ST AVE W INCORPORATED,604 272 158,1211859,"4019 21ST AVE W, SEATTLE, WA, 98199-1251, UNITED STATES",Active,False,False,False
4,J&M WHARF LLC,J&M WHARF LLC,604 496 992,1306590,"2001 WESTERN AVE STE 330, SEATTLE, WA, 98121-2133, UNITED STATES",Active,False,False,False
5,KWMCT REAL ESTATE LLC,KWMCT REAL ESTATE LLC,603 361 504,292776,"4241 21ST AVE W, 306, SEATTLE, WA, 98199-1250, UNITED STATES",Active,False,False,False
6,WESTSIDE SCHOOL,WESTSIDE SCHOOL,601 139 653,1162199,"10404 34TH AVE SW, SEATTLE, WA, 98146-1270, UNITED STATES",Active,False,False,False
7,TERRA PROPERTIES WALDEN LLP,TERRA PROPERTIES WALDEN LLP,604 053 751,1025952,"3031 S WALDEN ST, SEATTLE, WA, 98144, UNITED STATES",Active,False,False,False
8,BAYVIEW WALKER LLC,BAYVIEW WALKER LLC,604 326 743,1228970,"1800 WAZEE ST, SUITE 500, DENVER, CO, 80202-1577, UNITED STATES",Active,False,False,False
9,HOLGATE 12 LLC,HOLGATE 12 LLC,603 146 631,759217,"4000 E MADISON ST STE 200, SEATTLE, WA, 98112-3160, UNITED STATES",Active,False,False,False
10,USPF LANE LP,USPF LANE LP,604 898 764,1551906,"1099 18TH ST STE 2900, DENVER, CO, 80202-1929, UNITED STATES",Active,False,False,False
11,SOUTHEAST EFFECTIVE DEVELOPMENT,SOUTHEAST EFFECTIVE DEVELOPMENT,600 512 419,1151203,"5117 RAINIER AVE S, SEATTLE, WA, 98118-1928, UNITED STATES",Active,False,False,False
12,PRATT PARK OWNER LLC,PRATT PARK OWNER LLC,604 427 778,1278027,"50 CALIFORNIA STREET,, SUITE 3000, SAN FRANCISCO, CA, 94111, UNITED STATES",Active,False,False,False
13,NHCDI/LIHI SQUIRE PARK PLAZA LLC,NHCDI/LIHI SQUIRE PARK PLAZA LLC,604 849 407,1517696,"1253 S JACKSON ST STE A, SEATTLE, WA, 98144-3075, UNITED STATES",Active,False,False,False
14,JEFFERSON PARK LLC,JEFFERSON PARK LLC,603 524 283,767098,"1225 S WELLER ST STE 500, SEATTLE, WA, 98144-1906, UNITED STATES",Active,False,False,False
15,MT BAKER VILLAGE LLLP,MT BAKER VILLAGE LLLP,604 008 136,827586,"2916 S MCCLELLAN ST, SEATTLE, WA, 98144-5502, UNITED STATES",Active,True,False,False
16,CHE'S CONDOMINIUM LLC,CHE'S CONDOMINIUM LLC,602 328 970,605987,"2523 15TH AVE S, SEATTLE, WA, 98144-5097, UNITED STATES",Active,False,False,False
17,PSJ LLC,PSJ LLC,604 265 641,1200383,"3630 RENTON AVE S, SEATTLE, WA, 98144-6838, UNITED STATES",Active,False,False,False
18,WCC REALTY LLC,WCC REALTY LLC,604 528 871,1317819,"1168 EVERGREEN AVE, LAKEWOOD, NJ, 08701-5815, UNITED STATES",Active,False,False,False
19,JACKSON INVESTORS NORTH LLC,JACKSON INVESTORS NORTH LLC,603 574 512,761877,"505 5TH AVE S STE 900, SEATTLE, WA, 98104-3821, UNITED STATES",Active,False,False,False
20,HAMLIN ROBINSON SCHOOL,HAMLIN ROBINSON SCHOOL,601 139 051,732291,"1701 20TH AVE S, SEATTLE, WA, 98144, UNITED STATES",Active,False,False,False
21,WELLSPRING FAMILY SERVICES,WELLSPRING FAMILY SERVICES,600 351 881,512315,"1900 RAINIER AVE S, SEATTLE, WA, 98144-4606, UNITED STATES",Active,False,False,False
22,2100 BUILDING LLC,2100 BUILDING LLC,604 856 112,1521247,"2100 24TH AVE S STE 200, SEATTLE, WA, 98144-4643, UNITED STATES",Active,False,False,False
23,BIG RIG LLC,BIG RIG LLC,604 494 263,1301295,"3326 160TH AVE SE STE 150, BELLEVUE, WA, 98008-6419, UNITED STATES",Active,False,False,False
24,ORE 6525 CALIFORNIA LLC,ORE 6525 CALIFORNIA LLC,604 805 478,1493491,"6520 EARL AVE NW, SEATTLE, WA, 98117-5927, UNITED STATES",Active,False,False,False
25,COHANIM 6040 CALI LLC,COHANIM 6040 CALI LLC,604 338 982,1242419,"5233 UNIVERSITY WAY NE, SEATTLE, WA, 98105-3546, UNITED STATES",Active,False,False,False
26,ATALANTA 5631 CALIFORNIA AVE LLC,ATALANTA 5631 CALIFORNIA AVE LLC,604 046 346,552690,"115 E 87TH ST APT 6, APARTMENT 6 E, NEW YORK, NY, 10128-1136, UNITED STATES",Active,False,False,False
27,FAUNTLEROY COMMUNITY SERVICE AGENCY,FAUNTLEROY COMMUNITY SERVICE AGENCY,601 139 738,161840,"9131 CALIFORNIA AVE SW, SEATTLE, WA, 98136-2551, UNITED STATES",Active,False,False,False
28,CREF3 LANDER OWNER LLC,CREF3 LANDER OWNER LLC,604 863 965,1531149,"C/O FIG LLC, 1345 AVENUE OF THE AMERICAS, 46TH FLOOR, NEW YORK, NY, 10105, UNITED STATES",Active,False,False,False
29,SEATTLE ARTS PROJECT LLC,SEATTLE ARTS PROJECT LLC,604 457 774,1289638,"614 BOYLSTON AVE E, SEATTLE, WA, 98102-4912, UNITED STATES",Active,False,False,False
30,4400 BUILDING LLC,4400 BUILDING LLC,602 650 172,75409,"5603 11TH AVE NE, SEATTLE, WA, 98105, UNITED STATES",Active,False,False,False
31,1701 FIRST AVENUE SOUTH LLC,1701 FIRST AVENUE SOUTH LLC,602 642 763,2952,"1701 1ST AVE S., SEATTLE, WA, 98134, UNITED STATES",Active,False,False,False
32,QG SEATTLE LLC,QG SEATTLE LLC,603 199 916,384736,"1251 1ST AVE S., SEATTLE, WA, 98134, UNITED STATES",Active,False,False,False
33,R & S INVESTMENTS LLC,R & S INVESTMENTS LLC,603 379 513,387236,"5700 6TH AVE S, STE 214, SEATTLE, WA, 98108-2511, UNITED STATES",Active,False,False,False
34,FM 151 SOUTH LANDER LLC,FM 151 SOUTH LANDER LLC,604 754 970,1457270,"1191 2ND AVE STE 2000, SEATTLE, WA, 98101-3404, UNITED STATES",Active,False,False,False
35,CREF3 3RD AVE OWNER LLC,CREF3 3RD AVE OWNER LLC,604 937 772,1575819,"1345 AVENUE OF THE AMERICAS FL 46, NEW YORK, NY, 10105-4302, UNITED STATES",Active,False,False,False
36,TERRENO 6TH AVE LLC,TERRENO 6TH AVE LLC,604 351 712,1240354,"101 MONTGOMERY STREET, SUITE 200, SAN FRANCISCO, CA, 94104, UNITED STATES",Active,False,False,False
37,FM 2323 AIRPORT WAY SOUTH LLC,FM 2323 AIRPORT WAY SOUTH LLC,604 754 156,1457238,"1191 2ND AVE STE 2000, SEATTLE, WA, 98101-3404, UNITED STATES",Active,False,False,False
