,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,CHERRY ST LLC,"1000 CHERRY STREET, LLC",603 527 996,1385,"2534 70TH AVE NW # B, OLYMPIA, WA, 98502-3317, UNITED STATES",Active,False,False,False
1,CHERRY ST LLC,"1006 SOUTH CHERRY STREET, LLC",603 240 045,1061,"3229 SOUTH 148TH STREET, SEATAC, WA, 98168, UNITED STATES",Voluntarily Dissolved,False,False,False
2,CHERRY ST LLC,"2650 CHERRY CREST, LLC",604 725 476,1436772,"14048 NE 27TH ST, BELLEVUE, WA, 98007-3608, UNITED STATES",Active,False,False,False
3,CHERRY ST LLC,"5441 CHERRY ST,  LLC",604 929 574,1571732,"338 GRAMAYRE RD, COUPEVILLE, WA, 98239-9614, UNITED STATES",Active,False,False,False
4,CHERRY ST LLC,AA CHERRY INVESTMENTS LLC,603 588 208,260938,"1425 BROADWAY # 22509, SEATTLE, WA, 98122-3854, UNITED STATES",Voluntarily Dissolved,False,False,False
5,CHERRY ST LLC,CARMELOS TACOS CHERRY STREET LLC,604 680 927,1408664,"1223 E CHERRY ST SPC C121A, SEATTLE, WA, 98122-4478, UNITED STATES",Active,False,False,False
6,CHERRY ST LLC,CHERRY BLOSSOM CUSTOMS AND CONTENT LLC,605 095 088,1642329,"8397 158TH AVE NE APT 614, REDMOND, WA, 98052-5586, UNITED STATES",Active,False,False,False
7,CHERRY ST LLC,CHERRY BLOSSOM ESTATES HOMEOWNERS ASSOCIATION,602 450 495,613983,"71 PETAL LN, SEQUIM, WA, 98382-3601, UNITED STATES",Delinquent,False,False,False
8,CHERRY ST LLC,"CHERRY BLOSSOM INVESTMENTS, LLC",604 704 926,1423406,"71100 HOLMES RD, SISTERS, OR, 97759-9709, UNITED STATES",Active,False,False,False
9,CHERRY ST LLC,CHERRY BOMB ESTHETICS PLLC,604 930 320,1569720,"3095 GOSHEN RD, BELLINGHAM, WA, 98226-9584, UNITED STATES",Active,False,False,False
10,CHERRY ST LLC,CHERRY CREEK ESTATES OWNERS ASSOCIATION,603 545 114,126086,"9025 W TUCANNON AVE, KENNEWICK, WA, 99336-7219, UNITED STATES",Active,False,False,False
11,CHERRY ST LLC,CHERRY CREEK WRESTLING CLUB,604 981 252,1603258,,Active,True,False,False
12,CHERRY ST LLC,"CHERRY CREST CONSTRUCTION, L.L.C.",602 781 134,625609,"35416 68TH AVE E, EATONVILLE, WA, 98328, UNITED STATES",Active,False,False,False
13,CHERRY ST LLC,CHERRY CREST HOUSE LLC,604 939 392,1580248,"13551 SE 27TH PL, BELLEVUE, WA, 98005-4212, UNITED STATES",Active,False,False,False
14,CHERRY ST LLC,CHERRY CREST PARENT TEACHER ASSOCIATION,601 586 928,74898,"12400 NE 32ND ST, BELLEVUE, WA, 98005-1610, UNITED STATES",Active,False,False,False
