,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,NG 295 DEVELOPMENT LLC,NG 295 DEVELOPMENT LLC,604 760 876,1461271,"411 1ST AVE S STE 650, SEATTLE, WA, 98104-3807, UNITED STATES",Active,False,False,False
1,BILLINGS MIDDLE SCHOOL,BILLINGS MIDDLE SCHOOL,600 374 005,83524,"12351 8TH AVE NE, SEATTLE, WA, 98125-4805, UNITED STATES",Active,False,False,False
2,PACMED CLINICS,PACMED CLINICS,602 233 190,919773,"1200 12TH AVE S, SEATTLE, WA, 98144-2712, UNITED STATES",Active,False,False,False
3,5TH AVE MEDICAL ASSOCIATES LLC,5TH AVE MEDICAL ASSOCIATES LLC,602 380 808,98054,"10564 5TH AVE NE, SEATTLE, WA, 98125-7200, UNITED STATES",Active,False,False,False
4,AMERICAN FAMILY LLC,AMERICAN FAMILY LLC,603 301 258,535849,"5632 E MERCER WAY, MERCER ISLAND, WA, 98040-5123, UNITED STATES",Active,True,False,False
5,SAINT ANNE CORPORATION,SAINT ANNE CORPORATION,602 080 805,264441,"22232 17TH AVE SE, SUITE 310, BOTHELL, WA, 98021-7425, UNITED STATES",Active,False,False,False
6,WELL CA WA LANDLORD LLC,WELL CA WA LANDLORD LLC,604 750 965,1458025,"4500 DORR ST, TOLEDO, OH, 43615-4040, UNITED STATES",Active,False,False,False
7,NORTHAVEN DEVELOPMENT,NORTHAVEN DEVELOPMENT,601 380 350,874828,"11045 8TH AVE NE, SEATTLE, WA, 98125-6163, UNITED STATES",Active,False,False,False
8,GRE FOUNDATION HOUSE LLC,GRE FOUNDATION HOUSE LLC,604 145 395,702633,"2801 ALASKAN WAY STE 310, SEATTLE, WA, 98121-1135, UNITED STATES",Active,False,False,False
9,PAN WASHINGTON LLC,PAN WASHINGTON LLC,603 536 211,367547,"6200 OAK TREE BLVD #250, INDEPENDENCE, OH, 44131, UNITED STATES",Active,False,False,False
10,INVESTMENTS PROPERTY AQUISITIONS LLC,INVESTMENTS PROPERTY AQUISITIONS LLC,602 619 315,1123064,"255 SW 152ND AVE, BURIEN, WA, 98166, UNITED STATES",Active,False,False,False
11,JAMES TOWER LLC,JAMES TOWER LLC,602 311 887,764142,"12201 TUKWILA INTERNATIONAL BLVD # 4, 4TH FLOOR, TUKWILA, WA, 98168-5121, UNITED STATES",Active,False,False,False
12,SPTSUN II PROPERTIES TRUST,SPTSUN II PROPERTIES TRUST,601 966 745,988174,"TWO NEWTON PL, 255 WASHINGTON ST., STE 300, NEWTON, MA, 02458, UNITED STATES",Active,False,False,False
13,BELLWETHER VIEWS LLC,BELLWETHER VIEWS LLC,604 298 582,1212795,"433 MINOR AVE N, SEATTLE, WA, 98109-5439, UNITED STATES",Active,False,False,False
14,LIBERTY BANK COMMERCIAL LLC,LIBERTY BANK COMMERCIAL LLC,604 164 406,829920,"1620 12TH AVE STE 205, SEATTLE, WA, 98122-2568, UNITED STATES",Active,False,False,False
15,SORENTO ON YESLER OWNER LLC,SORENTO ON YESLER OWNER LLC,604 358 595,1246599,"1414 E YESLER WAY, SEATTLE, WA, 98122-5953, UNITED STATES",Active,False,False,False
