,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,KLINE GALLAND CENTER,KLINE GALLAND CENTER FOUNDATION,601 951 730,265291,"7500 SEWARD PARK AVE S, SEATTLE, WA, 98118-4247, UNITED STATES",Active,True,False,False
1,KLINE GALLAND CENTER,POLACK FAMILY SUPPORTING FOUNDATION OF THE KLINE GALLAND  CENTER,601 815 068,384090,"7500 SEWARD PARK AVE S, SEATTLE, WA, 98118-4247, UNITED STATES",Active,True,False,False
2,KLINE GALLAND CENTER,THE KLINE GALLAND CENTER,601 591 913,1050656,"7500 SEWARD PARK AVE S, SEATTLE, WA, 98118-4247, UNITED STATES",Active,True,False,False
3,FIRST HILL/EIGHTH AVENUE LLC,FIRST HILL/EIGHTH AVENUE PROPCO LLC,604 585 023,1343160,"250 VESEY ST FL 15, BROOKFIELD PLACE, NEW YORK, NY, 10281-1065, UNITED STATES",Active,False,False,False
4,AEW SBCO SEATTLE LLC,"AEW SBCO SEATTLE PARENT, LLC",602 621 214,18981,"2711 CENTERVILLE RD 400, WILMINGTON, DE, 19808, UNITED STATES",Terminated,False,False,False
5,AEW SBCO SEATTLE LLC,"AEW SBCO SEATTLE, LLC",602 619 710,474224,"9100 E PANORAMA DR #300, ENGLEWOOD, CO, 80112, UNITED STATES",Terminated,False,False,False
6,AVIA SEA PIKE LLC,"AVIA SEA PIKE, LLC",604 919 079,1566940,"180 N UNIVERSITY AVE STE 200, PROVO, UT, 84601-5648, UNITED STATES",Active,False,False,False
7,UNIVERSITY OF WASHINGTON,ADVANCED ROBOTICS AT THE UNIVERSITY OF WASHINGTON CLUB,604 927 657,1568714,"185 E STEVENS WAY NE, ROOM B011, SEATTLE, WA, 98195, UNITED STATES",Active,False,False,False
8,UNIVERSITY OF WASHINGTON,ALUMNI ASSOCIATION OF THE UNIVERSITY OF WASHINGTON LAW SCHOOL,602 056 060,25967,"4293 MEMORIAL WAY, BOX 353020-WM GATES HALL, SEATTLE, WA, 98195, UNITED STATES",Administratively Dissolved,False,False,False
9,UNIVERSITY OF WASHINGTON,ALUMNI INTERFRATERNITY COUNCIL AT THE UNIVERSITY OF WASHINGTON,601 879 560,1095380,"4300C UNIVERSITY WAY NE, SEATTLE, WA, 98105-5809, UNITED STATES",Active,False,False,False
10,UNIVERSITY OF WASHINGTON,AMALEAD UNIVERSITY. AMALEAD UNIVERSITY OF WASHINGTON (AUW). AMALEAD METAVERSITY.  LLC,604 936 744,1575235,"23013 44TH DR SE, BOTHELL, WA, 98021-9120, UNITED STATES",Active,False,False,False
11,UNIVERSITY OF WASHINGTON,"AMERICAN ASSOCIATION OF UNIVERSITY WOMEN OF THE STATE OF WASHINGTON, A NON PROFIT CORPORATION",602 594 259,30424,,,True,True,True
