,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,CONAM HOLMAN 13 OWNER LLC,CONAM HOLMAN13 OWNER LLC,603 437 535,115631,"3990 RUFFIN RD STE 100, SAN DIEGO, CA, 92123-4805, UNITED STATES",Active,False,False,False
1,BEACON HILL VENTURES LLC,"BEACON HILL VENTURES, LLC",604 346 925,1238054,"17410 NE 116TH WAY, REDMOND, WA, 98052-2803, UNITED STATES",Administratively Dissolved,False,False,False
2,ARIMOCC LLC,"ARIMOCC, LLC",601 620 793,40654,"3326 160TH AVE SE STE 150, BELLEVUE, WA, 98008-6419, UNITED STATES",Active,False,False,False
3,CITY OF SEATTLE,CITY OF HOPE-SEATTLE CHAPTER NO. 166,601 854 213,624329,"1300 114TH AVE SE, # 250, BELLEVUE, WA, 98004, UNITED STATES",Administratively Dissolved,False,False,False
4,CITY OF SEATTLE,CITY OF SEATTLE MANAGEMENT ASSOCIATION,601 797 526,612655,"700 5TH AVE, SEATTLE, WA, 98104-5058, UNITED STATES",Active,False,False,False
5,CITY OF SEATTLE,CITY UNIVERSITY OF SEATTLE,600 568 524,619204,"521 WALL ST, SEATTLE, WA, 98121-1851, UNITED STATES",Active,False,False,False
6,CITY OF SEATTLE,"COMMITTEE TO RECALL CITY OF SEATTLE COUNCILMEMBER KSHAMA SAWANT, PLLC",604 631 286,1375261,,,False,True,True
7,CITY OF SEATTLE,IRISH SISTER-CITY OF THE CITY OF SEATTLE,601 867 397,248699,"522 LK WASHINGTON BLVD S, SEATTLE, WA, 98118, UNITED STATES",Administratively Dissolved,False,False,False
8,CITY OF SEATTLE,LAKE CITY COMMUNITY CENTER OF SEATTLE,601 033 054,803719,"12531 28TH AVENUE NE, SEATTLE, WA, 98125, UNITED STATES",Administratively Dissolved,False,False,False
9,CITY OF SEATTLE,RECALL SAWANT LLC,604 631 286,1375261,"500 13TH AVE E, UNIT 309, SEATTLE, WA, 98102-5187, UNITED STATES",Administratively Dissolved,False,True,True
10,TMUD GSL LLC,"TMUD GSL, LLC",604 874 529,1537697,"11010 NE 8TH ST STE 465, BELLEVUE, WA, 98004-4408, UNITED STATES",Active,True,False,False
11,TMUD GSL LLC,"TMUD GSL, LLC",604 848 437,1518300,,,False,True,True
12,TMUD GSL LLC,"TMUD-IDMGT, LLC",604 848 437,1518300,"11010 NE 8TH ST STE 465, BELLEVUE, WA, 98004-4408, UNITED STATES",Active,True,True,True
