,owner_name
0,TMUD GSL LLC
1,HH SEATTLE LLC
2,BRE-BMR 34TH LLC
4,CITY OF SEATTLE
6,CENTRAL PUGET SOUND REGIONAL TRANSIT AUTHORITY
7,ACADEMIA PLACE LLC
8,ARIMOCC LLC
9,NOVO ROOSEVELT LLC
10,BEACON HILL VENTURES LLC
11,CONAM HOLMAN 13 OWNER LLC
12,EQR-SPRINGLINE LLC
13,1701 DEXTER LLC
14,AUGUSTA OWNER LLC
15,1200 PIKE LLC
16,LE MADISON LLC
17,BPP HOLLAND ONE LAKEFRONT LLC
18,DAIWA WILSHIRE SEATTLE I SPE LLC
19,ROOSEVELT STATION I LLC +ROOSEVELT STATION II LLC
20,GRANCORP LARSSON LLC
21,SRMAHULVEGA LLC
22,ACME WMR ORI LLC
23,19 W HARRISON LLC
24,CHERRY ST LLC
25,BROOK IV LLC
26,1550 ARMORY LLC
27,UNIVERSITY OF WASHINGTON
28,AVIA SEA PIKE LLC
29,AEW SBCO SEATTLE LLC
30,FIRST HILL/EIGHTH AVENUE LLC
31,KLINE GALLAND CENTER
32,SHI-III FIRST HILL LLC C/O MERRILL GARDENS LLC
33,VIRGINIA MASON MEDICAL CENTER
34,VIRGINIA MASON RESEARCH CENTER
35,PUGET SOUND ENERGY INC
36,CAMBRIDGE LLLP
37,PANORAMA SEATTLE III LLC
38,LOWELL EMERSON ASSOCIATES LLC
39,EXETER INVESTORS LLC+PORTOFINO DEVELOPMENT LLC
40,FIRST HILL EIGHTH AVENUE PROPCO LLC
41,HUDGINS ENTERPRISES I LLC
42,PILGRIM PARTNERS III LLC
43,TATE MASON HOUSE L L C
44,CATHOLIC ARCHDIOCESE OF SEATTLE
45,EL CAPITAN APRTMENTS LLC
46,SENECA APARTMENTS LLC
47,SOVEREIGN ASSOCIATES LLC C/O CITY CENTER REAL ESTATE
48,TEN-TWENTY UNIVERSITY L L C
49,STOCKBRIDGE LLC
50,VESPER MINOR LLC
51,TUSCANY PARTNERS L L C+RON DANZ VICA LIMITED LIABILITY COMPANY+JENNIFER ANN LIMITED LIABILITY COMPANY
52,1201 SUMMIT LLC
53,CAPITOL HILL HOUSING IMPROVEMENT
54,PINE & MINOR APARTMENTS LLC
55,THC-SEATTLE INC
56,NORTH BLOCK SPRING STREET DEVELOPMENT LLC
57,ARE SEATTLE NO 11 LLC
58,BLAKE/EASTLAKE LLC
59,BLUME EASTLAKE LTD PTRSHP
60,R D MERRILL AT FAIRVIEW LLC
61,BSOP1 LLC
62,WEST CRESCENT ADVISORS GALER LLC
63,AREIS GROUP LLC
64,2345 EASTLAKE L L C
65,BARNARD FAMILY LIMITED PARTNERSHIP
66,ANNE CRIPPEN MICHELSON LLC
67,ARE-SEATTLE NO 14 LLC
68,STEELE DESMOND
69,SLU 1201 EASTLAKE LLC
70,SLU 1208 EASTLAKE LLC
71,ST. MARK'S PROPERTIES LLC
72,HACIENDA INVESTMENTS 2020 LLC
73,QWEST CORPORATION
74,ANGELCREST PROPERTY L L C
75,ARE EASTLAKE AVENUE NO 3 LLC
76,SLU-199 BLAINE LLC
77,POCOCK ROWING FOUNDATION
78,COLUMBIA II BROADWAY MARKET LLC
79,WASHINGTON REAL ESTATE HOLDINGS LLC
80,ROUNDCLIFFE HOLDINGS LLC
81,SIR GALAHAD APARTMENTS L L C
82,CCC LANCASTER LLC
83,ACME WMR REMI LLC
84,SHELBY APARTMENTS LLC
85,KILLARNEY APARTMENTS LLC
86,ROACH SHANNON
87,EASTLAKE GARDENS LLC
88,MINOR TOWER LLC
89,LAKEVIEW APARTMNET MANAGEMENT LLC
90,SIR LANCELOT APARTMENTS L L C
91,CX3 SUMMIT LLC
92,BELMONT+SUMMIT INC
93,BELROY HOMES LLC
94,1005 INVESTORS LLC
95,MALABAR ASSOCIATES LLC
96,HAWAIAN L L C THE
97,MCCARTHY BRUNHILDE M
98,LYNNYALE ASSOCIATES LLC
99,FARIN BROTHERS PROPERTIES LLC
100,210 E BLAINE LLC
101,1800 EASTLAKE LLC
102,HALMAR ASSOCIATES LLC
103,LASALLE CORPORATION
104,EASTHOM INVESTMENTS LLC
105,CAPITOL HILL PARTNERS LLC
106,JOEY RAY ASSOCIATES LLC
107,ROY VUE ASSOCIATES LLC
108,AVANTE APARTMENTS L L C
109,MARWOOD LLC
110,RED LION APARTMENTS LLC
111,DAHLGREN DUMAR LLC
112,600 BELLEVUE AVENUE E LLC
113,DAKAR APARTMENTS LLC
114,QUINAULT APRTMENT ASSOCIATES LLC
115,CIRQUE APARTMENTS INVESTORS LLC
116,M & S EHSAN INVESTMENTS LLC
117,VICEROY GLEN ARMS LLC
118,CLAESON MARIAM
119,TURNING POINT SOMERSET L L C
120,HAMPTON COURT APARTMENTS LLC
121,KP CASA NITA LLC
122,GILDOW L L C
123,BASE SWANSONIA LLC
124,CHAPMAN LLC
125,HOLIDAY APARTMENTS LP
126,ST ELMO III LLC+STONER JOHN E+ELIZABETH
127,AHSANI CYRUS SAEID
128,SEALTH VISTA LLC
129,RGD FAMILY LLC
130,ELLENBERT APARTMENTS REAL ESTATE INVESTMENTS LLC
131,SILVIAN APARTMENTS LLC
132,ROYCROFT APARTMENTS LLC
133,MERLO LLC
134,CX3 MULHOLLAND LLC
135,700 BROADWAY OWNER LLC
136,ILIAD PROPERTY CO LLC
137,MIRONOV ILYA B
138,HC-HMG L L C
139,TEHAMA GATSBY LLC
140,WEATHERFORD APARTMENTS LLC
141,CAPITOL HILL TOD LLC
142,MRM-BEN LOMOND LLC
143,SRGMF III EASTLAKE AVENUE SEATTLE LLC
144,MABEL H SMITH FAMILY LLC
145,EAST APARTMENTS LLC
146,RGD MARK SPENCER 2014 LLC+MARK SPENCER PARTNERS LLC
147,EQR-HEIGHTS ON CAPITOL HILL LLC
148,RAMAYANA LLC
149,ERAWAN LLC
150,MILLER ASHLEY
151,HILLREE INVESTORS 2010 LLC
152,RL LAKEVIEW PLACE LLC
153,CAMERON MERCER LLC
154,CAMERON PARTNERS LLC
155,MAVIS GROUP LLC
156,BROADWAY INVESTMENT LTD
157,WOODCREEK LANE APTS LLC
158,TOCK BELMONT APARTMENTS LLC
159,BILTMORE ASSOCIATES L L C
160,FANEUIL HALL APTS L L C
161,ESSEX BROADWAY LLC
162,ICP 418 BELLEVUE LLC
163,500 BELMONT AVENUE E LLC
164,B & O DEVELOPMENT L L C
165,ICP 422 SUMMIT LLC
166,CAROLINE W LLC
167,120 HARVARD AVENUE E LLC
168,BENDER DEVELOPMENT LP+BENDER EQUITIES INC
169,SHELTON INVESTOR JV LLC
170,W R P ASSOCIATES HARVARD AVE LLC
171,2203 EASTLAKE AVE EAST LLC
172,BROADWAY ESTATES LLC
173,KIM ED
