Owner,BuildingsOwned,TotalGHGE,TotalGHGE_metric_tons,AverageEnergyStarScore,TotalNaturalGas_kBtu,TotalElectricity_kBtu,TotalSteamUse_kBtu
,941,110565.8,110565.8,71.45132743362832,1276721401,2626521166,346866755
CITY OF SEATTLE,118,13741.7,13741.7,76.47297297297297,206524510,414955805,6826192
NOT FOUND,50,4230.2,4230.2,78.3953488372093,59256963,155085675,3112688
UNIVERSITY OF WASHINGTON BOARD OF REGENTS,39,37642.9,37642.9,62.78947368421053,98636963,609172783,351351299
SEATTLE HOUSING AUTHORITY,26,323.6,323.6,55.958333333333336,2451681,36410189,0
OVERLOOK MAGNOLIA APARTMENTS LLC,11,52.9,52.9,74.54545454545455,0,9911319,0
KING COUNTY,10,20381.3,20381.3,64.28571428571429,337794167,201246333,16515088
CSHV NWCP SEATTLE LLC,10,357.40000000000003,357.40000000000003,64.1,6082306,6497555,0
ACORN DEVELOPMENT LLC,9,1595.8000000000002,1595.8000000000002,92.0,15879116,141486254,0
SELIG HOLDINGS COMPANY LLC,9,675.3,675.3,76.77777777777777,3469057,92368368,0
WASHINGTON STATE,8,1849.0,1849.0,37.333333333333336,30465929,43441318,0
SEATTLE SCHOOL DISTRICT NO 1,8,957.0000000000001,957.0000000000001,79.83333333333333,16571257,14469645,0
QWEST CORPORATION,8,611.5,611.5,59.8,9777524,17341899,0
BREIER SCHEETZ PROPERTIES LLC,7,397.1,397.1,94.14285714285714,6957891,5180390,0
PUBLIC STORAGE,7,111.5,111.5,,1473800,6229763,0
UNIVERSITY VILLAGE LIMITED PS,6,1093.1000000000001,1093.1000000000001,37.5,18265161,23150552,0
SEATTLE UNIVERSITY,6,3019.2999999999997,3019.2999999999997,93.0,51904014,49391827,0
SREH 2014 LLC,6,208.10000000000002,208.10000000000002,78.6,0,39136592,0
ARCHDIOCESAN HOUSING AUTHORITY,5,199.6,199.6,53.5,3255895,4999665,0
CENTRAL PUGET SOUND REGIONAL TRANSIT AUTHORITY,5,448.2,448.2,,7364830,10736925,0
ORCAS BUSINESS PARK L.L.C,5,119.7,119.7,65.0,1921329,3325589,0
