,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match,isMatch
0,DLLC,"EXCEEDLLC, LLC",602 906 178,680608,"123 FIFTH AVENUE, NEW YORK, NY, 10003, UNITED STATES",Terminated,FALSE,FALSE,FALSE,0
1,DLLC,"EXCEEDLLC, LLC",603 253 693,669957,"250 WEST 57TH STREET, NEW YORK, NY, 10107, UNITED STATES",Administratively Dissolved,FALSE,FALSE,FALSE,0
2,DLLC,KDDLLC3 LIMITED LIABILITY COMPANY,605 166 608,1650596,"4416 ROLLING WATER DR, PFLUGERVILLE, TX, 78660-5578, UNITED STATES",Active,FALSE,FALSE,FALSE,0
3,DLLC,"NASU FOODS, L. L. C.",602 010 413,884150,,Administratively Dissolved,FALSE,FALSE,FALSE,0
4,HOWARD BUILDING SEATTLE LLC,"HOWARD BUILDING SEATTLE, LLC",603 468 238,154242,"614 1ST AVE, SUITE 400, SEATTLE, WA, 98104-2255, UNITED STATES",Active,FALSE,FALSE,FALSE,1
5,HARTFORD BUILDING LLC,"HARTFORD BUILDING, LLC",604 990 747,1609954,"208 JAMES ST, SEATTLE, WA, 98104-2220, UNITED STATES",Active,FALSE,FALSE,FALSE,1
6,WASHINGTON SHOE BUILDING LLC,"WASHINGTON SHOE BUILDING, LLC",602 647 733,1054283,"208 JAMES ST #C, SEATTLE, WA, 98104, UNITED STATES",Active,FALSE,FALSE,FALSE,1
7,GC COLUMBIA LLC,CGC ( COLUMBIA GORGE COURIER ) TRANSPORT LLC,604 284 361,1208712,"42 ALLEY RD, UNDERWOOD, WA, 98651-9017, UNITED STATES",Administratively Dissolved,FALSE,FALSE,FALSE,0
8,GC COLUMBIA LLC,"GC COLUMBIA TRS, LLC",604 304 584,1221458,"818 W 7TH ST STE 410, 818 W. 7TH STREET, STE 410, LOS ANGELES, CA, 90017-3463, UNITED STATES",Active,FALSE,FALSE,FALSE,1
9,GC COLUMBIA LLC,"GC COLUMBIA, LLC",603 523 026,718576,"818 W 7TH ST, STE 410, LOS ANGELES, CA, 90017-3463, UNITED STATES",Active,FALSE,FALSE,FALSE,1
10,TEMASEK L L C,"TEMASEK, L.L.C.",601 930 871,1154643,"601 UNION ST, SUITE 4100, SEATTLE, WA, 98101-1368, UNITED STATES",Active,FALSE,FALSE,FALSE,1
11,EXPEDITORS INTERNATIONAL OF WA INC,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",600 335 063,158813,"1015 THIRD AVE, SEATTLE, WA, 98104, UNITED STATES",Active,FALSE,FALSE,FALSE,1
12,BCSP MARITIME BUILDING,BCSP MARITIME BUILDING LLC,604 282 227,1205818,"275 E BROAD ST, COLUMBUS, OH, 43215-3703, UNITED STATES",Active,FALSE,FALSE,FALSE,1
13,BCSP MARITIME BUILDING,BCSP MARITIME BUILDING LLC,603 496 373,565207,"200 STATE ST, 5TH FLOOR, BOSTON, MA, 02109-2628, UNITED STATES",Withdrawn,FALSE,FALSE,FALSE,0
14,505 UNION STATION LTD,505 UNION STATION LLC,602 347 763,9316,"505 5TH AVE S #900, SEATTLE, WA, 98104, UNITED STATES",Active,FALSE,FALSE,FALSE,1
15,505 UNION STATION LTD,505 UNION STATION MM INC,602 347 627,361253,"505 5TH AVE S STE 900, SEATTLE, WA, 98104-3821, UNITED STATES",Merged,FALSE,FALSE,FALSE,1
16,HUDSON FIRST & KING LLC,"HUDSON FIRST & KING, LLC",603 316 717,217798,"11601 WILSHIRE BOULEVARD, NINTH FLOOR, LOS ANGELES, CA, 90025, UNITED STATES",Active,FALSE,FALSE,FALSE,1
17,NEUBERT FAMILY LIMITED PARTNERSHIP,THE NEUBERT FAMILY LIMITED PARTNERSHIP,602 546 418,1071888,"61 BENSON CREEK DR, TWISP, WA, 98856-9606, UNITED STATES",Active,FALSE,FALSE,FALSE,1
18,IC U S A NO 8 PROPERTY PARTNERSHIP,IC U.S.A. NO. 18 PROPERTY LIMITED PARTNERSHIP,602 357 000,239937,"401 2ND AVE STE 620, SEATTLE, WA, 98104-2826, UNITED STATES",Inactive,FALSE,FALSE,FALSE,0
19,IC U S A NO 8 PROPERTY PARTNERSHIP,IC U.S.A. NO. 8 PROPERTY LIMITED PARTNERSHIP,602 570 885,746841,,Administratively Dissolved,FALSE,FALSE,FALSE,1
20,BURKE-STATE BLDG LLC,"BURKE-STATE BLDG., LLC",601 728 210,101420,"316 OCCIDENTAL AVE S, STE 300, SEATTLE, WA, 98104, UNITED STATES",Active,FALSE,FALSE,FALSE,1
21,GLOBE PARTNERS LLC,"GLOBE BUILDING PARTNERS, LLC",603 417 335,209429,"807 W SHOSHONE PL, SPOKANE, WA, 99203, UNITED STATES",Active,FALSE,FALSE,FALSE,1
22,GLOBE PARTNERS LLC,"GLOBE PARTNERS, LLC",602 023 571,135138,"85 S WASHINGTON ST STE 211, SEATTLE, WA, 98104-3403, UNITED STATES",Active,FALSE,FALSE,FALSE,1
23,GLOBE PARTNERS LLC,GLOBE PARTNERSHIPS LLC,604 929 540,1570102,"2528 S WILKESON ST, TACOMA, WA, 98405-3129, UNITED STATES",Active,FALSE,FALSE,FALSE,1
24,ONE HUNDRED KING L L C,"ONE HUNDRED KING, LLC",603 062 948,887963,"437 BEAVER ST FL 2, SEWICKLEY, PA, 15143-1543, UNITED STATES",Active,FALSE,FALSE,FALSE,1
25,GREF 111 SOUTH JACKSON LP,"GREF 111 SOUTH JACKSON, LP",603 504 015,721462,"222 S RIVERSIDE PLZ FL 34, CHICAGO, IL, 60606-6886, UNITED STATES",Active,FALSE,FALSE,FALSE,1
26,HUDSON MERRILL PLACE L L C,"HUDSON MERRILL PLACE, LLC",603 368 506,748554,"11601 WILSHIRE BOULEVARD, NINTH FLOOR, LOS ANGELES, CA, 90025, UNITED STATES",Active,FALSE,FALSE,FALSE,1
27,COLLINS BUILDING LLC,COLLINS BUILDING REDEVELOPMENT GROUP LLC,602 579 848,82515,"2232 BROADWAY STE 101, EVERETT, WA, 98201, UNITED STATES",Administratively Dissolved,FALSE,FALSE,FALSE,1
28,COLLINS BUILDING LLC,"COLLINS BUILDING, LLC",604 976 252,1601986,"208 JAMES ST, SEATTLE, WA, 98104-2220, UNITED STATES",Active,FALSE,FALSE,FALSE,1
29,COLLINS BUILDING LLC,"COLLINS FINE HOMEBUILDING, LLC",603 528 051,1105761,"1023 S THORP HWY, ELLENSBURG, WA, 98926-8006, UNITED STATES",Active,FALSE,FALSE,FALSE,1
30,COLLINS BUILDING LLC,THE COLLINS BUILDING COALITION,602 934 252,469042,"2418 CALIFORNIA STREET #C, EVERETT, WA, 98201, UNITED STATES",Inactive,FALSE,FALSE,FALSE,1
31,KING COUNTY,"ACCENTCARE HOME HEALTH OF KING COUNTY, LLC",604 965 803,1592255,"17855 DALLAS PKWY STE 200, DALLAS, TX, 75287-6857, UNITED STATES",Active,TRUE,FALSE,FALSE,0
32,KING COUNTY,"ALLIANCE FOR RETIRED AMERICANS, SOUTH KING COUNTY CHAPTER",601 866 803,24634,"PO BOX 1243, AUBURN, WA, 98071, UNITED STATES",Administratively Dissolved,FALSE,FALSE,FALSE,0
33,KING COUNTY,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN/SOUTHEAST KING COUNTY BRANCH,601 811 470,540577,"18315 152ND CT SE, RENTON, WA, 98058-9632, UNITED STATES",Active,FALSE,FALSE,FALSE,0
