,Owner,BuildingsOwned,TotalSquareFootage,TotalGHGEmissions__metric_tons_,TotalElectricity_kBtu_,TotalSteamUse_kBtu,TotalNaturalGas_kBtu,TotalOtherFuelUse_kBtu,AverageGHGEmissionsIntensity,AverageSiteEUI_kBtu_sf,AverageSourceEUI_kBtu_sf,AverageENERGYSTARScore
1,UNIVERSITY OF WASHINGTON,43,18445870,39712,679730875,366595771,106707401,0,4.7560975609756095,147.265,321.9325,61.81818181818182
3,KING COUNTY,16,4355059,22535,255701627,16515088,372904431,0,1.75,66.94375,137.29375,68.08333333333333
0,CITY OF SEATTLE,175,17038324,16357,501287744,6826192,247129120,0,1.1726744186046512,49.97017543859649,108.37660818713451,72.74789915966386
152,SWEDISH HOSPITAL MEDICAL CENTE,2,1659904,11941,133113224,125030832,16108152,0,5.6,143.25,274.85,40.5
896,JAMES TOWER LLC,1,597519,4805,56050971,0,84872338,0,8.0,234.2,409.0,47.0
1706,KOLL LAKE UNION ASSOC L P,1,527289,4524,60154140,0,79160244,0,8.6,259.9,469.4,
2,STATE OF WASHINGTON,17,2768746,3614,88426130,0,59208493,0,2.1125,71.1625,134.625,55.375
14,SEATTLE UNIVERSITY,6,2624288,3019,49391827,0,51904014,0,0.5333333333333333,27.880000000000003,57.980000000000004,93.0
17,SEATTLE PACIFIC UNIVERSITY,5,753801,2150,21990177,0,38279666,0,1.5,48.56,90.82000000000001,94.0
1445,CHILDREN'S HOSPITAL & REGIONAL MEDICAL CENTER,1,230638,1927,27185311,0,33574922,0,8.4,243.0,445.5,
1602,CITY INVESTORS XII L L C,1,225581,1707,37437965,0,28404272,0,7.6,195.2,399.2,
1446,HT-SEATTLE OWNER LLC,1,1062251,1620,29641293,0,27548291,0,1.5,51.9,101.5,97.0
51,UNIVERSITY OF HAWAII FOUNDATION,2,385048,1619,44400189,0,26048330,0,4.9,207.05,437.3,
10,ACORN DEVELOPMENT LLC,9,5109919,1595,141486254,0,15879116,0,0.17777777777777778,40.36666666666667,104.89999999999999,92.0
1376,WASHINGTON STATE CONVENTION CENTER,1,946212,1471,30223520,14987953,1251147,0,1.6,43.3,97.0,
310,2001 SIXTH LLC,1,429405,1455,270558198,0,315739,0,3.4,630.8,1765.0,
1237,HART FIRST HILL LLC,1,227569,1439,11707490,16594533,0,0,6.3,123.2,229.6,63.0
1383,FIRST HILL/EIGHTH AVENUE LLC,1,632849,1373,18818364,14524050,1272685,0,2.2,39.1,80.7,85.0
46,MILLENIUM TOWER LLC,2,156460,1250,6829881,3699885,17085485,0,10.3,224.55,317.2,
668,MUNICIPALITY OF METROPOLITAN S,1,230971,1179,11159342,0,21094967,0,5.1,163.9,271.4,
